cod_variable_clinic,Frequency.4,codes,spanish description,english description,comment
-1,76486,1,[Vacio],[Empty],
TAD,3740,296,Tensión arterial diastólica,diastolic blood pressure,
TAS,3662,301,Tensión Arterial Sistólica,Systolic Blood Pressure,
FRECAR,2432,149,Frecuencia Cardiaca,HEARTBEAT,
PESO,2061,212,Peso,Weight,
IMC,1856,166,Índice de Masa Corporal,Body Mass Index,
TALLA,1825,298,Talla,Size,
CONSEJER,992,53,Recomendacienes sobre Ejercicio Físico,Recomendacienes on Physical Exercise,
CONSDIET,959,52,Recomendaciones sobre dieta,Recommendations on diet,
VALOCUMP,793,316,Valoración del cumplimiento,Evaluation of compliance,
GLUCAP,770,160,glucemia capilar,blood glucose,
INFOTRCV,571,170,Información sobre  factores de riesgo cardiovascular,Information on cardiovascular risk factors,
CONSTABA,358,54,Consejo antitabaco (Atención Terapeútica Minima),anti-smoking advice (Attention Therapeutic Minima),
VALOADVE,303,315,Valoración efectos adversos de los fármacos,Rating adverse drug,
SP02,289,286,Saturacion 02 percutanea,Saturacion 02 Percutaneous,
PERADB,237,211,Perímetro Abdominal,Abdominal perimeter,
GCB,197,152,glucemia capilar basal,Basal blood glucose,
REVIPIES,164,259,Revisión de los pies,Review of the feet,
ENTR_TSO,142,75,Entrega TSO en heces,Delivery TSO stool,
GCPOST,141,154,glucemia capilar postpandrial,postprandial blood glucose,
RESUFINA,138,256,Resultado final episodio,Final Result episode,
NUMEROND,138,200,Número de ronda,Round number,
FECHINVI,137,113,Fecha de invitación,Date invitation,
RIESCARD,90,260,Riesgo Cardiovascular,Cardiovascular risk,
ECG_RCV,89,68,Electrocardiograma/riesgo cardiovascular,Electrocardiogram / cardiovascular risk,
INTEEDUC,85,175,Intervenciones Educativas,Educational interventions,
TEMPCORP,69,303,Temperatura corporal,Body temperature,
AUTOANAL,65,32,Autoanálisis,self-analysis,
RETINOGR,64,258,Fondo de Ojo o Retinografía,Fundus or Retinography,
AYUDDEFI,45,33,Ayuda definitiva,definitive aid,
PROB_1,45,223,Problema detectado,problem detected,
AYUDRECO,44,34,Ayuda recomendada,Help recommended,
PROB_6,42,228,Problema detectado,problem detected,
TOMAMEDI,42,309,¿Se toma la medicación?,Does the medication is taken?,
RECOGEHC,40,238,¿Recogidos en H.Clinica?,¿Gathered in H.Clinica?,
SE_RECO,39,284,Se recomienda,It is recommended,
PACIREFA,38,208,Tipo Paciente REFAR,Patient type REFAR,
CONOPOSO,38,51,¿Conoce su posología?,Do you know your dosage?,
HABIVIDA,36,163,¿Hábitos de vida correctos?,¿Correct life habits?,
PROB_2,35,224,Problema detectado,problem detected,
PROB_4,35,226,Problema detectado,problem detected,
INGHOSDI,34,171,Ingreso Hosp. por diabetes,Hosp income. by diabetes,
MICRALBU,32,193,MICROALBUMINURIA,MICROALBUMINURIA,
PROB_3,32,225,Problema detectado,problem detected,
PROB_5,31,227,Problema detectado,problem detected,
RCVSCORE,29,235,RCV Score,RCV Score,
MEDIPOSO,29,191,¿Se toma la medicación de acuerdo a la posología?,Does the medication according to the dosage is taken?,
CONOINDI,28,50,¿Conoce las indicaciones de los mismos?,Do you know the signs of them?,
COMPCRON,28,49,Complicaciones crónicas,chronic complications,
GCPREP,27,155,glucemia capilar prepandrial,preprandial blood glucose,
DIFITOMA,25,61,¿Dificultad en toma?,Difficulty in making?,
REQENR,17,254,Requerimientos energéticos,energy requirements,
ITBI,17,180,Indice tobillo/brazo izquierdo,Index ankle / left arm,
ADHEADEC,13,22,¿Presenta el paciente una adherencia adecuada al tratamiento?,Does the patient have adequate adherence to treatment?,
CITOEXFO,13,45,Citología exfoliativa ginecológica,Gynecological citology,
DOSIADEC,12,67,El sistema de dosificación seleccionado ¿es adecuado para el paciente?,The system selected dosage is it appropriate for the patient?,
PRECDERI,12,220,PRECISA DERIVACIÓN,ACCURATE BYPASS,
ITBD,12,179,Indice tobillo/brazo derecho,Index ankle / right arm,
RCVREGIC,12,234,RCV Regicor,RCV Regicor,
ESOSVAL,11,81,Solo para el control de ESOSVAL,Only control ESOSVAL,
ELECTRO,9,72,Electrocardiograma,Electrocardiogram,
HGLI,9,164,Hemoglobina Glicosilada A1C,Hemoglobin A1C,
NOM_APE,9,197,Nombre y Apellidos,Name and surname,
ASISCONS,8,30,Asistencia a consultas,Attending consultations,
EDAD,8,69,Edad,Age,
ABSTTABA,8,14,Abstinente,Abstinent,
SATABA_9,8,279,Ánimo deprimido,depressed mood,
ESCADOLO,8,78,Escala de dolor,Pain Scale,
CP,7,56,C.P,C.P,
-2,7,2,[Sin referencia],[No reference],
SPO2,7,287,Saturación de Oxígeno en Sangre,Blood oxygen saturation,
MENOPAUS,6,192,Menopausia,Menopause,
CAIULTAN,6,35,Caídas en el último año,Falls in the last year,
DIREC,5,62,Dirección,Address,
SATABA_1,5,271,Deseo muy fuerte de fumar o craving,very strong desire to smoke or craving,
ESTMENO,5,84,Estado Menopausia,Menopausal status,
POST-Med,1,219,glucemia capilar postpandrial media,average postprandial blood glucose,
MED2OJOI,1,190,MEDICACION ASOCIACIACION O.I.,MEDICATION ASOCIACIACION O.I.,
EXT_MUCO,1,101,Ext. Musc. Codo,Ext. Musc. Elbow,
SUMUMUNE,1,291,Sup. Musc. Muñeca,Sup. Musc. Doll,
STUI,1,290,Síntomas tracto urinario inferior,Symptoms lower urinary tract,
ABMCMUMA,1,13,Abd. Mcf. Musc. Mano,Abd. Mcf. MUSC. Hand,
REFENICO,1,250,Refiere nicotina,refers nicotine,
OBSTRUC,1,203,Obstructivos o de vaciado,Obstructive or discharge,
ABDOINFE,1,10,Abdomen inferior y genitales,lower abdomen and genitals,
CAUSAS,1,37,Causas,Causes,
EXT_MUHO,1,102,Ext. Musc. Hombro,Ext. Musc. Shoulder,
EXTBMCA,1,97,Ext.BMCA,Ext.BMCA,
TARECTCO,1,299,Tacto rectal (consistencia),rectal (consistency),
FLDOARMU,1,120,Flex. Dorsal Art. Muñeca,Flex. Dorsal Art. Doll,
FEV6,1,116,Espirometría: fev6,Spirometry: FEV6,
INCUARMU,1,167,Incl. Cubital Art. Muñeca,Incl. Ulnar Art. Doll,
FLARPAMU,1,119,Flex. Art. Palmar Muñeca,Flex. Art. Palmar Doll,
LOCACENT,1,185,Localidad centro,town center,
REFIALCO,1,253,Refiere alcohol,Alcohol concerns,
SATABA_5,1,275,Aumento del apetito,Increased appetite,
ESPEMOTI,1,82,Especificar motivo,specify reason,
ALTUTE,1,28,Altura Uterina,Fundal height,
FLE1MUMA,1,125,Flex 1º Musc. Mano,Flex 1 Musc. Hand,
TOS,1,310,Tos,Cough,
ALCOAIRE,1,27,Alcohol en aire espirado,Alcohol in exhaled air,
DISMDIU,1,64,Disminución de la diuresis,Decreased urine output,
FRACESPE,1,143,Fractura osteoporótica Sitio especificado,Osteoporotic fracture specified site,
EXTBACA,1,96,Ext.BACA,Ext.BACA,
ADDBACA,1,18,Add.BACA,Add.BACA,
FECHIMPL,1,112,Fecha implantación,implementation date,
CO,1,46,Monóxido de carbono,Carbon monoxide,
NOM_CENT,1,198,Nombre centro,middle name,
PESO-Med,1,213,Peso Medio,Middleweight,
REFECOCA,1,247,Refiere cocaína,refers cocaine,
MANTOUX,1,186,Mantoux,Mantoux,
ROINMUHO,1,264,Rot. Int. Musc. Hombro,Rot. Int. Musc. Shoulder,
EXMCMUMA,1,91,Ext. Mcf. Musc. Mano,Ext. Mcf. MUSC. Hand,
FECHCOMU,1,110,Fecha comunicación test positivo,Positive communication test date,
REFEMETA,1,249,Refiere metadona,refers methadone,
REFECOBA,1,246,Refiere cocaína base,Refers cocaine base,
ABDHMUHO,1,8,Abd. Horiz. Art. Hombro,Abd. Horiz. Art. Shoulder,
REFEALUC,1,241,Refiere alucinógenos,refers hallucinogens,
PIOD,1,214,PIO OJO DERECHO,PIO RIGHT EYE,
FLXBMCA,1,141,Flx.BMCA,Flx.BMCA,
ROEXARHO,1,261,Rot. Ext. Art. Hombro,Rot. Ext. Art. Shoulder,
FECHALTA,1,109,Fecha alta,date Added,
LATDDOLU,1,182,Lateralizacion Derch. Artic. Dorso-Lumbar,Derch lateralization. Artic. Dorsolumbar,
PIOI,1,215,PIO OJO IZQUIERDO,PIO LEFT EYE,
TAS-Med,1,302,Tensión Arterial Sistólica Media,Systolic Blood Pressure Media,
ADD1ARMA,1,15,Add. 1º Art. Mano,Add. 1st Art. Hand,
FABATABA,1,104,Fecha abandono tabaco,Date snuff abandonment,
REFESINT,1,252,Refiere drogas de síntesis,Refers synthetic drugs,
FLEXMUCO,1,130,Flex. Musc. Codo,Flex. MUSC. Elbow,
EXTEARCO,1,98,Ext. Artic. Codo,Ext. Artic. Elbow,
COLE_LDL,1,47,Colesterol LDL Objetivo,Target LDL cholesterol,
EXT_ARHO,1,94,Ext. Art. Hombro,Ext. Art. Shoulder,
TUC,1,311,Tiempo desde último cigarrillo,Time since last cigarette,
READTABA,1,236,Reacciones Adversas,Adverse reactions,
ABDBACA,1,6,Abd.BACA,Abd.BACA,
GOTEPOSM,1,162,Goteo posmiccional,dribbling,
CRANEAL,1,57,Perímetro craneal,head circumference,
SEDIORIN,1,281,Sedimento de orina,Urine Sediment,
INRAARMU,1,172,Incl. Radial Art. Muñeca,Incl. Radial Art. Doll,
OBSE2,1,202,Observaciones,Observations,
ORTOPNEA,1,206,Ortopnea,orthopnoea,
SATABA_4,1,274,Dificultad de concentración,Difficulty concentrating,
EXT_ARRO,1,95,Ext. Art. Rodilla,Ext. Art. Knee,
FAMIFRAC,1,105,Historia familiar de fractura osteoporótica,Family history of osteoporotic fracture,
EVERMUTO,1,86,Eversion Musc. Tobillo,Eversion Musc. Ankle,
GDXOJOD,1,157,G.D.X. OJO DERECHO,G.D.X. RIGHT EYE,
ABMCARMA,1,12,Abd. Mcf. Art. Mano,Abd. Mcf. Art. Hand,
ADD_MUHO,1,21,Add. Musc. Hombro,Add. MUSC. Shoulder,
REFECANN,1,245,Refiere cannabis,refers cannabis,
EPOJOD,1,76,E/P OJO DERECHO,E / P right eye,
DISURIA,1,65,Disuria,dysuria,
COLESP,1,48,Color Esputo,Sputum Color,
REFEANFE,1,242,Refiere anfetaminas,refers amphetamines,
RETEORIN,1,257,Retención aguda de orina,AUR,
FLXBACA,1,140,Flx.BACA,Flx.BACA,
GLUCOORA,1,161,Glucocorticoides orales,oral glucocorticoids,
INDIEXER,1,169,Indicación exéresis,exeresis indication,
REFEBENZ,1,243,Refiere benzodiacepinas,benzodiazepines concerns,
SATABA_6,1,276,Estreñimiento,Constipation,
FECHENTR,1,111,Fecha entrada,Entry date,
FLPAMUMA,1,137,Flex. Palmar Musc. Muñeca,Flex. Musc Palmar. Doll,
TIPOCENT,1,307,Tipo de centro,Type of school,
USOCTABA,1,313,Uso correcto,proper use,
ENDO,1,73,Interrogado sobre hemorragia vaginal,Asked about vaginal bleeding,
CIF,1,41,CIF empresa,CIF company,
OPO1MUMA,1,205,Oposicion 1º Musc. Mano,1 Musc opposition. Hand,
POBLA,1,217,Población,Population,
FEV1-Med,1,115,Espirometría: fev1-Media,Spirometry: FEV1-Media,
FLEXARCO,1,127,Flex. Artic. Codo,Flex. Artic. Elbow,
