cod_crg,Frequency.4,codes,spanish description,english description,comment
6,734.0,6.0,Enfermedad significativa crónica en múltiples sistemas orgánicos,Chronic significant disease in multiple organ systems,
5,345.0,5.0,Enfermedad dominante o crónica moderada única,Unique moderate or chronic chronic disease,
7,141.0,7.0,Enfermedad dominante crónica en tres o más sistemas orgánicos,Chronic dominant disease in three or more organic systems,
4,113.0,4.0,Enfermedad crónica menor en múltiples sistemas orgánicos,Minor chronic disease in multiple organ systems,
3,36.0,3.0,Enfermedad crónica menor única,Chronic minor minor disease,
2,22.0,2.0,Historia de enfermedad aguda significativa,Disease history,
1,19.0,1.0,Estado de salud sano,Health condition,
8,11.0,8.0,"Neoplasias dominantes, metastásicas y complicadas","Dominant neoplasms, metastatic and complicated",
446,1,61002.0,Insuficiencia renal crónica y otras enfermedades crónicas dominantes o moderadas: Nivel 2,Chronic kidney disease and other chronic diseases dominant or moderate: level 2,
284,1,61241.0,EPOC e hipertensión,COPD and hypertension,
951,1,61306.0,Enfermedad cerebrovascular y diabetes,Cerebrovascular disease and diabetes,
517,1,50072.0,Parálisis cerebral NOS: Nivel 2,Cerebral palsy us: level 2,
830,1,50074.0,Parálisis cerebral NOS: Nivel 4,Cerebral palsy us: level 4,
303,1,10140.0,Diagnósticos de enfermedad tejido conectivo significativo u ortopédicos sin otra enfermedad significativa,Significant or orthopedic connective tissue disease without other significant disease Diagnostics,
429,1,61901.0,Otras dos enfermedades dominantes crónicas: Nivel 1,Other two key chronic diseases: level 1,
537,1,50742.0,Degeneración macular: Nivel 2,Macular degeneration: level 2,
1086,1,53444.0,"Historia de fractura de cadera, edad > 64 años: Nivel 4",Family history of hip fracture.,
703,1,51202.0,Labio leporino y paladar hendido: Nivel 2,Cleft lip and cleft palate: level 2,
744,1,62303.0,Otra enfermedad dominante crónica y otra neoplasia no dominante: Nivel 3,Other chronic disorder and other non-dominant neoplasia: level 3,
488,1,70603.0,Tres o más enfermedades crónicas dominantes: Nivel 3,Three or more key chronic diseases: level 3,
410,1,90602.0,Historia de trasplante orgánico mayor: Nivel 2,History of greater organic transplant: level 2,
110,1,86604.0,Linfoma de Hodgkin: Nivel 4,Hodgkin's lymphoma: level 4,
189,1,51781.0,Otros diagnósticos cardiacos congénitos mayores excepto valvulares: Nivel 1,Other major congenital cardiac diagnoses except valvular: level 1,
249,1,37551.0,Depresión: Nivel 1,Depression: Level 1,
327,1,61243.0,EPOC e hipertensión,COPD and hypertension,
455,1,86531.0,Leucemia no linfática crónica: Nivel 1,Chronic non-Lymphocytic Leukemia: level 1,
890,1,30992.0,Diagnósticos de oído crónicos excepto pérdida de audición: Nivel 2,Chronic ear Diagnostics except hearing loss: level 2,
212,1,70306.0,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 6,COPD - advanced coronary disease - another dominant chronic disease: level 6,
764,1,61105.0,EPOC e Insuficiencia cardiaca: Nivel 5,COPD and heart failure: level 5,
771,1,86563.0,Leucemia no linfática aguda: Nivel 3,Acute non-Lymphocytic Leukemia: level 3,
773,1,57501.0,Trastornos mayores de la personalidad: Nivel 1,Major personality disorders: level 1,
255,1,80021.0,Neoplasias no dominantes primarias múltiples: Nivel 1,"Neoplasms, multiple primary non-dominant: level 1",
564,1,51804.0,Otros diagnósticos cardiovasculares - mayor: Nivel 4,Other cardiovascular diagnoses - more: level 4,
414,1,52384.0,Enfermedad vascular periférica: Nivel 4,Peripheral vascular disease: level 4,
797,1,90402.0,Nutrición parenteral total: Nivel 2,Total parenteral nutrition: level 2,
129,1,86564.0,Leucemia no linfática aguda: Nivel 4,Acute non-Lymphocytic Leukemia: level 4,
913,1,86581.0,Otras neoplasias: Nivel 1,Other Neoplasms: level 1,
68,1,61443.0,Diabetes e hipertensión: Nivel 3,Diabetes and hypertension: Level 3,
289,1,35921.0,Enfermedades del desarrollo del lenguaje: Nivel 1,Diseases of the language development: level 1,
250,1,70106.0,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 6,Heart failure - Diabetes - COPD: level 6,
388,1,90902.0,Espina bífida: Nivel 2,Spina bifida: level 2,
872,1,56612.0,Neoplasia de proteinas plasmáticas: Nivel 2,Neoplasm of plasma proteins: level 2,
1088,1,62425.0,Asma e hipertensión: Nivel 5,Asthma and hypertension: level 5,
332,1,62212.0,Neoplasia de próstata y otra enfermedad moderada crónica: Nivel 2,Neoplasm of prostate and other moderate chronic illness: level 2,
442,1,86412.0,Neoplasias secundarias: Nivel 2,Secondary Neoplasms: level 2,
901,1,61155.0,Insuficiencia cardiaca y demencia: Nivel 5,Heart failure,
715,1,62506.0,Otra enfermedad dominante crónica y abuso de drogas crónico moderado: Nivel 6,Other chronic disorder and moderate chronic drug abuse: level 6,
174,1,86553.0,Leucemia linfática aguda: Nivel 3,Acute Lymphatic leukemia: level 3,
975,1,86502.0,Neoplasia de ovario: Nivel 2,Ovarian neoplasia: level 2,
800,1,56621.0,Neoplasia de mama: Nivel 1,BREAST NEOPL,
674,1,70101.0,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 1,Heart failure,
78,1,53523.0,Artropatía por cristales: Nivel 3,By Crystal arthropathy: level 3,
118,1,80013.0,Neoplasias dominantes primarias múltiples: Nivel 3,"Neoplasms, multiple primary key: level 3",
614,1,61724.0,"Esquizofrenia y otra enfermedad crónica, Nivel 2: Nivel 4",Level 2 /// Level 4,
597,1,57514.0,Diagnósticos de salud mental crónicos - Moderado: Nivel 4,Chronic mental health diagnoses - moderate: level 4,
794,1,31411.0,Bronquitis crónica: Nivel 1,Chronic bronchitis: level 1,
12,1,51892.0,Historia de ACTP: Nivel 2,History of PTCA: level 2,
647,1,70163.0,Insuficiencia cardiaca - Dos o más enfermedades crónicas dominantes: Nivel 3,Heart failure - two or more key chronic diseases: level 3,
813,1,62302.0,Otra enfermedad dominante crónica y otra neoplasia no dominante: Nivel 2,Other chronic disorder and other non-dominant neoplasia: level 2,
138,1,50012.0,Diagnósticos neurológicos progresivos: Nivel 2,Progressive neurological diagnosis: level 2,
137,1,30192.0,Diagnósticos neuromusculares crónicos y otros diagnósticos neurológicos: Menor Nivel 2,,
795,1,61133.0,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 3,Heart failure and cerebrovascular disease: level 3,
231,1,62203.0,Otra enfermedad dominante crónica y neoplasia de próstata: Nivel 3,Other chronic disorder and prostate neoplasm: level 3,
71,1,56072.0,Trastornos de la coagulación: Nivel 2,Coagulation Disorders: level 2,
63,1,86513.0,Neoplasia de aparato digestivo: Nivel 3,Gastrointestinal neoplasia: level 3,
570,1,86522.0,Leucemia linfática crónica: Nivel 2,Chronic lymphocytic leukemia: level 2,
985,1,56054.0,Enfermedades inmunes y leucocitarias: Nivel 4,Leukocyte and immune diseases: level 4,
751,1,52702.0,Diagnósticos gastrointestinales crónicos - moderado: Nivel 2,Chronic gastrointestinal diagnoses - moderate: level 2,
542,1,56601.0,Linfoma de Hodgkin: Nivel 1,Hodgkin's lymphoma: level 1,
1007,1,51833.0,Angina y cardiipatía isquémica: Nivel 3,Angina and ischemic cardiipatia: level 3,
159,1,51812.0,Enfermedades valvulares: Nivel 2,Valvular diseases: level 2,
503,1,50061.0,Enfermedad de Alzheimer y otras demencias: Nivel 1,Alzheimer's disease and other dementias: level 1,
1089,1,90501.0,Dependencia de ventilación mecánica: Nivel 1,Dependence on mechanical ventilation: level 1,
57,1,90804.0,Cuadriplejia adquirida o estado vegetativo permanente: Nivel 4,Permanent vegetative state or acquired quadriplegia: level 4,
259,1,86511.0,Neoplasia de aparato digestivo: Nivel 1,Gastrointestinal neoplasia: level 1,
635,1,70162.0,Insuficiencia cardiaca - Dos o más enfermedades crónicas dominantes: Nivel 2,Heart failure - Two or more dominant chronic diseases: Level 2,
65,1,61804.0,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 4","History of hip fracture, age&gt; 64 and other chronic dominant disease: Level 4",
364,1,53112.0,Enfermedad hepática mayor excepto alcohólica: Nivel 2,Major liver disease except alcoholic: Level 2,
310,1,53534.0,Sustitución de articulación: Nivel 4,Joint replacement: Level 4,
886,1,70313.0,EPOC - Dos o más enfermedades crónicas dominantes: Nivel 3,COPD - Two or more dominant chronic diseases: Level 3,
483,1,57482.0,"Trastornos de la conducta, del control de los impulsos y del comportamiento: Nivel 2","Disorders of behavior, impulse control and behavior: Level 2",
974,1,51772.0,Anomalías cardiacas septales mayores y cianóticas complejas: Nivel 2,Major septal and complex cyanotic cardiac abnormalities: Level 2,
934,1,61706.0,Esquizofrenia y otra enfermedad dominante crónica: Nivel 6,Schizophrenia and other chronic dominant disease: Level 6,
88,1,57821.0,Abuso de cocaina: Nivel 1,Cocaine abuse: Level 1,
568,1,61331.0,"Enfermedad cerebrovascular y otra enfermedad crónica, Nivel 2","Cerebrovascular disease and other chronic disease, Level 2",
127,1,20740.0,Embarazo sin parto con otra enfermedad significativa,Pregnancy without birth with another significant disease,
133,1,55882.0,Retraso mental leve / moderado: Nivel 2,"Mental retardation, mild / moderate: level 2",
860,1,36982.0,Neoplasias de comportamiento incierto: Nivel 2,Neoplasms of uncertain behavior: level 2,
247,1,61323.0,Enfermedad cerebrovascular y otra enfermedad moderada crónica,Other cerebrovasc.disease NOS,
476,1,54412.0,Obesidad: Nivel 2,Obesity: Level 2,
1064,1,62516.0,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 6,Moderate chronic drug abuse and other moderate chronic illness: level 6,
91,1,10020.0,Parto con complicaciones sin otra enfermedad significativa,Stenosis of vagina - baby delivered with postpartum complication,
362,1,55821.0,Síndrome de Down: Nivel 1,Down syndrome: level 1,
567,1,62503.0,Otra enfermedad dominante crónica y abuso de drogas crónico moderado: Nivel 3,Other chronic disorder and moderate chronic drug abuse: level 3,
40,1,53101.0,Enfermedad hepática alcohólica: Nivel 1,Alcoholic liver disease: level 1,
341,1,53511.0,Discopatía y otros diagnósticos crónicos de espalda: Nivel 1,Disc disease and other chronic diagnoses of back: level 1,
1053,1,61813.0,"Historia de fractura de cadera, edad > 64 y otra enfermedad moderada crónica: Nivel 3","History of fracture of hip, age &gt; 64 and other moderate chronic illness: level 3",
219,1,55832.0,"Anomalías y síndromes cromosómicos, excepto Down: Nivel 2","Anomalies and chromosomal syndromes, except Down: level 2",
621,1,61226.0,EPOC y otra enfermedad dominante crónica: Nivel 6,COPD and other chronic disorder: level 6,
223,1,54781.0,Anomalías de riñón o tracto urinario: Nivel 1,kidney or liver problems,
380,1,53911.0,Artritis reumatoide: Nivel 1,Rheumatoid arthritis: level 1,
804,1,53512.0,Discopatía y otros diagnósticos crónicos de espalda: Nivel 2,Disc disease and other chronic diagnoses of back: level 2,
877,1,51334.0,EPOC y bronquiectasias: Nivel 4,COPD and bronchiectasis: level 4,
707,1,70316.0,EPOC - Dos o más enfermedades crónicas dominantes: Nivel 6,COPD - Two or more key chronic diseases: level 6,
544,1,51784.0,Otros diagnósticos cardiacos congénitos mayores excepto valvulares: Nivel 4,Other major congenital cardiac diagnoses except valvular: level 4,
322,1,61322.0,Enfermedad cerebrovascular y otra enfermedad moderada crónica,Other cerebrovasc.disease NOS,
966,1,57843.0,Abuso crónico de alcohol: Nivel 3,Chronic alcohol abuse: level 3,
777,1,62702.0,Otras dos enfermedades crónicas moderadas: Nivel 2,,
878,1,61444.0,Diabetes e hipertensión: Nivel 4,Diabetes and hypertension: level 4,
51,1,70141.0,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 1,-Peripheral vascular disease - another dominant chronic heart failure: level 1,
730,1,62931.0,"Otra enfermedad dominante crónica y otra enfermedad crónica, Nivel 2: Nivel 1","Another dominant chronic illness and other chronic disease, level 2: level 1",
939,1,51871.0,Arritmias cardiacas y trastornos de la conducción: Nivel 1,Arrhythmias and conduction disorders: level 1,
815,1,61402.0,Diabetes y enfermedad coronaria avanzada: Nivel 2,Diabetes and advanced coronary disease: Level 2,
731,1,86554.0,Leucemia linfática aguda: Nivel 4,Acute Lymphatic leukemia: level 4,
28,1,90904.0,Espina bífida: Nivel 4,Spina bifida: level 4,
128,1,61252.0,"EPOC y otra enfermedad crónica, Nivel 2","COPD and other chronic disease, level 2",
229,1,50144.0,Epilepsia: Nivel 4,Floor 4:,
524,1,50744.0,Degeneración macular: Nivel 4,Macular degeneration: level 4,
214,1,56071.0,Trastornos de la coagulación: Nivel 1,Coagulation Disorders: level 1,
538,1,35572.0,"Prematuridad, peso al nacer inferior a 1000 g: Nivel 2","Prematurity, birth weight infants less than 1000 g: level 2",
778,1,53503.0,Amputación y enfermedad ósea: Nivel 3,Amputation and bone disease: level 3,
404,1,62423.0,Asma e hipertensión: Nivel 3,Asthma and hypertension: level 3,
553,1,57064.0,Infecciones crónicas excepto tuberculosis: Nivel 4,Chronic except tuberculosis infections: level 4,
875,1,57864.0,Abuso de drogas - Cannabis/NOS/NEC: Nivel 4,Abuse of drugs - Cannabis/us/NEC: level 4,
657,1,70213.0,Diabetes - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 3,Diabetes - disease stroke - another dominant chronic disease: level 3,
943,1,86472.0,Neoplasia de pulmón: Nivel 2,Lung neoplasm: level 2,
258,1,61514.0,Enfermedad coronaria avanzada y otra enfermedad moderada crónica: Nivel 4,Advanced coronary artery disease and other chronic moderate disease: level 4,
164,1,56102.0,Diagnósticos hematológicos crónicos e inmunes - Moderado: Nivel 2,,
594,1,61506.0,Enfermedad coronaria avanzada y otra enfermedad dominante crónica: Nivel 6,,
972,1,53901.0,Enfermedades del tejido conectivo y vasculitis: Nivel 1,Of vasculitis and connective tissue diseases: level 1,
534,1,62422.0,Asma e hipertensión: Nivel 2,Level 2:,
945,1,62204.0,Otra enfermedad dominante crónica y neoplasia de próstata: Nivel 4,Other chronic disorder and prostate neoplasm: level 4,
98,1,61414.0,Diabetes y otra enfermedad dominante crónica: Nivel 4,Diabetes and other chronic disorder: level 4,
587,1,20800.0,Diagnósticos de neoplasia con otra enfermedad significativa,Neoplasia with other significant disease Diagnostics,
369,1,57063.0,Infecciones crónicas excepto tuberculosis: Nivel 3,Chronic infections except tuberculosis: Level 3,
139,1,51333.0,EPOC y bronquiectasias: Nivel 3,COPD and bronchiectasis: Level 3,
490,1,53521.0,Artropatía por cristales: Nivel 1,Crystal arthropathy: Level 1,
671,1,56622.0,Neoplasia de mama: Nivel 2,Breast neoplasia: Level 2,
706,1,50111.0,Diagnósticos neuromusculares crónicos/Otros diagnósticos neurológicos - Moderado: Nivel 1,Chronic neuromuscular diagnoses / Other neurological diagnoses - Moderate: Level 1,
994,1,51923.0,Hipertensión: Nivel 3,Hypertension: Level 3,
772,1,53143.0,Trastornos pancreáticos y hepáticos crónicos - Moderado: Nivel 3,Chronic pancreatic and hepatic disorders - Moderate: Level 3,
54,1,57481.0,"Trastornos de la conducta, del control de los impulsos y del comportamiento : Nivel 1","Disorders of behavior, impulse control and behavior: Level 1",
93,1,20400.0,"Enfermedad aguda significativa de ORL, duración más de 90 días","Significant acute disease of ORL, duration greater than 90 days",
297,1,57504.0,Trastornos mayores de la personalidad: Nivel 4,PERSONALITY DISORDER,
687,1,31001.0,Pérdida de audición crónica: Nivel 1,Chronic hearing loss: level 1,
452,1,61205.0,EPOC y diabetes: Nivel 5,Level 5:,
949,1,61421.0,Diabetes y asma: Nivel 1,Level 1:,
991,1,54731.0,Insuficiencia renal crónica: Nivel 1,Chronic kidney failure: level 1,
275,1,86534.0,Leucemia no linfática crónica: Nivel 4,Chronic non-Lymphocytic Leukemia: level 4,
762,1,80014.0,Neoplasias dominantes primarias múltiples: Nivel 4,MULTIPLE PRIMARY NEOPL,
10,1,9.0,Necesidades sanitarias elevadas,Health needs (community),
443,1,62705.0,Otras dos enfermedades crónicas moderadas: Nivel 5,,
312,1,86653.0,Linfoma no Hodgkin: Nivel 3,DIFFUSE SMALL CLEAVED LYMPHOMA,
492,1,34081.0,Neoplasias de piel: Nivel 1,Cutaneous neoplasm,
613,1,51324.0,Anomalías respiratorias mayores: Nivel 4,Respiratory abnormalities NOS,
266,1,33571.0,Ostroartritis: Nivel 1,Ostroartritis: Level 1,
933,1,53904.0,Enfermedades del tejido conectivo y vasculitis: Nivel 4,Of vasculitis and connective tissue diseases: level 4,
13,1,61441.0,Diabetes e hipertensión: Nivel 1,Diabetes and hypertension: Level 1,
394,1,91101.0,Fibrosis quística: Nivel 1,Fibrocystic disease,
590,1,61204.0,EPOC y diabetes: Nivel 4,COPD and diabetes: level 4,
29,1,51882.0,Historia de by-pass coronario: Nivel 2,Bypass frequency.,
421,1,70604.0,Tres o más enfermedades crónicas dominantes: Nivel 4,Three or more key chronic diseases: level 4,
367,1,54051.0,Diagnósticos significativos de piel y tejido subcutáneo: Nivel 1,Meaningful Diagnostics of skin and subcutaneous tissue: level 1,
155,1,20840.0,Diagnósticos de enfermedad tejido conectivo significativo u ortopédicos con otra enfermedad significativa,Significant or orthopedic connective tissue disease with other significant disease Diagnostics,
222,1,61713.0,Esquizofrenia y otra enfermedad moderada crónica: Nivel 3,Schizophrenia and other chronic moderate disease: level 3,
87,1,61102.0,EPOC e Insuficiencia cardiaca: Nivel 2,COPD and heart failure: level 2,
466,1,52381.0,Enfermedad vascular periférica: Nivel 1,"DISEASE, PERIPHERAL VASCULAR",
938,1,37541.0,Déficit de atención / Hiperactividad: Nivel 1,Attention deficit/ hyperactivity disorder;,
976,1,70705.0,Diabetes - Enfermedad cerebrovascular - Hipertensión: Nivel 5,Diabetes - disease stroke - hypertension: level 5,
721,1,52372.0,Enfermedades arteriales y venosas crónicas - mayor: Nivel 2,"There are two types of vascular, arterial and venous occlusions.",
900,1,62404.0,Otra enfermedad dominante crónica y asma: Nivel 4,Asthma and other chronic disorder: level 4,
