d10,Frequency.12
272.4,173
401.9,166
V58.61,157
250.00,147
V15.82,134
427.31,118
V58.67,106
V58.63,96
305.1,90
V58.66,73
278.00,63
285.9,61
V46.2,61
553.3,54
V66.7,53
403.90,53
562.10,53
V45.01,50
244.9,50
V14.0,50
Z87.891,49
V12.54,46
V45.82,44
Z79.01,44
600.00,44
790.6,44
585.9,43
412,42
I10,41
459.81,40
V46.8,39
E78.5,38
V45.61,37
733.00,37
715.90,37
311,36
564.00,36
V43.1,35
414.8,35
V60.6,34
496,32
414.9,31
Z79.82,31
V14.6,30
V87.41,30
280.9,29
V43.64,29
300.4,28
272.0,28
V49.84,28
574.20,27
424.0,27
V12.51,27
V88.01,27
V15.3,27
V47.4,26
303.91,26
V49.87,26
426.4,25
327.23,25
584.9,24
V58.69,24
V43.65,23
V14.8,23
414.01,23
Z79.4,23
389.9,23
V10.05,22
278.01,22
491.20,22
Z86.73,21
331.0,21
365.9,20
V14.1,20
331.83,20
571.8,20
V43.3,19
416.8,19
788.30,19
V60.3,19
600.20,19
600.90,19
V49.89,19
518.81,18
V45.81,18
424.1,18
V45.79,18
599.0,18
N18.9,18
362.01,17
293.0,17
511.9,17
E66.9,17
332.0,17
428.0,16
535.10,16
303.93,16
429.3,16
519.8,16
