fecha_alta,Frequency.65
2016-02-05,71
2014-02-28,69
2014-04-10,68
2015-06-26,67
2013-10-31,63
2013-12-20,63
2014-03-07,63
2014-11-28,63
2009-10-05,63
2014-05-23,62
2010-06-18,62
2009-12-11,62
2016-11-03,61
2012-05-17,61
2011-12-23,61
2009-11-13,61
2014-10-21,61
2013-12-05,61
2009-12-23,61
2014-03-27,61
2008-11-28,60
2013-02-28,60
2009-04-30,60
2010-06-25,60
2011-05-20,60
2012-10-31,60
2012-10-11,60
2016-03-04,60
2011-09-30,59
2014-10-16,59
2016-12-23,59
2014-02-12,59
2015-02-03,59
2014-03-13,59
2016-02-04,58
2015-05-22,58
2010-12-01,58
2008-10-31,58
2013-11-26,58
2012-05-24,58
2009-05-06,58
2014-06-02,58
2014-12-10,58
2015-06-19,58
2008-04-09,58
2013-09-20,58
2011-04-15,57
2015-12-04,57
2011-04-20,57
2010-05-07,57
2014-10-17,57
2009-02-27,57
2015-02-11,57
2012-11-29,57
2010-10-08,57
2012-02-08,57
2012-02-15,57
2012-07-06,57
2008-12-19,57
2010-11-17,56
2014-01-17,56
2016-04-28,56
2015-05-21,56
2013-04-26,56
2014-04-15,56
2013-04-30,56
2012-11-20,56
2015-05-04,56
2015-05-06,56
2010-12-10,56
2016-04-22,56
2013-11-15,56
2015-02-09,56
2012-02-03,56
2012-10-30,56
2016-06-03,56
2011-11-11,56
2016-02-26,56
2014-06-20,56
2013-10-08,56
2012-03-16,55
2012-12-11,55
2014-04-04,55
2014-04-03,55
2012-12-05,55
2014-10-08,55
2012-03-28,55
2014-04-14,55
2015-12-23,55
2014-07-23,55
2013-03-08,55
2011-12-20,55
2012-03-13,55
2016-01-21,55
2011-11-30,55
2012-10-26,55
2016-03-23,55
2010-06-03,55
2009-04-03,55
2015-11-30,55
