p8,Frequency.40
38.93,225
39.96,204
99.29,197
99.21,168
99.19,159
88.72,118
93.96,86
89.52,77
99.18,75
87.44,71
99.04,66
89.65,63
87.03,55
88.01,54
88.76,53
99.23,53
87.41,52
88.78,44
99.17,43
93.94,41
89.66,41
99.15,33
3E03329,33
93.90,32
88.57,30
96.04,29
39.97,28
88.38,27
00.45,27
57.94,25
91.33,22
88.91,22
90.52,22
00.40,21
96.6,21
88.56,20
90.59,20
99.05,18
3E033GC,16
96.71,16
88.77,16
88.71,16
91.39,16
91.32,16
3E033NZ,15
96.70,15
88.19,15
89.14,14
75.34,14
89.54,14
88.02,14
90.53,14
3E0337Z,13
00.46,13
88.26,13
88.97,13
88.93,13
39.95,12
BY4FZZZ,12
99.11,12
36.07,12
36.06,12
89.37,11
00.41,10
88.75,10
99.07,10
38.91,9
86.28,8
96.07,8
88.53,8
96.72,8
44.13,8
37.22,8
99.26,8
89.13,7
86.22,7
45.23,7
45.13,7
90.92,7
90.43,7
88.79,7
88.92,7
96.39,7
99.25,7
4A02X4Z,6
89.04,6
3E033VJ,6
93.99,6
30233N1,6
94.52,6
B246ZZZ,6
99.10,6
03.31,6
39.61,6
31.1,6
96.49,6
4A12X45,6
99.24,6
87.49,6
