peso_grd,Frequency.68
1.04,7362
0.59,3518
0.69,3440
1.1,3000
0.73,2646
2.22,2289
1.02,2160
1.41,2144
1.01,1988
0.82,1934
0.88,1881
1.3,1806
0.68,1677
0.96,1633
1.06,1504
0.93,1473
1.19,1267
1.18,1220
0.74,1204
2.77,1189
1.67,1167
1.09,1164
1.0,1142
0.85,1106
0.87,1102
0.71,1094
0.54,1026
1.08,1016
1.91,984
1.4,927
4.16,906
1.53,886
1.38,883
3.3,844
0.29,831
3.15,782
1.03,778
0.61,766
0.81,764
0.98,703
1.81,681
1.68,658
0.76,599
0.77,589
1.12,570
2.08,567
0.99,563
0.72,562
0.58,557
0.91,537
0.97,506
3.06,488
1.23,487
0.79,477
0.65,444
0.92,444
2.05,435
1.74,425
1.31,421
0.63,410
3.85,409
1.32,408
1.07,404
2.9,399
0.94,393
0.5,392
1.11,379
0.56,370
3.46,363
1.86,360
1.16,357
1.63,356
1.43,355
1.82,339
0.89,334
1.35,329
1.22,317
0.47,309
2.75,308
1.65,308
3.51,305
0.78,295
0.64,289
1.2,286
1.49,279
6.46,265
2.88,265
0.67,261
0.84,257
1.48,257
1.21,256
1.98,254
1.61,253
2.86,246
2.85,245
3.07,238
0.51,237
0.45,237
0.57,234
2.72,230
