cod_diagnostico,Frequency.4
460,20154
462,13733
466.0,6625
009.1,6211
595,5087
372.0,3482
463,3345
380.4,2568
487,1831
786.2,1651
380.1,1639
00084,872
V68,711
780.6,657
00046,635
724.2,498
465,498
599.0,487
780,477
789.0,432
490,386
372.05,360
595.0,347
466,320
461,318
780.4,310
V64.3,299
461.9,279
101010,260
787.3,250
787.0,248
535.0,247
V22,244
723.1,224
V68.1,214
464,201
250,199
V22.2,192
784.0,186
692,181
300.0,176
790,172
997.91,171
382.9,162
536.8,162
401,159
523.0,155
724.5,150
719.41,146
464.1,140
079.99,139
787.03,136
272,134
009,132
491.21,131
919.8,129
787.91,129
00082,126
381.0,124
522.7,122
692.9,116
V58.6,115
916.4,112
464.0,110
788,109
558.9,106
053,106
112.1,105
250.00,104
486,104
787.01,104
00132,104
919.4,95
382.0,94
788.0,94
523.3,91
381.01,89
528.2,88
280,88
786.5,88
525.9,84
686.9,84
715,84
052,84
719.4,83
521.0,83
724.3,80
726,79
922.1,78
112.0,77
00004,75
733,75
686,74
780.79,74
845.00,74
575.0,72
616.10,72
719.46,71
595.9,71
519.8,71
