fecha_fin,Frequency.3
2008-10-13,625
2008-10-20,622
2008-10-15,616
2008-10-14,597
2008-10-21,595
2008-10-28,592
2008-10-22,587
2008-10-27,579
2008-11-04,576
2008-10-29,559
2008-10-16,558
2008-11-12,557
2008-11-03,546
2008-10-23,538
2008-11-11,534
2008-10-17,531
2008-11-13,530
2008-11-05,519
2008-11-18,516
2008-11-06,515
2008-11-10,507
2008-10-30,506
2008-11-24,504
2008-11-17,504
2008-11-26,501
2008-11-25,488
2008-12-01,479
2008-11-19,476
2008-12-16,476
2008-05-05,473
2008-12-03,468
2008-11-07,467
2008-06-25,466
2008-12-02,462
2008-12-12,460
2008-10-24,458
2008-05-21,454
2008-04-15,452
2008-05-28,451
2008-10-07,451
2008-05-20,450
2008-06-17,449
2008-06-10,448
2008-05-27,444
2008-05-12,443
2008-06-12,443
2008-12-18,442
2008-05-06,440
2008-06-03,439
2008-09-30,439
2008-11-20,437
2008-12-15,436
2008-12-09,435
2008-07-01,435
2008-05-26,433
2008-10-01,433
2008-05-08,432
2008-05-15,431
2008-06-04,424
2008-05-13,423
2008-04-29,423
2008-04-07,423
2008-04-30,422
2008-12-10,421
2008-06-30,421
2008-05-19,419
2008-12-17,419
2008-04-14,418
2008-12-11,418
2008-04-16,417
2008-09-29,417
2008-04-28,417
2008-06-11,416
2008-09-22,416
2008-11-27,415
2008-05-14,414
2008-11-14,413
2008-04-17,410
2008-04-21,410
2008-06-19,410
2008-04-08,410
2008-09-24,407
2008-10-06,407
2008-06-09,406
2008-09-17,405
2008-05-22,404
2008-07-02,404
2008-11-21,403
2008-04-22,403
2008-09-23,401
2008-06-18,400
2008-06-16,399
2008-04-01,398
2008-12-04,397
2008-06-23,397
2008-07-07,396
2008-12-19,396
2008-02-11,394
2008-10-31,394
2008-06-24,394
