fecha_inicio,Frequency.2
2008-01-03,395
2008-01-08,391
2008-01-02,378
2008-01-07,371
2008-01-16,360
2008-01-10,358
2008-01-09,345
2008-02-04,336
2007-12-28,335
2008-01-04,333
2008-01-14,330
2008-01-15,329
2007-12-27,327
2007-12-26,326
2008-01-28,325
2007-12-17,321
2007-11-21,318
2007-12-03,317
2007-12-10,314
2007-12-12,314
2007-11-20,309
2008-03-26,308
2008-01-21,304
2007-12-18,302
2007-11-26,299
2008-02-05,298
2008-02-11,295
2008-02-20,294
2007-12-04,292
2007-10-16,291
2008-01-17,291
2008-01-24,290
2007-11-07,290
2008-01-11,290
2007-11-19,288
2007-11-05,288
2007-12-20,287
2008-02-25,287
2008-01-23,287
2008-02-14,286
2007-12-13,283
2008-02-19,283
2007-11-06,283
2008-02-18,282
2008-02-12,282
2008-01-18,282
2008-03-25,279
2008-03-06,278
2007-11-13,278
2008-03-10,277
2007-11-27,277
2008-01-22,277
2008-03-03,275
2008-02-26,274
2007-11-28,273
2008-01-30,272
2008-02-08,271
2008-02-06,270
2007-12-11,269
2007-10-10,268
2008-01-31,267
2007-11-12,266
2008-02-07,265
2008-02-21,264
2008-03-27,264
2008-02-27,263
2007-11-22,262
2008-03-05,261
2007-10-30,260
2007-10-24,260
2007-10-29,259
2007-10-15,258
2007-12-19,257
2008-04-01,256
2007-11-14,255
2008-01-25,255
2008-03-17,254
2008-03-11,254
2007-12-14,254
2007-10-31,254
2008-02-13,253
2008-01-29,253
2007-10-22,252
2007-11-08,249
2007-11-29,247
2007-11-15,247
2007-12-05,246
2007-10-23,244
2008-02-01,243
2008-03-28,243
2008-03-12,241
2008-03-04,240
2007-10-01,238
2007-10-02,236
2008-02-15,235
2007-12-21,233
2008-04-08,233
2008-04-07,232
2008-03-07,231
2008-02-22,231
