fecha_consulta,Frequency.3
2015-12-15,227
2015-04-21,213
2015-11-25,213
2014-05-20,210
2015-01-26,210
2015-10-27,209
2014-04-08,207
2014-12-16,207
2015-11-30,206
2015-05-06,205
2015-03-25,205
2014-02-26,203
2014-11-18,203
2014-12-01,203
2015-10-20,202
2014-06-17,202
2015-12-01,201
2014-11-03,199
2014-11-19,199
2014-06-03,199
2014-04-30,198
2014-10-22,198
2014-03-24,198
2014-10-15,197
2014-05-07,197
2014-11-12,197
2015-10-06,196
2014-05-06,196
2014-03-04,196
2015-02-11,195
2014-05-14,194
2014-03-06,194
2015-03-11,193
2015-02-10,193
2015-11-19,193
2015-11-24,193
2015-04-14,192
2015-01-14,192
2015-11-12,192
2014-10-30,191
2015-04-28,191
2015-11-05,191
2014-01-14,190
2014-01-21,190
2014-01-29,190
2014-10-21,190
2014-11-04,190
2014-06-09,190
2015-06-08,190
2014-01-13,189
2015-05-26,189
2015-12-10,189
2015-02-17,189
2014-11-17,189
2015-01-19,189
2015-11-17,189
2015-12-14,188
2015-12-16,188
2014-05-21,187
2015-05-19,186
2014-05-28,186
2014-04-14,185
2015-02-24,185
2015-02-25,185
2014-04-29,185
2014-05-12,184
2015-11-02,184
2015-01-20,184
2014-11-27,184
2015-06-25,184
2015-03-17,184
2014-12-18,184
2015-12-17,183
2015-02-12,183
2014-05-13,183
2015-11-03,183
2014-03-10,183
2015-01-12,183
2015-03-04,182
2014-10-07,182
2014-10-14,182
2015-10-19,182
2014-05-08,182
2015-04-22,182
2014-02-27,182
2014-11-11,182
2014-11-26,182
2014-11-24,182
2015-11-10,182
2015-03-26,182
2015-05-25,181
2015-03-09,181
2014-10-13,181
2014-10-29,181
2015-05-07,181
2015-04-15,181
2014-12-10,181
2015-06-22,181
2015-11-11,181
2015-06-17,181
