fecha_registro,Frequency.3
2014-10-23,177
2014-10-22,176
2015-11-18,174
2015-10-20,172
2015-01-19,172
2014-11-05,170
2013-10-23,169
2014-10-27,169
2013-10-16,169
2015-04-27,168
2015-03-24,167
2015-11-17,166
2014-04-08,165
2013-10-18,165
2013-02-25,164
2013-11-06,163
2013-03-12,163
2014-03-24,163
2013-11-04,162
2014-01-28,162
2014-10-24,162
2015-10-21,162
2015-11-03,162
2015-11-04,162
2014-11-26,162
2013-01-28,162
2014-03-27,162
2013-10-29,161
2015-11-05,161
2013-01-14,161
2015-01-26,160
2014-06-09,160
2014-03-31,160
2014-02-10,159
2014-10-28,159
2013-01-10,159
2015-03-23,159
2014-12-15,159
2013-10-21,158
2014-05-13,158
2015-01-12,158
2013-10-17,158
2015-10-29,157
2015-01-27,157
2013-02-01,157
2014-12-03,157
2014-10-29,156
2013-10-01,156
2015-12-01,155
2013-10-28,155
2015-02-16,155
2015-05-05,155
2013-02-19,154
2014-04-14,154
2014-10-21,154
2014-11-10,154
2014-05-26,154
2014-11-24,154
2013-04-15,154
2015-03-25,154
2013-05-29,153
2014-05-14,153
2015-04-20,153
2014-11-25,153
2014-01-13,152
2013-02-18,152
2015-10-19,152
2015-02-10,152
2014-11-03,152
2013-03-26,152
2015-01-20,152
2013-11-05,151
2014-02-03,151
2015-02-02,151
2015-10-28,151
2015-01-08,151
2013-04-05,151
2015-03-16,151
2013-11-11,150
2015-01-21,150
2014-11-11,150
2014-03-11,150
2015-11-16,150
2013-01-21,150
2013-02-21,149
2015-05-25,149
2013-02-06,149
2013-03-25,149
2015-10-27,149
2013-12-12,149
2013-03-20,149
2014-03-03,149
2013-05-14,148
2014-01-30,148
2014-05-05,148
2015-04-22,148
2014-11-12,148
2013-03-15,148
2013-06-12,148
2014-01-09,148
