fecha_alta,Frequency.6
2012-12-21,78
2015-12-18,76
2014-04-04,73
2015-04-01,73
2014-02-14,72
2015-11-06,72
2015-04-30,71
2015-12-11,69
2015-12-23,69
2016-03-22,69
2015-10-08,68
2014-11-28,68
2013-10-31,67
2014-05-09,67
2015-04-24,67
2015-09-25,67
2016-05-13,67
2016-03-02,67
2015-02-25,66
2015-12-30,66
2015-05-08,66
2015-10-30,66
2014-12-05,66
2016-02-05,65
2012-03-08,65
2013-11-15,65
2013-03-28,65
2012-01-13,65
2014-06-20,65
2010-12-03,64
2015-10-19,64
2015-02-09,64
2016-03-17,64
2012-02-10,64
2015-06-19,64
2013-04-05,64
2014-04-17,63
2011-12-23,63
2014-02-07,63
2016-12-23,63
2014-10-31,63
2015-01-23,63
2015-09-22,63
2015-01-16,63
2013-04-25,63
2014-03-28,63
2015-12-04,62
2014-12-23,62
2013-05-31,62
2015-02-06,62
2015-01-30,62
2012-05-04,62
2012-02-17,62
2014-06-06,62
2014-01-10,62
2016-03-04,62
2014-09-19,61
2012-03-09,61
2016-12-21,61
2015-04-02,61
2012-02-24,61
2015-11-10,61
2013-01-30,61
2013-10-11,61
2016-02-26,61
2015-03-13,61
2014-12-19,61
2014-01-29,60
2014-01-31,60
2013-10-24,60
2012-06-22,60
2015-02-20,60
2014-04-30,60
2015-02-13,60
2014-10-22,60
2016-12-30,60
2013-11-11,60
2015-07-15,60
2014-03-07,60
2014-03-21,60
2014-06-13,60
2016-05-17,60
2012-01-20,60
2012-03-16,59
2014-01-27,59
2015-12-22,59
2016-04-01,59
2015-02-10,59
2015-02-03,59
2016-01-29,59
2010-01-15,59
2016-04-14,59
2016-12-16,59
2016-06-03,59
2015-11-03,59
2012-01-27,59
2014-03-31,59
2013-01-18,59
2013-04-12,59
2016-03-07,59
