fecha_ingreso,Frequency.5
2015-12-01,76
2016-03-14,68
2015-09-21,68
2014-10-20,65
2015-01-29,65
2015-10-19,64
2014-11-13,64
2016-03-08,64
2014-12-16,64
2014-10-30,62
2013-06-03,62
2016-01-11,62
2015-02-02,62
2014-03-12,62
2015-11-10,62
2015-06-08,62
2014-04-14,61
2015-10-06,61
2012-05-28,61
2015-03-30,61
2016-02-08,60
2014-02-04,60
2014-02-24,60
2014-03-17,60
2014-06-09,60
2015-12-09,59
2016-02-10,59
2014-02-10,59
2014-06-04,59
2014-11-25,59
2014-01-09,59
2015-03-16,59
2014-01-14,58
2015-12-14,58
2014-01-27,58
2014-04-29,58
2015-10-13,58
2013-11-14,58
2016-05-17,58
2015-03-11,57
2012-12-05,57
2014-01-28,57
2012-12-19,57
2015-02-23,57
2012-01-11,57
2016-04-11,57
2015-02-03,57
2015-10-29,57
2016-06-06,57
2015-11-03,57
2011-11-21,57
2014-06-10,57
2016-02-24,57
2015-05-25,56
2016-05-03,56
2015-02-16,56
2014-10-21,56
2014-05-26,56
2015-01-12,56
2016-05-23,56
2014-12-09,56
2015-06-17,56
2016-05-16,56
2014-04-01,56
2016-11-08,55
2014-01-13,55
2016-02-09,55
2014-10-02,55
2014-09-30,55
2015-02-26,55
2015-02-24,55
2014-10-27,55
2014-02-13,55
2015-10-26,55
2013-12-10,55
2014-11-26,55
2015-01-19,55
2015-11-18,55
2015-06-15,55
2012-01-31,55
2014-01-21,54
2013-11-04,54
2015-03-09,54
2015-08-10,54
2014-01-23,54
2015-05-18,54
2013-05-28,54
2013-02-25,54
2016-01-25,54
2016-06-13,54
2015-01-28,54
2015-06-29,54
2012-02-22,54
2013-04-24,54
2015-03-23,54
2016-02-23,54
2012-04-18,54
2013-10-02,54
2016-03-02,54
2015-02-09,53
