peso_grd,Frequency.9
2.22,4400
1.04,3765
0.69,3504
1.3,3150
0.59,2701
1.41,2177
0.88,2157
4.16,2068
1.18,1939
3.3,1898
1.67,1876
1.06,1821
1.1,1572
1.02,1566
0.68,1370
0.73,1216
1.03,1184
1.19,1123
0.82,1114
2.77,1111
1.01,1108
1.08,1035
0.85,1031
0.71,1026
1.68,996
1.74,954
0.99,944
3.06,936
3.85,924
1.09,916
1.81,901
2.05,877
1.0,860
1.91,857
0.98,834
1.4,823
0.81,786
1.32,742
1.38,727
0.93,714
0.58,668
3.15,668
0.61,657
1.11,637
0.92,613
0.87,605
0.54,602
0.91,592
1.31,590
1.53,574
2.9,565
0.74,555
6.46,542
1.86,535
1.49,531
0.96,524
0.79,519
0.29,503
0.77,494
1.16,479
0.72,474
3.04,467
2.08,445
1.63,441
1.43,432
2.72,431
3.46,410
2.88,410
1.2,402
2.75,370
3.51,370
2.1,364
2.93,363
5.67,352
0.94,347
1.25,344
0.97,341
1.77,334
0.56,331
1.21,328
0.65,327
1.65,323
6.23,322
1.12,309
4.65,306
0.64,297
1.82,295
0.84,294
3.62,285
1.22,280
0.89,275
1.61,271
5.91,267
43.47,267
1.75,265
1.23,262
2.85,261
0.67,258
2.86,249
1.07,246
