cod_diagnostico,Frequency.4
00084,2082
401.9,1827
536.8,1383
724.2,1296
272.0,1131
00046,992
250.00,858
305.1,800
723.1,778
00082,730
0008N,717
272.4,704
780.4,691
719.46,668
300.00,635
692.9,584
459.81,575
00132,570
780.52,546
784.0,535
V07.39D,526
300.0,482
285.9,433
719.41,404
427.31,390
599.0,375
724.5,366
311,351
519.8,347
366.9,340
724.3,333
244.9,333
00004,332
564.0,325
278.00,312
525.9,302
401.1,295
715,295
729.5,288
V27.0,285
382.9,279
280.9,277
455.6,276
99.21,273
788.3,267
530.81,264
787.91,261
13.41,260
726.90,258
522.7,253
300.4,252
110.1,249
995.3,246
790.6,242
V58.61,240
13.71,239
786.09,236
99.29,232
787.1,229
466.0,228
786.2,227
719.45,226
87.44,223
401,222
216.9,222
477.9,217
272.2,217
V72.31,212
682.9,211
715.9,211
101010,208
272.1,207
00085,205
709.9,202
585.9,197
88.72,195
786.50,195
790.4,194
486,193
00001,192
87.03,191
V15.82,187
595.9,185
078.10,183
472.0,182
477,180
88.76,180
354.0,178
627.2,176
553.3,175
595.0,174
729.1,169
789.06,169
733.90,167
706.2,166
715.96,165
73.59,163
733.0,161
88.01,160
708.9,157
