fecha_fin,Frequency.3
2015-02-06,32
2015-02-13,28
2015-04-28,28
2015-02-12,27
2014-04-10,26
2015-07-10,26
2014-12-19,26
2015-12-18,25
2012-12-14,25
2015-05-08,25
2013-11-21,25
2015-10-28,25
2015-03-06,24
2014-12-23,24
2015-02-03,24
2015-01-23,24
2015-11-13,24
2013-04-05,24
2014-01-10,24
2014-01-15,23
2012-06-21,23
2014-10-30,23
2016-04-22,23
2016-10-03,23
2015-07-07,23
2013-12-17,23
2014-03-05,23
2012-06-29,23
2014-12-01,23
2014-03-26,23
2014-03-28,23
2014-12-11,23
2014-07-04,22
2013-02-22,22
2014-12-22,22
2011-02-01,22
2013-07-26,22
2016-01-21,22
2013-01-04,22
2015-04-21,22
2015-09-23,22
2011-11-15,22
2015-04-10,22
2012-05-11,22
2016-05-20,22
2016-02-26,22
2014-03-27,22
2012-06-07,21
2016-05-12,21
2011-04-20,21
2013-10-31,21
2013-02-08,21
2014-04-16,21
2012-04-04,21
2015-05-19,21
2014-04-30,21
2012-11-22,21
2014-02-11,21
2011-12-09,21
2011-03-03,21
2015-04-23,21
2013-04-03,21
2015-01-22,21
2015-11-05,21
2014-05-29,21
2015-01-14,21
2015-01-15,21
2014-03-06,21
2014-11-21,21
2016-11-21,21
2015-11-17,21
2015-11-19,21
2012-07-06,21
2016-02-25,21
2015-09-08,21
2016-05-13,21
2015-09-01,21
2011-05-13,21
2015-06-12,21
2008-06-27,21
2011-10-28,21
2014-06-17,21
2015-08-28,21
2016-03-07,21
2011-04-13,20
2013-05-07,20
2014-01-28,20
2014-01-31,20
2014-10-10,20
2012-03-02,20
2015-05-05,20
2015-02-19,20
2016-12-22,20
2016-04-14,20
2011-11-04,20
2014-09-05,20
2014-03-13,20
2013-04-23,20
2015-11-20,20
