grd,Frequency.9
39.0,1333
541.0,1112
373.0,975
372.0,724
127.0,686
544.0,483
14.0,409
371.0,367
584.0,315
89.0,313
88.0,307
359.0,276
533.0,272
42.0,259
82.0,253
101.0,245
209.0,242
569.0,238
87.0,233
557.0,231
162.0,228
552.0,218
320.0,209
818.0,206
270.0,195
125.0,194
225.0,192
543.0,189
585.0,188
321.0,187
204.0,184
316.0,182
187.0,181
430.0,179
311.0,168
370.0,167
494.0,167
158.0,166
172.0,165
124.0,152
55.0,150
203.0,147
40.0,145
138.0,144
208.0,144
90.0,139
143.0,139
211.0,138
853.0,138
854.0,138
219.0,138
222.0,138
116.0,137
174.0,137
160.0,136
550.0,135
207.0,132
395.0,130
551.0,130
175.0,129
183.0,127
227.0,125
139.0,124
540.0,121
148.0,119
867.0,117
6.0,114
96.0,114
810.0,114
832.0,114
122.0,112
901.0,112
808.0,107
140.0,106
467.0,106
73.0,105
202.0,105
243.0,103
149.0,103
886.0,101
229.0,101
121.0,100
566.0,97
210.0,96
105.0,95
224.0,94
182.0,93
266.0,92
558.0,88
296.0,88
189.0,88
205.0,87
813.0,86
260.0,86
461.0,86
188.0,86
574.0,84
102.0,84
588.0,84
