num_estancia_uci,Frequency.3
0,92811
1,264
25,231
24,230
23,203
2,186
26,179
22,172
27,153
3,132
4,120
20,113
21,109
47,109
46,106
28,103
48,97
49,91
42,86
43,82
45,79
29,78
50,77
41,75
44,75
30,71
19,68
51,66
5,65
39,65
6,64
31,62
18,59
17,58
7,57
52,56
40,54
71,53
37,51
70,51
8,50
32,49
53,49
16,48
69,46
38,44
72,44
15,43
75,39
65,38
67,38
66,37
35,36
64,36
73,36
94,35
10,35
11,35
96,34
14,34
36,34
9,33
60,33
54,32
55,31
59,31
68,31
74,31
88,30
13,30
33,30
61,30
91,29
34,29
78,29
90,27
95,27
12,27
56,27
62,27
77,26
93,24
118,23
97,23
57,22
63,22
76,21
119,20
86,20
89,19
114,18
81,18
98,17
99,17
100,17
115,16
123,15
112,14
124,14
102,14
