cod_diagnostico,Frequency.7
724.2,7109
-1.0,5647
723.1,2597
460.0,2396
724.3,2390
300.0,2319
466.0,1765
9.1,1741
462.0,1710
845.0,1616
487.1,1367
640.0,1321
463.0,1297
300.4,1190
719.46,1176
-2.0,1068
780.4,1035
788.0,1013
311.0,958
300.0,954
79.99,778
519.8,725
717.5,715
719.41,695
724.5,671
722.1,667
847.0,659
487.0,647
550.0,644
354.0,614
9.0,563
726.9,491
486.0,487
789.0,475
787.91,461
558.9,429
644.0,409
490.0,389
723.5,344
848.9,344
844.9,337
723.3,336
826.0,314
553.1,312
922.1,310
386.19,309
218.9,299
780.6,290
719.45,290
729.5,279
883.0,269
735.0,267
682.9,265
784.0,259
540.9,252
459.81,249
726.32,246
729.1,245
233.0,244
522.7,224
726.1,222
637.9,220
787.0,217
599.0,216
366.9,210
401.9,205
309.9,201
924.9,196
536.8,194
924.8,193
346.9,190
813.05,183
924.11,179
565.0,175
174.9,175
706.2,174
216.9,174
550.9,173
786.5,173
382.9,172
845.0,172
309.28,172
372.0,172
715.96,172
562.11,170
525.9,167
465.8,163
455.6,155
52.9,155
565.1,154
493.9,152
434.91,152
626.6,151
816.0,151
566.0,150
728.71,148
628.9,147
825.25,147
789.0,142
780.79,142
