cod_procedimiento,Frequency.9
-1.0,94367
51.23,223
80.26,218
53.29,190
38.59,141
4.43,111
13.41,108
0.9,106
21.88,103
49.46,100
-2.0,97
67.2,95
51.2,90
77.54,84
68.12,81
47.0,79
63.73,77
75.1,74
68.4,72
53.49,71
53.0,58
23.1,55
23.6,49
45.23,45
86.2,44
6.4,44
53.51,44
80.21,43
68.5,42
54.21,41
86.21,39
68.41,35
81.0,34
64.0,30
6.3,30
86.4,29
47.01,27
53.43,27
68.3,26
77.28,24
85.4,24
80.25,24
49.01,24
11.7,24
68.6,22
28.2,22
69.0,22
85.7,21
85.89,21
13.69,21
14.74,20
77.5,20
51.22,20
85.5,19
53.4,19
85.79,18
63.7,18
13.6,18
54.1,18
38.5,18
60.5,17
68.61,17
21.87,17
49.11,16
60.2,16
49.73,15
68.9,15
80.6,15
40.22,14
23.09,14
69.92,14
85.6,14
98.51,14
19.1,14
69.09,13
77.57,13
28.7,13
81.51,13
49.12,13
23.5,13
11.3,13
85.21,13
53.61,12
69.02,12
53.0,12
85.12,12
61.2,12
53.1,12
28.6,11
85.8,11
53.39,11
86.04,11
85.32,11
19.5,11
69.99,10
49.51,10
55.5,10
83.63,10
53.9,10
19.4,10
