dias_baja,Frequency.5
1,5642
4,5182
5,4852
3,4169
8,3995
2,3796
11,3066
7,2911
6,2775
12,2494
9,2442
18,2112
15,1929
10,1895
19,1631
13,1457
14,1401
25,1358
16,1227
22,1188
26,1120
17,1107
32,1050
20,968
33,951
21,915
39,864
29,835
23,820
46,814
27,722
24,712
28,689
36,688
40,678
30,676
47,665
34,627
35,606
31,603
43,564
53,492
37,467
42,459
54,457
60,454
50,452
48,437
41,436
44,429
38,427
49,401
74,398
67,374
61,364
57,345
51,327
56,326
45,320
64,315
75,311
68,303
55,302
52,276
63,272
71,267
58,266
88,261
81,260
62,254
69,239
70,234
82,233
78,230
102,227
95,220
59,220
65,215
72,207
77,202
85,199
89,197
76,196
96,189
79,176
84,175
73,174
123,173
103,169
66,166
83,166
109,165
92,163
116,162
90,162
99,161
106,153
80,151
91,148
130,147
