fecha_alta,Frequency.4
2013-02-15,303
2014-01-31,282
2013-02-22,268
2015-01-30,268
2015-02-13,265
2015-02-06,265
2013-03-01,261
2013-02-08,257
2014-01-24,254
2013-02-01,254
2015-02-20,249
2015-02-27,246
2015-02-02,246
2014-01-17,244
2015-02-09,241
2014-01-10,235
2015-02-23,233
2014-01-27,231
2013-02-11,229
2014-01-20,228
2015-03-06,228
2014-02-21,227
2015-01-23,227
2015-03-27,226
2013-02-18,224
2015-02-16,224
2013-02-25,221
2013-03-08,220
2015-11-06,219
2014-02-07,218
2014-02-14,218
2015-01-26,216
2014-06-30,215
2013-03-04,215
2014-02-28,215
2015-07-31,213
2013-12-05,213
2015-11-23,213
2015-04-30,211
2015-05-04,210
2013-03-15,210
2013-12-20,208
2015-11-20,208
2014-03-31,207
2015-01-16,204
2014-10-31,203
2015-03-02,202
2013-12-02,202
2015-01-19,202
2015-11-16,202
2014-12-05,202
2015-11-30,202
2014-02-03,201
2015-06-01,200
2013-10-31,199
2015-03-30,197
2013-05-31,195
2015-01-12,195
2013-12-13,194
2014-11-14,194
2014-11-28,194
2014-02-17,193
2015-12-04,192
2014-01-13,190
2015-10-08,190
2013-12-09,190
2014-05-26,190
2015-10-30,189
2015-05-29,188
2013-11-29,188
2014-03-07,188
2014-11-07,187
2015-06-05,187
2015-10-13,186
2015-04-24,186
2015-06-12,186
2014-03-28,186
2015-11-13,185
2014-06-13,185
2014-03-14,185
2015-03-13,185
2015-12-11,184
2013-11-15,184
2015-04-07,184
2014-11-24,184
2013-01-25,184
2014-01-07,183
2015-12-18,182
2014-03-10,182
2015-06-26,182
2015-03-23,182
2015-06-15,182
2015-05-18,181
2014-11-21,180
2013-03-11,179
2015-01-09,179
2013-06-28,179
2014-03-21,178
2015-11-27,178
