fecha_baja,Frequency.3
2013-02-11,410
2013-02-18,385
2013-02-04,365
2013-02-25,345
2013-01-28,343
2015-02-02,323
2014-01-07,318
2015-02-09,313
2015-03-02,302
2015-01-19,294
2014-01-27,293
2015-02-16,289
2013-01-21,286
2013-01-07,278
2015-02-23,272
2014-02-03,272
2014-01-13,271
2015-05-04,271
2015-11-02,271
2015-01-26,270
2013-03-04,266
2014-02-10,266
2014-01-20,262
2015-01-12,262
2014-02-17,261
2015-11-16,252
2014-03-03,248
2015-10-13,243
2015-01-07,242
2015-11-09,240
2015-03-23,238
2013-03-20,232
2014-11-17,229
2014-12-15,228
2013-02-19,225
2015-05-11,225
2013-01-14,224
2014-10-13,223
2015-10-19,222
2014-11-10,222
2015-12-09,221
2015-05-18,221
2015-11-23,221
2015-03-09,220
2015-12-14,219
2014-12-09,219
2013-11-25,218
2014-10-27,218
2014-06-02,218
2013-11-04,216
2015-03-16,216
2015-04-07,215
2014-03-24,215
2015-06-01,214
2013-03-11,214
2013-12-16,214
2015-06-08,214
2014-10-20,213
2014-05-05,213
2013-11-18,213
2014-03-10,212
2013-12-09,211
2015-06-15,211
2013-05-06,209
2013-02-12,209
2015-10-26,209
2015-04-14,209
2015-02-10,208
2014-12-01,208
2014-05-19,205
2014-11-24,204
2014-05-12,203
2014-11-03,202
2015-06-22,202
2013-05-27,201
2014-09-01,201
2014-10-06,200
2015-04-20,200
2014-06-09,200
2013-04-15,199
2015-01-20,196
2015-05-25,195
2013-11-11,195
2013-12-02,195
2013-06-03,193
2014-02-24,193
2013-02-06,192
2014-05-26,192
2015-06-29,192
2013-01-23,192
2013-01-02,191
2015-07-06,191
2015-09-14,191
2013-04-09,191
2013-02-13,190
2014-04-07,190
2013-09-30,189
2014-03-31,189
2014-01-14,188
2014-09-15,188
