cod_diagnostico,Frequency.4
460,4566
462,3181
00084,3038
V64.3,2085
724.2,1670
466.0,1487
536.8,1300
00046,1170
009.1,968
401,961
272.0,954
723.1,896
780.4,890
372.0,865
401.9,811
463,773
789.0,764
380.4,760
00082,738
272,703
0008N,701
692.9,698
719.46,695
300.0,676
00132,649
595,634
300.00,585
784.0,562
786.2,532
V07.39D,508
719.41,505
780.52,482
459.81,472
724.5,447
715,420
519.8,419
382.9,417
305.1,417
599.0,410
525.9,398
285.9,358
522.7,355
00004,353
564.0,353
788.0,352
724.3,351
250.00,349
595.0,349
729.5,337
787.91,323
787.1,322
780.79,312
995.3,295
401.1,293
490,291
726.90,290
780,289
595.9,284
845.00,271
311,270
272.4,263
719.45,259
487,257
788.3,257
682.9,257
110.1,256
530.81,242
455.6,239
477.9,237
715.9,237
786.50,237
280.9,232
708.9,230
477,228
786.09,228
V22.2,225
112.1,224
250,219
300.4,219
780.6,217
079.99,217
472.0,214
078.10,213
244.9,213
216.9,211
380.1,206
790.6,205
101010,204
692,202
V72.31,198
627.2,197
709.9,195
380.10,195
789.06,188
924.9,188
706.2,186
558.9,184
112.0,184
790,181
790.4,181
