fecha_inicio,Frequency.2
2014-03-12,68
2013-06-11,65
2014-04-02,65
2015-02-02,64
2014-01-08,64
2014-01-21,63
2014-05-06,63
2016-09-19,61
2014-06-10,61
2014-03-11,60
2016-02-18,59
2014-05-07,59
2016-04-12,59
2014-06-04,59
2015-01-14,59
2015-01-12,59
2014-04-22,58
2016-01-13,58
2016-01-11,58
2014-11-04,58
2014-03-03,58
2016-02-29,58
2013-11-05,57
2016-10-24,57
2014-04-15,57
2009-09-28,57
2013-05-20,57
2015-01-26,57
2014-11-10,57
2014-04-10,56
2016-05-11,56
2014-02-11,56
2014-10-27,56
2015-05-06,56
2016-03-21,56
2012-10-22,56
2015-01-21,56
2015-01-13,56
2014-03-20,56
2014-03-13,56
2014-12-09,56
2014-01-09,56
2012-03-21,55
2013-10-22,55
2015-02-23,55
2015-02-18,55
2015-02-16,55
2013-03-25,55
2013-12-11,55
2014-03-10,55
2016-05-23,55
2016-03-03,55
2014-01-15,54
2011-10-13,54
2016-02-09,54
2012-06-19,54
2016-10-11,54
2016-04-07,54
2015-02-03,54
2013-10-14,54
2016-11-07,53
2014-01-13,53
2014-04-14,53
2014-04-17,53
2016-02-15,53
2013-11-28,53
2014-10-28,53
2011-12-13,53
2015-09-30,53
2015-04-15,53
2014-02-28,53
2015-01-20,53
2014-11-24,53
2014-03-21,53
2016-11-23,53
2014-03-26,53
2011-03-22,52
2015-05-08,52
2015-10-23,52
2014-05-15,52
2014-11-17,52
2014-03-06,52
2011-02-07,52
2012-04-17,52
2014-03-25,52
2012-04-24,52
2013-02-18,51
2014-04-07,51
2013-02-21,51
2012-06-13,51
2015-02-26,51
2015-05-18,51
2015-02-19,51
2015-02-10,51
2016-01-20,51
2016-03-22,51
2009-01-12,51
2014-01-07,51
2012-10-18,51
2008-10-06,51
