fecha_prescripcion,Frequency.4
2015-01-14,223
2015-03-10,217
2015-02-10,217
2015-11-19,217
2015-10-06,216
2015-01-28,216
2015-05-05,214
2015-03-23,212
2015-09-21,210
2013-04-15,210
2013-11-14,208
2015-11-17,207
2013-04-03,206
2015-06-15,206
2015-01-26,205
2015-07-21,204
2015-04-01,204
2015-03-24,203
2015-05-26,202
2015-12-15,202
2015-10-26,202
2015-02-05,201
2015-01-19,200
2015-11-12,200
2013-04-11,200
2015-05-20,199
2015-12-21,199
2015-07-29,199
2013-11-12,199
2015-12-10,198
2015-07-08,198
2015-04-07,198
2015-06-09,198
2015-10-20,197
2013-12-18,197
2013-04-05,197
2015-12-03,196
2015-03-11,196
2015-09-24,196
2015-03-04,195
2015-10-13,195
2015-10-21,195
2015-07-14,195
2013-04-02,195
2015-07-02,195
2013-11-13,194
2015-07-13,194
2015-04-21,194
2015-11-16,194
2013-11-06,193
2015-12-17,193
2015-04-29,193
2015-11-24,193
2015-03-17,193
2015-03-16,193
2015-06-03,192
2015-02-11,192
2013-11-18,192
2015-01-15,192
2013-12-03,192
2015-01-08,192
2013-12-09,191
2015-11-10,191
2015-09-17,191
2013-10-08,191
2015-05-25,190
2015-03-09,190
2015-10-19,190
2015-09-22,190
2013-04-09,190
2015-03-12,190
2015-01-12,189
2015-09-16,189
2013-10-15,189
2013-04-23,189
2013-11-04,188
2013-05-14,188
2015-04-20,188
2013-12-11,188
2013-07-04,188
2015-05-19,187
2015-05-12,187
2015-07-28,187
2015-10-22,187
2015-04-22,187
2015-04-15,187
2015-11-11,187
2013-12-30,187
2015-05-04,186
2013-03-28,186
2015-09-29,186
2013-04-22,186
2015-03-02,185
2015-02-19,185
2013-11-21,185
2013-03-14,185
2013-12-02,185
2013-10-14,185
2013-04-04,185
2015-01-27,184
