cod_ud_medida,Frequency.5,codes,spanish description,english description,comment
-2,31266,4,[Sin referencia],[No reference],
-1,26669,3,[Vacio],[Empty],
%,14025,2,Tanto por cien,As a percentage,
mg/dL,12626,17,Miligramos / Decilitro,Milligram / Deciliter,
g/dL,3078,9,Gramos / Decilitro,Grams / Deciliter,
U/L,2553,33,Unidades / Litro,Units / Liter,
fL,2495,6,Femtolitros,femtoliters,
pg,1714,28,Picogramos,picograms,
mmol/L,1399,23,Milimoles / Litro,Millimoles / Liter,
ng/mL,932,27,Nanogramos / Mililitro,Nanograms / milliliter,
mg/L,448,18,Miligramos / Litro,Milligram / Liter,
µg/dL,406,8,Microgramos / Decilitro,Microgram / Deciliter,
I,343,11,indice,index,
mL/min,322,20,Mililitros / minutos,Ml / min,
mU/mL,311,25,Miliunidades / Mililitro,Milli / ml,
seg,285,30,Segundos,Seconds,
µUI/mL,207,31,Microunidades internacionales / Mililitro,International / ml Microdrives,
pg/mL,196,29,Picogramos / Mililitro,Picograms / ml,
ng/dL,166,26,Nanogramos / Decilitro,Nanograms / Deciliter,
mm/h,150,21,Milímetros / Hora,Mm / Time,
U/mL,109,34,Unidades / Mililitro,Units / ml,
UI/mL,70,32,Unidades internacionales / Mililitro,International / ml units,
.,67,1,.,.,
mUI/mL,55,24,Miliunidades internacionales / Mililitro,International / ml milli,
meq/L,48,15,Miliequivalentes / Litro,Milliequivalents / Liter,
µg/mL,34,10,Microgramos / Mililitro,Microgram / ml,
mcg/mg,13,14,microgramos/miligramos,microgram / milligram,
mg/24h,6,16,Miligramos / 24 horas,Mg / 24 hour,
kU/L,5,12,Kilounidades / Litro,Kilounits / Liter,
cm,1,5,centímetros,centimeters,
g/24h,1,7,Gramos / 24 horas,Grams / 24 hrs,
º,1,35,Grados,Degrees,
leu/µL,1,13,Leucocitos / Microlitro,Leucocytes / microlitre,
mm Hg,1,22,Milímetros de mercurio,Milimeters of mercury,
min,1,19,Minutos,minutes,
