fecha_registro,Frequency.3
2016-04-13,173
2015-09-30,164
2016-10-27,161
2015-10-29,161
2016-06-08,159
2016-05-23,158
2016-06-02,158
2015-10-22,157
2016-06-15,157
2015-06-22,157
2015-06-02,156
2016-05-18,156
2016-05-30,156
2016-10-26,155
2016-05-10,155
2015-05-06,153
2016-10-04,153
2015-06-25,153
2016-11-22,153
2015-04-21,152
2016-05-12,151
2016-01-26,151
2016-11-16,151
2016-10-06,150
2016-12-15,150
2016-02-24,150
2015-10-07,149
2016-04-21,149
2016-02-02,148
2016-10-20,148
2016-01-25,148
2015-06-17,148
2016-11-08,147
2016-02-12,147
2015-10-05,147
2016-04-19,147
2015-10-20,147
2015-10-28,147
2015-06-30,147
2015-09-23,147
2015-06-11,147
2016-02-16,146
2016-12-14,146
2016-05-20,146
2016-02-09,145
2016-02-11,145
2014-10-29,145
2016-04-18,145
2015-10-27,145
2015-11-30,145
2016-05-25,145
2016-04-26,144
2015-10-26,144
2016-11-23,144
2016-11-10,144
2015-03-11,143
2016-10-24,143
2015-05-14,143
2016-05-09,143
2016-06-10,143
2016-11-24,143
2015-03-12,143
2016-02-03,142
2013-10-16,142
2016-05-03,141
2015-10-19,141
2016-09-21,141
2015-04-23,141
2016-06-21,141
2016-05-19,141
2016-02-23,141
2016-11-17,141
2015-11-20,141
2016-03-09,141
2016-03-03,141
2016-11-04,140
2016-04-25,140
2013-10-30,140
2016-02-17,140
2016-05-04,140
2015-02-17,140
2015-05-05,140
2016-10-05,140
2016-06-03,140
2016-12-01,140
2016-05-24,140
2015-05-26,139
2015-04-28,139
2015-04-24,139
2015-01-28,139
2016-03-15,139
2016-06-06,139
2016-06-14,139
2016-11-03,138
2016-05-11,138
2016-04-11,138
2016-04-14,138
2016-12-02,138
2016-03-22,138
2016-11-15,138
