valor_registrado,Frequency.1
0.0,2007
0.2,738
0.1,649
80.0,645
1.0,583
0.4,576
70.0,564
0.5,552
0.3,550
0.6,529
140.0,483
0.7,429
5.0,428
100.0,428
6.0,406
60.0,406
75.0,379
130.0,362
90.0,347
0.8,335
85.0,330
0.9,325
120.0,321
15.0,320
13.0,318
7.0,317
14.0,314
2.0,302
10.0,296
5.5,291
33.0,278
76.0,270
141.0,269
6.5,269
11.0,262
89.0,260
4.0,258
32.0,256
78.0,255
142.0,255
4.4,255
12.0,252
25.0,251
1.02,251
4.5,249
65.0,249
34.0,244
31.0,244
86.0,242
98.0,241
16.0,241
4.3,239
4.6,239
83.0,239
17.0,237
82.0,237
72.0,237
84.0,236
3.0,236
30.0,236
4.2,233
139.0,233
150.0,231
110.0,229
79.0,228
29.0,227
68.0,226
96.0,225
77.0,225
93.0,224
87.0,222
81.0,221
1.1,221
20.0,220
28.0,216
4.8,215
73.0,212
91.0,212
21.0,212
95.0,211
74.0,211
99.0,210
66.0,210
18.0,209
92.0,208
88.0,206
71.0,205
69.0,204
64.0,204
8.0,204
138.0,203
0.02,203
102.0,202
9.0,200
22.0,199
19.0,198
4.7,197
1.01,194
94.0,193
