fecha_alta,Frequency.6
2015-03-13,79
2014-12-19,76
2015-03-06,75
2015-04-30,75
2015-04-17,75
2014-02-28,75
2014-04-17,74
2014-02-07,72
2015-01-28,71
2015-09-17,71
2014-06-06,71
2015-12-18,70
2015-02-20,69
2015-10-08,69
2015-10-30,69
2015-03-17,69
2015-05-26,68
2010-12-03,68
2015-10-23,68
2014-03-13,68
2014-02-26,67
2014-12-05,67
2014-06-19,67
2015-12-04,66
2015-03-04,66
2015-04-20,66
2013-06-07,66
2013-12-05,66
2013-12-20,65
2015-07-02,65
2013-03-15,65
2015-04-01,65
2015-03-24,65
2015-01-09,65
2014-06-20,65
2015-02-26,64
2015-02-13,64
2015-05-08,64
2014-02-24,64
2016-03-11,64
2014-03-04,64
2014-11-28,64
2015-11-20,64
2013-01-18,64
2015-03-18,64
2015-05-29,63
2011-04-20,63
2014-10-29,63
2012-03-02,63
2014-05-29,63
2015-03-31,63
2015-11-19,63
2015-03-23,63
2014-12-04,63
2013-04-26,62
2015-02-17,62
2015-10-16,62
2015-02-06,62
2015-02-04,62
2013-11-15,62
2014-05-16,62
2015-01-27,62
2014-02-25,62
2014-11-25,62
2013-01-25,62
2015-08-21,61
2015-12-14,61
2014-01-30,61
2015-02-24,61
2013-06-05,61
2013-03-11,61
2015-09-25,61
2015-07-03,61
2014-03-07,61
2015-11-25,61
2015-11-27,61
2014-03-28,61
2016-05-27,61
2015-06-01,60
2015-12-01,60
2015-03-05,60
2015-03-09,60
2015-12-17,60
2015-12-11,60
2014-04-15,60
2014-10-10,60
2015-12-30,60
2015-04-24,60
2015-01-26,60
2014-12-10,60
2015-03-27,60
2013-10-11,60
2014-04-04,59
2015-05-22,59
2014-07-15,59
2012-03-09,59
2016-06-22,59
2015-11-10,59
2015-11-17,59
2015-11-18,59
