peso_grd,Frequency.9
1.04,7236
0.59,4753
0.69,4190
2.22,2665
1.1,2285
0.88,2149
1.01,1903
1.41,1761
1.02,1617
2.77,1508
0.73,1439
1.67,1427
4.16,1423
1.3,1280
0.68,1207
1.06,1177
1.19,1157
1.09,1137
0.82,1099
0.93,1086
1.18,1012
3.3,970
0.85,960
1.4,936
1.08,936
0.96,869
2.9,834
1.68,824
3.51,813
1.0,809
0.71,794
1.91,770
6.46,768
0.81,764
3.15,762
0.87,754
3.06,731
0.74,720
1.81,699
1.53,698
3.85,686
1.11,620
1.12,614
1.03,566
0.54,562
3.46,559
0.98,554
2.05,549
2.08,528
0.76,522
3.07,517
0.91,511
2.88,494
1.74,488
0.29,482
5.67,474
0.61,472
43.47,458
5.91,449
0.72,448
1.23,446
1.07,443
1.82,439
1.86,421
0.58,418
1.38,416
2.93,407
0.97,404
1.31,397
0.77,390
2.16,390
1.32,387
2.86,378
1.43,372
0.99,369
1.49,367
0.94,366
1.65,360
1.16,356
0.79,320
0.92,319
1.2,305
1.77,300
3.04,298
2.75,292
4.65,291
6.23,289
0.5,285
1.63,285
1.98,278
0.89,277
2.72,276
0.56,270
15.07,266
0.65,256
5.78,253
26.59,252
1.22,238
1.58,236
3.2,236
