fecha_dispensacion,Frequency.4
2015-12-09,290
2014-12-09,257
2015-12-10,245
2015-12-11,244
2015-10-14,242
2015-09-25,241
2014-10-13,240
2015-10-13,238
2014-11-03,238
2015-10-15,234
2015-11-27,234
2015-12-04,230
2015-10-23,230
2015-02-23,228
2014-04-22,227
2015-05-04,226
2015-10-16,225
2014-04-30,224
2015-11-26,224
2014-08-18,222
2014-03-14,222
2014-01-03,222
2015-12-28,221
2014-05-02,221
2014-10-27,221
2015-12-17,220
2015-07-17,220
2015-01-05,220
2014-03-20,219
2015-03-20,219
2015-02-16,218
2015-04-07,218
2015-10-08,217
2014-12-10,217
2015-08-28,217
2015-07-31,216
2015-03-02,215
2015-01-26,215
2015-10-30,215
2015-01-12,215
2015-11-13,215
2015-11-25,215
2014-11-10,214
2014-01-07,214
2015-08-17,213
2015-12-18,213
2015-06-25,213
2014-09-01,213
2015-01-07,213
2014-10-10,212
2014-01-08,212
2015-03-05,210
2014-12-26,210
2015-08-14,210
2014-07-07,209
2014-10-20,209
2015-11-06,209
2015-11-20,209
2014-01-09,209
2014-12-11,209
2014-05-30,208
2014-05-29,208
2015-01-19,208
2014-03-31,208
2014-01-31,207
2015-07-10,207
2015-09-24,207
2015-06-19,207
2015-01-08,207
2015-10-02,206
2015-01-09,206
2014-12-15,206
2014-12-29,205
2015-03-09,205
2014-05-26,205
2015-09-17,205
2014-06-25,205
2014-01-02,205
2014-10-24,203
2015-04-02,203
2015-09-11,203
2014-03-21,203
2015-01-02,203
2015-06-05,203
2015-08-13,202
2014-02-10,202
2015-10-29,202
2014-05-19,201
2015-02-27,200
2015-05-11,200
2014-02-17,200
2015-09-30,200
2014-11-14,200
2015-12-03,199
2015-07-24,199
2015-04-30,199
2015-11-05,199
2015-09-18,199
2014-11-21,199
2015-03-30,199
