cod_est_salud,Frequency.4,codes,spanish description,english description,comment
1.0,47904.0,Unknown,Unknown,,
5.0,15811.0,Unknown,Unknown,,
6.0,12163.0,Unknown,Unknown,,
3.0,11303.0,Unknown,Unknown,,
2.0,5689.0,Unknown,Unknown,,
4.0,5185.0,Unknown,Unknown,,
7.0,1104.0,Unknown,Unknown,,
8.0,512.0,Unknown,Unknown,,
9.0,329.0,Unknown,Unknown,,
86473,1,406,Neoplasia de pulmón: Nivel 3,,
51332,1,556,EPOC y bronquiectasias: Nivel 2,,
51903,1,942,Estado de dispositivo cardiaco: Nivel 3,,
70102,1,644,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 2,,
56063,1,917,Anemia de células falciformes: Nivel 3,,
32732,1,258,Úlceras crónicas: Nivel 2,,
35231,1,813,Enfermedad inflamatoria crónica pélvica: Nivel 1,,
61435,1,134,Diabetes y otra enfermedad moderada crónica: Nivel 5,,
62614,1,155,Enfermedad dominante crónica y otra enfermedad crónica: Nivel 4,,
62005,1,630,Otra enfermedad dominante crónica y enfermedad psiquiátrica (excepto esquizofrenia): Nivel 5,,
90402,1,879,Nutrición parenteral total: Nivel 2,,
55852,1,1027,Trastorno generalizado del desarrollo (autismo): Nivel 2,,
61235,1,372,EPOC y otra enfermedad moderada crónica: Nivel 5,,
61143,1,490,Insuficiencia cardiaca y otra enfermedad dominante crónica: Nivel 3,,
36131,1,520,Enfermedades hematológicas crónicas - menor: Nivel 1,,
10160,1,32,Diagnósticos de diabetes sin otra enfermedad significativa,,
61823,1,823,"Historia de fractura de cadera, edad > 64 y otra enfermedad crónica: Nivel 3",,
50124,1,940,Historia de accidente isquémico transitorio: Nivel 4,,
62904,1,574,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad crónica: Nivel 4,,
70712,1,198,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 2,,
70213,1,765,Diabetes - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 3,,
57862,1,299,Abuso de drogas - Cannabis/NOS/NEC: Nivel 2,,
61156,1,713,Insuficiencia cardiaca y demencia: Nivel 6,,
32441,1,214,Diagnósticos arteriales y venosos crónicos - menor: Nivel 1,,
56053,1,1063,Enfermedades inmunes y leucocitarias: Nivel 3,,
51804,1,480,Otros diagnósticos cardiovasculares - mayor: Nivel 4,,
53501,1,315,Amputación y enfermedad ósea: Nivel 1,,
90701,1,428,"Cuadriplejia, diplejia o hemiplejia congénita: Nivel 1",,
62502,1,794,Otra enfermedad dominante crónica y abuso de drogas crónico moderado: Nivel 2,,
0,1,1075,Sin Clasificar,,
61134,1,341,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 4,,
61703,1,259,Esquizofrenia y otra enfermedad dominante crónica: Nivel 3,,
54771,1,740,Nefritis: Nivel 1,,
61246,1,911,EPOC e hipertensión: Nivel 6,,
62932,1,39,Otra enfermedad dominante crónica y otra enfermedad crónica: Nivel 2,,
61452,1,476,Diabetes y otra enfermedad crónica: Nivel 2,,
51924,1,714,Hipertensión: Nivel 4,,
61314,1,89,Enfermedad cerebrovascular y otra enfermedad dominante crónica: Nivel 4,,
50052,1,979,Diagnósticos neurodegenerativos excepto esclerosis múltiple y Parkinson: Nivel 2,,
61405,1,120,Diabetes y enfermedad coronaria avanzada: Nivel 5,,
53943,1,1018,Espondiloartropatía y otras artropatías inflamatorias: Nivel 3,,
57502,1,362,Trastornos mayores de la personalidad: Nivel 2,,
86582,1,701,Otras neoplasias: Nivel 2,,
56621,1,25,Neoplasia de mama: Nivel 1,,
70501,1,261,Enfermedad cerebrovascular -Dos o más enfermedades crónicas dominantes: Nivel 1,,
57433,1,368,Esquizofrenia: Nivel 3,,
86533,1,583,Leucemia no linfática crónica: Nivel 3,,
91104,1,1067,Fibrosis quística: Nivel 4,,
62313,1,55,Otra neoplasia no dominante y otra enfermedad moderada crónica: Nivel 3,,
70306,1,448,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 6,,
61442,1,113,Diabetes e hipertensión: Nivel 2,,
62503,1,343,Otra enfermedad dominante crónica y abuso de drogas crónico moderado: Nivel 3,,
62204,1,892,Otra enfermedad dominante crónica y neoplasia de próstata: Nivel 4,,
61814,1,301,"Historia de fractura de cadera, edad > 64 y otra enfermedad moderada crónica: Nivel 4",,
52693,1,923,Anomalías gastrointestinales: Nivel 3,,
62201,1,351,Otra enfermedad dominante crónica y neoplasia de próstata: Nivel 1,,
61721,1,506,Esquizofrenia y otra enfermedad crónica: Nivel 1,,
70024,1,353,Insuficiencia renal crónica - Dos o más enfermedades crónicas dominantes: Nivel 4,,
20730,1,74,Parto sin complicaciones con otra enfermedad significativa,,
62404,1,142,Otra enfermedad dominante crónica y asma: Nivel 4,,
56581,1,194,Otras neoplasias: Nivel 1,,
52414,1,1057,Varices en piernas con úlceras o inflamación: Nivel 4,,
55833,1,964,"Anomalías y síndromes cromosómicos, excepto Down: Nivel 3",,
61124,1,763,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 4,,
61234,1,79,EPOC y otra enfermedad moderada crónica: Nivel 4,,
90303,1,395,Enfermedad HIV: Nivel 3,,
61904,1,354,Otras dos enfermedades dominantes crónicas: Nivel 4,,
70605,1,208,Tres o más enfermedades crónicas dominantes: Nivel 5,,
86511,1,551,Neoplasia de aparato digestivo: Nivel 1,,
57441,1,678,Trastornos de la alimentación: Nivel 1,,
61165,1,285,Insuficiencia cardiaca y otra enfermedad moderada crónica: Nivel 5,,
61903,1,686,Otras dos enfermedades dominantes crónicas: Nivel 3,,
70206,1,63,Diabetes - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 6,,
62515,1,1048,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 5,,
55834,1,854,"Anomalías y síndromes cromosómicos, excepto Down: Nivel 4",,
50752,1,649,"Ceguera, pérdida de visión y diagnósticos oculares crónicos -Mayor/moderado: Nivel 2",,
57501,1,704,Trastornos mayores de la personalidad: Nivel 1,,
37572,1,732,Stress crónico y diagnósticos de ansiedad: Nivel 2,,
90203,1,364,Diálisis sin diabetes: Nivel 3,,
52691,1,550,Anomalías gastrointestinales: Nivel 1,,
54243,1,140,Diabetes: Nivel 3,,
53493,1,1013,"Deformidades de pélvis, cadera y fémur: Nivel 3",,
86494,1,610,Neoplasia renal: Nivel 4,,
53113,1,64,Enfermedad hepática mayor excepto alcohólica: Nivel 3,,
7,1,1082,Enfermedad dominante crónica en tres o más sistemas orgánicos,,
34101,1,766,Diagnósticos crónicos de piel - menor: Nivel 1,,
51833,1,109,Angina y cardiipatía isquémica: Nivel 3,,
50754,1,910,"Ceguera, pérdida de visión y diagnósticos oculares crónicos -Mayor/moderado: Nivel 4",,
57474,1,798,trastornos bipolares: Nivel 4,,
55824,1,1061,Síndrome de Down: Nivel 4,,
70142,1,871,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 2,,
54052,1,836,Diagnósticos significativos de piel y tejido subcutáneo: Nivel 2,,
61416,1,316,Diabetes y otra enfermedad dominante crónica: Nivel 6,,
61822,1,978,"Historia de fractura de cadera, edad > 64 y otra enfermedad crónica: Nivel 1",,
62703,1,123,Otras dos enfermedades crónicas moderadas: Nivel 3,,
53512,1,30,Discopatía y otros diagnósticos crónicos de espalda: Nivel 2,,
70713,1,78,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 3,,
53522,1,401,Artropatía por cristales: Nivel 2,,
70224,1,688,Diabetes - EPOC- Otra enfermedad crónica dominante: Nivel 4,,
51324,1,1002,Anomalías respiratorias mayores: Nivel 4,,
37561,1,652,Diagnósticos de salud mental crónicos - menor: Nivel 1,,
61824,1,851,"Historia de fractura de cadera, edad > 64 y otra enfermedad crónica: Nivel 4",,
34461,1,432,Enfermedad tiroidea crónica: Nivel 1,,
61715,1,633,Esquizofrenia y otra enfermedad moderada crónica: Nivel 5,,
20780,1,693,Diagnósticos de trauma o infección con otra enfermedad significativa,,
53534,1,1016,Sustitución de articulación: Nivel 4,,
70223,1,196,Diabetes - EPOC- Otra enfermedad crónica dominante: Nivel 3,,
62212,1,306,Neoplasia de próstata y otra enfermedad moderada crónica: Nivel 2,,
51791,1,213,Insuficiencia cardiaca: Nivel 1,,
61301,1,404,Enfermedad cerebrovascular y diabetes: Nivel 1,,
57482,1,650,"Trastornos de la conducta, del control de los impulsos y del comportamiento: Nivel 2",,
50021,1,245,Diagnósticos extrapiramidales: Nivel 1,,
51344,1,1003,Otros diagnósticos pulmonares crónicos mayores: Nivel 4,,
61311,1,720,Enfermedad cerebrovascular y otra enfermedad dominante crónica: Nivel 1,,
70131,1,660,Insuficiencia cardiaca - EPOC - Otra enfermedad crónica dominante: Nivel 1,,
61623,1,598,Demencia y otra enfermedad crónica: Nivel 3,,
20760,1,955,Diagnósticos de problema neonatal o congénito mayor con otra enfermedad significativa,,
61173,1,447,Insuficiencia cardiaca y otra enfermedad crónica: Nivel 3,,
31952,1,986,Defectos del tabique auricular y ventricular: Nivel 2,,
50051,1,511,Diagnósticos neurodegenerativos excepto esclerosis múltiple y Parkinson: Nivel 1,,
10010,1,590,Estado sano - no usuario,,
90703,1,522,"Cuadriplejia, diplejia o hemiplejia congénita: Nivel 3",,
61521,1,51,Enfermedad coronaria avanzada y otra enfermedad crónica: Nivel 1,,
70231,1,662,Diabetes - Dos o más enfermedades crónicas dominantes: Nivel 1,,
70125,1,715,Insuficiencia cardiaca - Diabetes - Otra enfermedad crónica dominante: Nivel 5,,
70303,1,184,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 3,,
61712,1,575,Esquizofrenia y otra enfermedad moderada crónica: Nivel 2,,
56051,1,1028,Enfermedades inmunes y leucocitarias: Nivel 1,,
61242,1,540,EPOC e hipertensión: Nivel 2,,
51914,1,1006,Arterioesclerosis coronaria: Nivel 4,,
55883,1,1070,Retraso mental leve / moderado: Nivel 3,,
51794,1,238,Insuficiencia cardiaca: Nivel 4,,
61306,1,620,Enfermedad cerebrovascular y diabetes: Nivel 6,,
61714,1,241,Esquizofrenia y otra enfermedad moderada crónica: Nivel 4,,
86411,1,225,Neoplasias secundarias: Nivel 1,,
53504,1,926,Amputación y enfermedad ósea: Nivel 4,,
57844,1,1042,Abuso crónico de alcohol: Nivel 4,,
51774,1,866,Anomalías cardiacas septales mayores y cianóticas complejas: Nivel 4,,
57834,1,1041,Abuso de opioides: Nivel 4,,
51382,1,73,Asma: Nivel 2,,
61612,1,59,Demencia y otra enfermedad moderada crónica: Nivel 2,,
20840,1,403,Diagnósticos de enfermedad tejido conectivo significativo u ortopédicos con otra enfermedad significativa,,
62423,1,547,Asma e hipertensión: Nivel 3,,
61605,1,464,Demencia y otra enfermedad dominante crónica: Nivel 5,,
62412,1,58,Asma y otra enfermedad moderada crónica: Nivel 2,,
57842,1,639,Abuso crónico de alcohol: Nivel 2,,
57841,1,549,Abuso crónico de alcohol: Nivel 1,,
61404,1,77,Diabetes y enfermedad coronaria avanzada: Nivel 4,,
70165,1,690,Insuficiencia cardiaca - Dos o más enfermedades crónicas dominantes: Nivel 5,,
51172,1,999,Anomalías del cráneo y de los huesos faciales: Nivel 2,,
70132,1,723,Insuficiencia cardiaca - EPOC - Otra enfermedad crónica dominante: Nivel 2,,
70711,1,62,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 1,,
51863,1,577,Fibrilación auricular: Nivel 3,,
86584,1,553,Otras neoplasias: Nivel 4,,
61805,1,930,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 15",,
51812,1,507,Enfermedades valvulares: Nivel 2,,
90102,1,273,Diálisis con diabetes: Nivel 2,,
62003,1,567,Otra enfermedad dominante crónica y enfermedad psiquiátrica (excepto esquizofrenia): Nivel 3,,
61253,1,589,"EPOC y otra enfermedad crónica, Nivel 2",,
62101,1,159,Otra enfermedad dominante crónica y neoplasia de mama: Nivel 1,,
54043,1,1020,Úlcera cutánea crónica: Nivel 3,,
62931,1,76,Otra enfermedad dominante crónica y otra enfermedad crónica: Nivel 1,,
61155,1,410,Insuficiencia cardiaca y demencia: Nivel 5,,
51904,1,183,Estado de dispositivo cardiaco: Nivel 4,,
20300,1,119,"Enfermedad aguda significativa, excluyendo ORL",,
52701,1,264,Diagnósticos gastrointestinales crónicos - moderado: Nivel 1,,
51874,1,1005,Arritmias cardiacas y trastornos de la conducción: Nivel 4,,
62921,1,727,Abuso de drogas crónico moderado y otra enfermedad crónica: Nivel 1,,
70214,1,12,Diabetes - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 4,,
61441,1,93,Diabetes e hipertensión: Nivel 1,,
61303,1,415,Enfermedad cerebrovascular y diabetes: Nivel 3,,
61426,1,193,Diabetes y asma: Nivel 6,,
57853,1,922,Abuso de otras sustancias significativas: Nivel 3,,
34081,1,474,Neoplasias de piel: Nivel 1,,
52381,1,726,Enfermedad vascular periférica: Nivel 1,,
54042,1,984,Úlcera cutánea crónica: Nivel 2,,
51862,1,26,Fibrilación auricular: Nivel 2,,
61722,1,286,Esquizofrenia y otra enfermedad crónica: Nivel 2,,
5,1,1080,Enfermedad dominante o crónica moderada única,,
70302,1,579,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 2,,
70215,1,141,Diabetes - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 5,,
53541,1,84,Osteoporosis: Nivel 1,,
56602,1,951,Linfoma de Hodgkin: Nivel 2,,
61231,1,467,EPOC y otra enfermedad moderada crónica: Nivel 1,,
53521,1,332,Artropatía por cristales: Nivel 1,,
61621,1,725,Demencia y otra enfermedad crónica: Nivel 1,,
61236,1,342,EPOC y otra enfermedad moderada crónica: Nivel 6,,
56542,1,966,Mieloma múltiple: Nivel 2,,
61136,1,527,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 6,,
54792,1,400,Diagnósticos genitourinarios crónicos: Nivel 2,,
86634,1,578,Neoplasia de prostata: Nivel 4,,
52371,1,105,Enfermedades arteriales y venosas crónicas - mayor: Nivel 1,,
86521,1,603,Leucemia linfática crónica: Nivel 1,,
70113,1,682,Insuficiencia cardiaca - Diabetes - Enfermedad cerebrovascular: Nivel 3,,
61616,1,388,Demencia y otra enfermedad moderada crónica: Nivel 6,,
70134,1,539,Insuficiencia cardiaca - EPOC - Otra enfermedad crónica dominante: Nivel 4,,
57843,1,172,Abuso crónico de alcohol: Nivel 3,,
90202,1,543,Diálisis sin diabetes: Nivel 2,,
20600,1,127,Procedimiento agudo significativo,,
61126,1,702,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 6,,
70145,1,887,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 5,,
53144,1,969,Trastornos pancreáticos y hepáticos crónicos - Moderado: Nivel 4,,
70702,1,4,Diabetes - Enfermedad cerebrovascular - Hipertensión: Nivel 2,,
52661,1,516,Enfermedad inflamatoria intestinal: Nivel 1,,
61801,1,420,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 1",,
53511,1,90,Discopatía y otros diagnósticos crónicos de espalda: Nivel 1,,
50063,1,373,Enfermedad de Alzheimer y otras demencias: Nivel 3,,
34082,1,357,Neoplasias de piel: Nivel 2,,
51902,1,861,Estado de dispositivo cardiaco: Nivel 2,,
90901,1,920,Espina bífida: Nivel 1,,
86504,1,697,Neoplasia de ovario: Nivel 4,,
90801,1,515,Cuadriplejia adquirida o estado vegetativo permanente: Nivel 1,,
57513,1,1040,Diagnósticos de salud mental crónicos - Moderado: Nivel 3,,
90504,1,165,Dependencia de ventilación mecánica: Nivel 4,,
62401,1,441,Otra enfermedad dominante crónica y asma: Nivel 1,,
57852,1,483,Abuso de otras sustancias significativas: Nivel 2,,
86583,1,223,Otras neoplasias: Nivel 3,,
86482,1,622,Neoplasia de páncreas: Nivel 2,,
