fecha_baja_sip,Frequency.5
2008-10-17,103
2010-05-15,91
2013-10-21,82
2008-10-20,80
2013-05-15,77
2009-02-24,74
2008-02-15,71
2008-05-30,70
2009-10-14,68
2010-01-16,61
2012-09-19,55
2008-02-17,54
2015-01-15,52
2012-08-06,50
2010-11-16,49
2014-02-10,47
2013-07-16,47
2011-04-26,46
2010-07-28,45
2010-03-03,45
2011-03-15,43
2012-02-23,43
2012-01-19,43
2011-08-23,40
2012-05-15,40
2011-01-23,39
2009-07-06,39
2009-05-03,39
2009-05-25,38
2011-11-17,38
2011-07-19,37
2013-02-27,37
2013-04-16,37
2011-02-18,37
2009-07-07,36
2011-06-18,36
2012-03-15,35
2010-01-05,34
2011-05-31,34
2012-10-26,32
2011-02-28,31
2013-06-08,31
2013-01-24,31
2012-06-04,30
2008-12-29,30
2015-08-04,28
2013-12-20,28
2012-12-18,26
2011-12-15,26
2014-04-08,25
2008-10-23,25
2011-01-18,24
2011-09-14,24
2009-05-24,24
2011-05-17,24
2013-09-17,23
2011-10-03,22
2008-02-16,22
2012-06-05,22
2012-04-17,22
2009-02-16,21
2010-12-18,21
2013-03-16,21
2013-11-27,20
2010-01-17,20
2008-09-25,20
2012-07-24,20
2011-05-03,20
2014-12-19,20
2008-03-09,19
2009-01-22,19
2013-10-17,19
2009-10-21,18
2010-09-21,17
2015-02-03,17
2010-04-07,17
2010-11-04,17
2012-11-24,16
2016-07-15,15
2010-07-29,15
2015-12-09,14
2013-11-08,14
2015-05-19,14
2015-02-17,14
2015-07-10,14
2015-04-18,14
2014-03-17,14
2012-06-21,13
2010-04-27,13
2011-06-08,13
2015-11-16,13
2015-06-12,13
2016-11-15,13
2015-08-13,12
2016-04-06,12
2015-05-07,12
2016-01-11,12
2016-03-16,12
2015-04-07,12
