fecha_def,Frequency.4
2008-09-01,123
2008-02-01,64
2009-02-20,40
2009-06-01,38
2009-12-01,37
2009-03-01,29
2010-04-01,26
2009-04-28,22
2012-04-01,22
2010-11-01,18
2008-12-23,18
2009-01-20,17
2009-08-01,16
2011-02-01,14
2009-01-01,11
2011-05-01,10
2014-12-05,10
2015-01-30,9
2013-04-15,9
2008-06-16,9
2008-01-15,9
2011-01-21,8
2014-04-05,8
2014-10-03,8
2013-02-05,8
2015-12-25,8
2010-01-27,8
2015-02-03,8
2010-12-28,8
2013-12-19,8
2012-07-31,8
2012-02-23,8
2012-12-26,8
2010-05-23,8
2010-05-25,8
2011-05-07,8
2016-11-08,7
2010-02-23,7
2014-07-02,7
2011-10-21,7
2010-02-19,7
2008-08-21,7
2012-09-05,7
2010-07-24,7
2012-01-03,7
2011-04-24,7
2015-12-17,7
2009-01-24,7
2013-02-08,7
2012-01-11,7
2015-02-17,7
2014-02-02,7
2016-01-14,7
2010-12-15,7
2015-05-02,7
2012-11-25,7
2016-01-27,7
2011-01-04,7
2008-01-24,7
2011-03-01,7
2016-09-08,7
2013-01-04,7
2015-01-25,7
2015-01-26,7
2016-03-18,7
2014-11-13,7
2010-12-31,7
2010-09-06,7
2012-02-17,7
2011-03-15,7
2008-01-31,7
2016-01-08,7
2014-03-09,7
2014-11-25,7
2012-05-16,7
2008-01-06,7
2012-10-05,7
2011-02-08,7
2011-02-05,7
2015-01-09,7
2014-01-08,7
2011-10-27,7
2016-03-08,7
2008-06-09,6
2009-01-29,6
2014-07-16,6
2014-04-24,6
2012-03-31,6
2015-02-15,6
2015-02-16,6
2015-02-10,6
2015-02-06,6
2014-11-07,6
2012-06-02,6
2013-01-07,6
2016-03-16,6
2015-11-02,6
2015-11-06,6
2014-11-28,6
