fecha_nac,Frequency.3
1976-01-01,29
1975-01-01,28
1970-01-01,26
1968-01-01,25
1966-01-01,24
1978-01-01,21
1973-01-01,21
1960-01-01,21
1977-01-01,21
1963-01-01,20
1980-01-01,20
1972-01-01,19
1969-01-01,19
1971-01-01,18
1964-01-01,18
1967-02-14,17
1981-01-01,17
1954-01-01,17
1940-02-28,16
1974-01-01,16
1979-01-01,16
1965-01-01,15
1974-02-08,15
1967-03-12,15
1961-01-01,15
1973-07-05,15
1967-01-01,15
1972-11-01,15
1948-01-01,14
1967-07-22,14
1977-07-05,14
1975-09-17,14
1950-01-01,14
1970-02-13,14
1973-06-30,14
1947-01-01,14
1967-09-10,14
1965-07-10,14
1969-02-01,14
1970-09-12,14
1962-04-03,13
1975-01-08,13
1965-03-19,13
1975-09-16,13
1976-07-28,13
1967-04-07,13
1978-09-28,13
1980-08-15,13
1962-01-01,13
1975-06-08,13
1972-12-31,13
1976-07-05,13
1968-07-29,13
1982-08-07,13
1973-10-18,13
1981-12-16,13
1975-07-29,13
1967-03-22,13
1974-05-27,13
1959-01-01,13
1968-03-06,13
1974-02-25,13
1975-04-18,13
1968-02-23,13
1975-12-31,13
1977-06-14,13
1965-04-08,13
1964-07-04,13
1970-03-12,12
1976-05-29,12
1962-09-26,12
1978-06-12,12
1959-05-17,12
1977-07-06,12
1967-02-12,12
1979-05-05,12
1979-07-27,12
1974-09-20,12
1979-12-16,12
1974-01-18,12
1976-05-10,12
1962-06-19,12
1968-09-12,12
1977-07-30,12
1959-03-01,12
1967-08-28,12
1969-06-22,12
1974-03-16,12
1965-02-15,12
1972-05-21,12
1966-06-28,12
1956-01-01,12
1973-04-29,12
1975-10-21,12
1977-12-20,12
1967-11-15,12
1974-10-22,12
1984-03-06,12
1975-07-17,12
1975-07-15,12
