cod_departamento_asignacion,Frequency.3,codes,spanish description,english description,comment
10.0,7443.0,11,VALENCIA - DR. PESET,,
5.0,7181.0,16,VALENCIA - CLINICO,,
9.0,7178.0,1,VALENCIA HOSPITAL GENERAL,,
6.0,5987.0,15,VALENCIA ARNAU LLIRIA,,
2.0,5479.0,8,CASTELLON,,
11.0,5353.0,25,LA RIBERA,,
19.0,5239.0,19,ALICANTE,,
17.0,4403.0,5,ALICANTE - SAN JUAN,,
14.0,4091.0,14,XATIVA - ONTINYENT,,
23.0,4013.0,3,MANISES,,
7.0,3947.0,4,VALENCIA - LA FE,,
18.0,3818.0,12,ELDA,,
3.0,3645.0,23,LA PLANA,,
16.0,3639.0,20,VILA JOIOSA,,
12.0,3621.0,24,GANDIA,,
22.0,3476.0,13,TORREVIEJA,,
13.0,3320.0,10,DENIA,,
21.0,3247.0,21,ORIHUELA,,
24.0,3055.0,7,ELX-CREVILLENT,,
4.0,3035.0,9,SAGUNTO,,
20.0,3028.0,18,ELX,,
15.0,2914.0,22,ALCOI,,
1.0,1742.0,2,VINAROS,,
8.0,1089.0,17,REQUENA,,
0.0,57.0,6,00,,
