cod_raf,Frequency.16,codes,spanish description,english description,comment
99.0,6225.0,Unknown,Unknown,,
65.0,1045.0,Unknown,Unknown,,
30.0,814.0,Unknown,Unknown,,
21.0,191.0,Unknown,Unknown,,
40.0,174.0,Unknown,Unknown,,
60.0,80.0,Unknown,Unknown,,
10.0,45.0,Unknown,Unknown,,
63.0,22.0,Unknown,Unknown,,
22.0,18.0,Unknown,Unknown,,
20.0,16.0,Unknown,Unknown,,
50,1,10,(AC - 60%),,
10,1,13,(PN - 0%),,
53,1,12,(PN - 60%),,
40,1,4,(AC - 50%),,
63,1,11,(NA - 40%),,
21,1,1,(PN - 10%),,
64,1,5,(NA - 50%),,
99,1,2,(BAJA),,
30,1,6,(AC - 40%),,
20,1,8,(PN - 10%),,
65,1,7,(NA - 100%),,
60,1,9,(SF - 100%),,
22,1,3,(PN - 10%),,
