cod_centro_asignacion,Frequency.2,codes,spanish description,english description,comment
163,820,Unknown,Unknown,,
282,795,Unknown,Unknown,,
535,787,Unknown,Unknown,,
3048,782,Unknown,Unknown,,
304,776,Unknown,Unknown,,
538,685,Unknown,Unknown,,
310,652,Unknown,Unknown,,
523,646,Unknown,Unknown,,
307,646,Unknown,Unknown,,
271,645,Unknown,Unknown,,
2779,638,Unknown,Unknown,,
707,632,Unknown,Unknown,,
531,627,Unknown,Unknown,,
455,615,Unknown,Unknown,,
303,601,Unknown,Unknown,,
624,600,Unknown,Unknown,,
671,596,Unknown,Unknown,,
233,594,Unknown,Unknown,,
571,591,Unknown,Unknown,,
206,586,Unknown,Unknown,,
2824,578,Unknown,Unknown,,
489,576,Unknown,Unknown,,
285,574,Unknown,Unknown,,
481,572,Unknown,Unknown,,
299,572,Unknown,Unknown,,
619,570,Unknown,Unknown,,
529,567,Unknown,Unknown,,
385,565,Unknown,Unknown,,
487,555,Unknown,Unknown,,
2548,549,Unknown,Unknown,,
29,548,Unknown,Unknown,,
239,546,Unknown,Unknown,,
530,546,Unknown,Unknown,,
741,546,Unknown,Unknown,,
169,545,Unknown,Unknown,,
348,543,Unknown,Unknown,,
120,537,Unknown,Unknown,,
670,537,Unknown,Unknown,,
5,521,Unknown,Unknown,,
184,516,Unknown,Unknown,,
2425,515,Unknown,Unknown,,
532,515,Unknown,Unknown,,
234,511,Unknown,Unknown,,
510,507,Unknown,Unknown,,
446,503,Unknown,Unknown,,
704,500,Unknown,Unknown,,
286,499,Unknown,Unknown,,
2352,494,Unknown,Unknown,,
279,494,Unknown,Unknown,,
779,488,Unknown,Unknown,,
475,483,Unknown,Unknown,,
194,479,Unknown,Unknown,,
2549,479,Unknown,Unknown,,
272,476,Unknown,Unknown,,
2019,476,Unknown,Unknown,,
62,473,Unknown,Unknown,,
78,471,Unknown,Unknown,,
522,455,Unknown,Unknown,,
93,454,Unknown,Unknown,,
335,449,Unknown,Unknown,,
242,446,Unknown,Unknown,,
617,442,Unknown,Unknown,,
308,441,Unknown,Unknown,,
542,440,Unknown,Unknown,,
205,436,Unknown,Unknown,,
51,434,Unknown,Unknown,,
500,430,Unknown,Unknown,,
164,428,Unknown,Unknown,,
674,425,Unknown,Unknown,,
232,422,Unknown,Unknown,,
302,419,Unknown,Unknown,,
209,418,Unknown,Unknown,,
492,417,Unknown,Unknown,,
238,416,Unknown,Unknown,,
657,415,Unknown,Unknown,,
3110,415,Unknown,Unknown,,
444,409,Unknown,Unknown,,
2595,406,Unknown,Unknown,,
60,405,Unknown,Unknown,,
2289,404,Unknown,Unknown,,
567,402,Unknown,Unknown,,
384,400,Unknown,Unknown,,
211,398,Unknown,Unknown,,
241,397,Unknown,Unknown,,
168,395,Unknown,Unknown,,
3091,392,Unknown,Unknown,,
658,392,Unknown,Unknown,,
2930,388,Unknown,Unknown,,
181,386,Unknown,Unknown,,
165,385,Unknown,Unknown,,
99,382,Unknown,Unknown,,
263,380,Unknown,Unknown,,
501,379,Unknown,Unknown,,
524,378,Unknown,Unknown,,
508,378,Unknown,Unknown,,
118,377,Unknown,Unknown,,
373,377,Unknown,Unknown,,
498,376,Unknown,Unknown,,
723,376,Unknown,Unknown,,
281,371,Unknown,Unknown,,
281,1,896,9,,
762,1,1469,13,,
753,1,1418,3,,
339,1,1209,11,,
2289,1,1199,24,,
558,1,1140,21,,
272,1,1234,23,,
671,1,1675,5,,
436,1,1160,14,,
204,1,1309,6,,
258,1,974,8,,
158,1,1224,5,,
541,1,1135,20,,
12,1,899,1,,
525,1,1040,19,,
700,1,1238,8,,
164,1,1325,5,,
579,1,906,11,,
707,1,1089,10,,
2741,1,936,15,,
446,1,1175,14,,
2120,1,1459,23,,
480,1,1486,16,,
645,1,1254,13,,
685,1,882,4,,
513,1,1662,18,,
189,1,1335,6,,
386,1,998,13,,
557,1,894,21,,
983,1,1203,6,,
2982,1,1554,8,,
108,1,1130,4,,
570,1,1660,22,,
137,1,868,4,,
972,1,1604,8,,
132,1,977,4,,
463,1,1289,15,,
71,1,1477,3,,
3111,1,1148,17,,
414,1,1688,14,,
0,1,1736,13,,
2317,1,1414,15,,
2228,1,1397,22,,
2339,1,1298,12,,
547,1,1183,21,,
641,1,1381,8,,
136,1,1159,4,,
958,1,1483,14,,
2244,1,1647,15,,
566,1,1717,21,,
478,1,1308,16,,
373,1,1543,12,,
458,1,917,15,,
48,1,1637,2,,
171,1,1165,5,,
80,1,1681,3,,
2595,1,1704,9,,
2779,1,1431,19,,
432,1,1179,14,,
91,1,1352,3,,
552,1,1461,21,,
417,1,1591,14,,
473,1,927,16,,
664,1,909,2,,
710,1,1692,16,,
702,1,914,20,,
772,1,1676,4,,
161,1,1456,5,,
363,1,1058,12,,
273,1,1223,23,,
47,1,1101,2,,
729,1,1363,20,,
29,1,1187,1,,
82,1,1167,3,,
672,1,1428,6,,
537,1,1703,24,,
19,1,1441,1,,
2293,1,1592,20,,
98,1,1650,3,,
630,1,1024,19,,
395,1,1452,13,,
2980,1,1197,8,,
357,1,1311,12,,
777,1,1019,22,,
180,1,1639,6,,
220,1,1625,6,,
10,1,1193,1,,
85,1,901,3,,
169,1,944,5,,
711,1,907,16,,
572,1,1377,22,,
50393,1,1529,17,,
2990,1,1341,12,,
438,1,1658,14,,
3104,1,975,2,,
340,1,1117,11,,
423,1,1301,14,,
640,1,1507,3,,
2802,1,1243,2,,
28,1,1547,1,,
737,1,1358,2,,
568,1,1240,22,,
536,1,1228,20,,
119,1,1050,4,,
226,1,1707,23,,
210,1,1176,23,,
532,1,869,24,,
139,1,1177,4,,
540,1,990,20,,
246,1,1699,7,,
677,1,1122,4,,
121,1,1008,4,,
728,1,1002,24,,
249,1,1584,8,,
495,1,1516,17,,
440,1,1734,14,,
690,1,1482,7,,
172,1,1066,5,,
657,1,1290,2,,
545,1,1643,21,,
531,1,1168,24,,
260,1,1466,8,,
2526,1,997,22,,
546,1,1690,21,,
520,1,1186,19,,
353,1,884,12,,
688,1,1395,7,,
3048,1,930,9,,
7,1,871,1,,
659,1,1007,16,,
2973,1,1035,8,,
187,1,1388,6,,
81,1,1455,3,,
2352,1,1536,11,,
1503,1,1346,2,,
470,1,1107,15,,
487,1,1633,17,,
11,1,955,1,,
555,1,1009,22,,
75,1,937,3,,
143,1,1037,4,,
344,1,1445,11,,
234,1,1685,23,,
2121,1,1259,23,,
2972,1,1206,8,,
213,1,1399,6,,
617,1,1570,16,,
611,1,1393,22,,
649,1,1449,14,,
267,1,1509,8,,
289,1,1641,9,,
623,1,1672,13,,
393,1,1192,13,,
264,1,892,8,,
551,1,1132,21,,
500,1,1283,17,,
453,1,880,14,,
76,1,1314,3,,
370,1,1108,12,,
1229,1,1600,16,,
517,1,938,18,,
465,1,1157,15,,
913,1,1733,7,,
418,1,1432,14,,
300,1,923,7,,
349,1,1370,11,,
974,1,1423,4,,
503,1,1490,24,,
299,1,1127,7,,
442,1,1518,14,,
335,1,1236,11,,
2240,1,872,15,,
434,1,920,14,,
681,1,1701,4,,
719,1,1599,11,,
356,1,1204,12,,
55,1,1618,2,,
1349,1,893,14,,
21,1,963,1,,
30,1,1331,2,,
2763,1,1417,3,,
482,1,1368,16,,
64,1,1498,2,,
303,1,1182,10,,
459,1,1496,15,,
287,1,1016,9,,
693,1,1558,22,,
562,1,1074,21,,
648,1,985,14,,
110,1,1271,4,,
3110,1,1572,2,,
68,1,950,2,,
755,1,1551,11,,
25,1,1387,1,,
766,1,1549,13,,
489,1,1532,17,,
506,1,1149,18,,
218,1,1235,6,,
676,1,895,4,,
184,1,1012,6,,
2577,1,1741,16,,
474,1,1285,16,,
94,1,1239,2,,
156,1,1336,5,,
13,1,1384,1,,
638,1,932,8,,
689,1,876,7,,
684,1,1382,4,,
627,1,1607,19,,
235,1,1057,23,,
544,1,1450,21,,
731,1,1292,14,,
560,1,1277,21,,
761,1,1728,13,,
745,1,1330,21,,
759,1,1401,13,,
1338,1,1221,14,,
2196,1,891,14,,
724,1,1614,12,,
3032,1,1670,1,,
2019,1,1124,9,,
231,1,1628,23,,
99999,1,1580,0,,
2,1,1295,1,,
2087,1,1139,19,,
392,1,1326,13,,
252,1,1713,8,,
61,1,1666,2,,
695,1,1556,22,,
563,1,1526,21,,
6,1,1438,1,,
733,1,1083,14,,
661,1,1540,2,,
542,1,1343,20,,
3037,1,973,3,,
327,1,1541,11,,
354,1,1565,12,,
751,1,1680,22,,
183,1,1589,6,,
74,1,1275,3,,
341,1,1048,11,,
222,1,1564,6,,
430,1,1601,14,,
129,1,1210,4,,
2342,1,1000,12,,
2351,1,1544,17,,
496,1,1390,17,,
126,1,1231,4,,
977,1,1610,5,,
510,1,982,18,,
2345,1,1489,12,,
556,1,1638,22,,
415,1,1597,14,,
311,1,928,10,,
2018,1,1528,21,,
380,1,1673,12,,
421,1,1687,14,,
2206,1,1045,18,,
523,1,994,19,,
211,1,1207,23,,
334,1,1306,11,,
238,1,1032,7,,
744,1,1426,21,,
308,1,1340,7,,
193,1,1073,6,,
49,1,1218,2,,
771,1,1154,13,,
2239,1,1534,15,,
692,1,993,22,,
8,1,1629,1,,
330,1,1631,11,,
384,1,1649,13,,
752,1,1531,2,,
350,1,1488,12,,
90400,1,1525,7,,
389,1,1546,13,,
347,1,1697,11,,
145,1,1169,5,,
768,1,1145,13,,
253,1,1539,8,,
670,1,1178,5,,
2348,1,1371,12,,
479,1,1702,16,,
285,1,903,9,,
255,1,984,8,,
519,1,1096,18,,
515,1,1282,18,,
2942,1,1003,22,,
316,1,1709,10,,
573,1,1286,22,,
160,1,1031,5,,
633,1,1619,21,,
444,1,1023,14,,
491,1,1706,17,,
780,1,1333,19,,
660,1,1481,1,,
476,1,1616,16,,
198,1,1146,6,,
600,1,1353,16,,
2233,1,1200,22,,
155,1,1052,5,,
5,1,964,1,,
575,1,885,21,,
244,1,1369,7,,
310,1,1123,10,,
2837,1,1244,23,,
612,1,980,20,,
346,1,1513,11,,
656,1,1133,16,,
107,1,1613,4,,
624,1,889,17,,
696,1,1119,3,,
271,1,995,9,,
239,1,916,7,,
397,1,1315,13,,
237,1,996,7,,
88,1,902,2,,
1249,1,1656,18,,
101,1,1590,2,,
734,1,1416,11,,
362,1,1411,12,,
435,1,1106,14,,
329,1,1261,11,,
343,1,1075,11,,
2669,1,1383,3,,
56,1,1422,2,,
443,1,1021,14,,
18,1,1715,1,,
765,1,879,13,,
441,1,971,14,,
280,1,921,9,,
735,1,1215,11,,
699,1,1674,8,,
106,1,1043,4,,
2498,1,1444,23,,
17,1,1686,1,,
146,1,1185,5,,
687,1,1723,4,,
221,1,888,6,,
358,1,1053,12,,
34,1,1113,2,,
199,1,1493,6,,
2548,1,1665,7,,
176,1,1510,6,,
1536,1,1726,2,,
629,1,1567,20,,
499,1,1030,17,,
3038,1,1253,3,,
178,1,1694,6,,
428,1,935,14,,
1340,1,951,14,,
277,1,915,9,,
400,1,1303,13,,
332,1,1408,11,,
1215,1,969,18,,
431,1,1519,14,,
290,1,1537,9,,
492,1,1164,17,,
165,1,1150,5,,
708,1,939,10,,
512,1,1700,18,,
70,1,1222,3,,
3,1,1357,1,,
616,1,1033,9,,
233,1,1327,23,,
767,1,1451,13,,
203,1,1297,6,,
516,1,1208,18,,
404,1,1022,13,,
2242,1,1026,15,,
43,1,1071,3,,
539,1,1241,20,,
528,1,1458,19,,
963,1,1427,9,,
437,1,1632,14,,
377,1,1615,12,,
727,1,1501,24,,
609,1,1661,14,,
105,1,1669,4,,
133,1,961,4,,
288,1,1646,9,,
2840,1,1065,13,,
725,1,999,12,,
2294,1,1131,20,,
2020,1,1069,14,,
215,1,991,6,,
298,1,1020,10,,
3036,1,1316,3,,
317,1,1195,11,,
173,1,1092,5,,
304,1,1196,10,,
741,1,1429,19,,
39,1,1362,2,,
302,1,1653,7,,
50,1,1256,3,,
284,1,1396,9,,
170,1,1116,5,,
331,1,1051,11,,
486,1,1332,17,,
736,1,1738,11,,
462,1,1557,15,,
2321,1,1609,15,,
2644,1,1372,0,,
1341,1,1671,14,,
2198,1,1170,14,,
2089,1,1413,6,,
3102,1,1508,21,,
2334,1,1262,12,,
2312,1,1344,4,,
422,1,967,14,,
182,1,1329,6,,
138,1,965,4,,
374,1,1588,12,,
230,1,1545,23,,
749,1,1720,2,,
314,1,1732,10,,
116,1,1577,4,,
294,1,1696,7,,
2812,1,905,3,,
1339,1,1141,14,,
636,1,1645,14,,
368,1,1018,12,,
38,1,1263,2,,
367,1,1061,12,,
632,1,1495,21,,
378,1,1044,12,,
90,1,887,2,,
477,1,1213,16,,
217,1,1090,6,,
1300,1,1499,1,,
242,1,1585,7,,
712,1,953,16,,
32,1,1571,2,,
747,1,1453,21,,
669,1,1582,3,,
445,1,1114,14,,
472,1,924,15,,
86,1,1068,2,,
452,1,1473,14,,
342,1,1562,11,,
471,1,978,15,,
524,1,1025,19,,
427,1,1100,14,,
538,1,1321,20,,
3270,1,1403,9,,
625,1,1348,17,,
57,1,1420,2,,
102,1,1299,2,,
505,1,1305,18,,
2796,1,956,16,,
706,1,1394,18,,
488,1,1430,17,,
60,1,1468,2,,
