cod_comunidad_procedencia_acred,Frequency.13,codes,spanish description,english description,comment
909,91207.0,13,COMUNIDAD VALENCIANA,,
916,531.0,15,MADRID,,
911,351.0,20,CASTILLA - LA MANCHA,,
901,318.0,8,CATALUÑA,,
904,277.0,4,ANDALUCIA,,
908,225.0,18,MURCIA,,
917,140.0,5,CASTILLA - LEON,,
910,138.0,9,ARAGON,,
914,98.0,6,BALEARES,,
902,86.0,2,PAIS VASCO,,
912,63.0,16,CANARIAS,,
903,60.0,11,GALICIA,,
913,41.0,12,EXTREMADURA,,
905,39.0,19,ASTURIAS,,
915,21.0,3,NAVARRA,,
906,20.0,7,CANTABRIA,,
907,17.0,14,LA RIOJA,,
918,1,10,CEUTA,,
999,1,17,DESCONOCIDO,,
919,1,1,MELILLA,,
