cod_modalidad,Frequency.10,codes,spanish description,english description,comment
F-SS-1,41155.0,106,ALTA EN SS AC,,
F-SS-4,30820.0,103,ALTA EN SS PN,,
F-SS-28,6041.0,16,RESIDENTE EN ESPAÑA,,
F-SS-24,3128.0,26,PERCEPTOR SUBSIDIO POR DESEMPLEO,,
F-SS-23,3065.0,57,PERCEPTOR PRESTACION POR DESEMPLEO,,
F-SS-20,2539.0,74,AGOTADA PRESTACION POR DESEMPLEO,,
F-SS-19,2372.0,39,AGOTADO SUBSIDIO DESEMPLEO,,
F-M01-2,1910.0,68,MUFACE PRIVADO,,
F-SS-21,1217.0,36,PENSION NO CONTRIBUTIVA,,
F-SS-10,1155.0,94,ALTA EN SS PN CONVENIO INTERNACIONAL,,
S-N-1,996.0,23,ACREDITACION DESCONOCIDA,,
F-SS-25,975.0,8,PERCEPTOR RENTA DE INSERCION SOCIAL,,
F-SS-26,718.0,28,PERCEPTOR OTRAS PRESTACIONES,,
S-N-15,645.0,92,EXTRANJERO A REVISAR,,
F-A05-6,518.0,105,ISFAS PRIVADO,,
F-M01-1,433.0,90,MUFACE PUBLICO,,
S-N-2,392.0,87,SIN COBERTURA Y PRIVADOS,,
F-SS-11,366.0,107,TARJETA OTRA CCAA AC,,
S-CS-2,292.0,102,DESEMPL. PTE RECONOCER ASEGURAM.,,
F-EX-1,239.0,82,TARJETA SANITARIA EUROPEA - CPS AC,,
S-N-3,179.0,12,ACREDITACIÓN CADUCADA,,
F-SS-12,173.0,22,TARJETA OTRA CCAA PN,,
F-M06-2,91.0,93,MUGEJU PRIVADO,,
F-A05-1,57.0,76,ISFAS 1 AS. TOTAL ( MENOS FARMACIA),,
S-CS-30,56.0,11,PROGRAMA DE PROTECCION DE LA SALUD,,
F-SS-5,54.0,30,DOBLE COBERTURA CON MUFACE PN,,
F-EX-2,43.0,40,TARJETA SANITARIA EUROPEA - CPS PN,,
S-CS-26,31.0,44,DESEMPL. PTE  ASEGURAM. UE,,
S-N-11,30.0,80,DERIVADO A TRABAJADOR SOCIAL,,
S-N-14,30.0,70,DERIVADO AL INSS,,
F-M06-1,28.0,47,MUGEJU PUBLICO,,
F-SS-2,27.0,2,DOBLE COBERTURA CON MUFACE AC,,
F-SS-8,24.0,13,DOBLE COBERTURA ISFAS PN,,
S-DS-6,21.0,83,ALTA EN SS DISCAPACIDAD INDEFINIDA,,
S-N-13,19.0,113,CON DOC. DE DERECHO PENDIENTE DE APORTAR,,
F-EX-5,13.0,10,"E-106, E-120, S1 (SELLADOS POR INSS)",,
F-MP-1,11.0,112,MUNPAL,,
S-N-8,11.0,61,Nº SS SIN PRESTACIONES,,
S-N-18,9.0,85,NO PVPS,,
F-SS-7,9.0,18,DOBLE COBERTURA ISFAS AC,,
S-CS-8,9.0,110,DESEMPL. PTE RECONOCER ASEGURAM.,,
S-DS-16,9.0,54,ISFAS PRIVADO DISCAPACIDAD INDEFINIDA,,
S-CS-9,7.0,65,F.A.S.,,
