cod_pais_nacimiento,Frequency.14
108,82351.0
0,3033.0
128,1818.0
125,1747.0
228,1413.0
110,961.0
343,867.0
345,817.0
340,614.0
104,506.0
126,496.0
203,371.0
341,348.0
135,301.0
407,286.0
351,239.0
121,231.0
154,217.0
115,215.0
350,209.0
315,198.0
103,194.0
426,182.0
342,165.0
132,139.0
348,125.0
122,123.0
344,102.0
326,101.0
347,97.0
120,93.0
239,92.0
410,86.0
123,83.0
142,80.0
234,75.0
321,70.0
148,68.0
131,61.0
137,49.0
220,48.0
113,44.0
303,43.0
227,42.0
302,35.0
107,32.0
112,26.0
144,25.0
139,23.0
409,20.0
143,19.0
433,19.0
109,16.0
323,15.0
413,14.0
208,14.0
420,13.0
217,13.0
136,12.0
155,12.0
138,11.0
218,11.0
102,11.0
301,10.0
101,10.0
236,9.0
324,9.0
424,8.0
147,7.0
317,7.0
319,7.0
210,7.0
213,7.0
230,6.0
111,6.0
248,6.0
411,6.0
416,6.0
141,6.0
146,6.0
314,6.0
436,6.0
216,6.0
124,5.0
415,5.0
145,5.0
