cod_pais_procedencia_acred,Frequency.12
108,70063.0
125,1052.0
128,843.0
228,356.0
343,266.0
341,223.0
104,211.0
345,209.0
340,172.0
126,165.0
110,149.0
121,101.0
115,94.0
135,91.0
203,87.0
154,82.0
351,76.0
407,73.0
350,68.0
103,67.0
315,58.0
342,58.0
426,57.0
347,57.0
120,56.0
321,44.0
239,40.0
131,40.0
348,39.0
122,37.0
142,32.0
234,31.0
410,31.0
132,29.0
344,29.0
326,28.0
113,27.0
0,26.0
148,23.0
227,20.0
137,18.0
123,17.0
303,15.0
220,15.0
107,14.0
555,12.0
109,12.0
112,11.0
139,8.0
143,8.0
208,8.0
136,7.0
144,7.0
217,7.0
323,6.0
211,5.0
101,5.0
903,5.0
