cod_atc2,Frequency.8,codes,spanish description,english description,comment
N02,11759,656,ANALGESICOS,,
M01,9384,649,ANTIINFLAMATORIOS Y ANTIREUMATICOS,,
J01,8107,639,ANTIBACTERIANOS DE USO SISTEMICO,,
N05,6926,659,PSICOLEPTICOS,,
A02,5397,590,ANTIACIDOS Y ANTIULCERA PEPTICA,,
C10,3991,617,PREPARADOS HIPOLIPEMIANTES/ANTIATEROMATOSOS,,
C09,3875,616,ANTIHIPERTENSIVOS ACCION SISTEMA RENINA-ANGIOTENS.,,
R03,3600,667,ANTIASMATICOS,,
N06,3307,660,PSICOANALEPTICOS,,
B01,2999,605,ANTITROMBOTICOS,,
A10,2915,598,ANTIDIABETICOS,,
S01,2896,671,OFTALMOLOGICOS,,
R06,2728,669,ANTIHISTAMINICOS DE USO SISTEMICO,,
D07,1753,624,CORTICOIDES DERMATOLOGICOS,,
R05,1670,668,PREPARADOS PARA LA TOS Y EL RESFRIADO,,
A03,1494,591,"ANTIESPASMODICOS, ANTICOLINERGICOS Y PROPULSIVOS",,
N03,1464,657,ANTIEPILEPTICOS,,
B03,1441,607,ANTIANEMICOS,,
H03,1396,636,TERAPIA DEL TIROIDES,,
C03,1327,611,DIURETICOS,,
C07,1228,614,BETABLOQUEANTES,,
D01,1222,618,ANTIFUNGICOS DE USO TOPICO,,
G04,1155,633,MEDICAMENTOSOS UROLOGICOS,,
H02,1058,635,CORTICOSTEROIDES DE USO SISTEMICO,,
A12,925,600,SUPLEMENTOS MINERALES,,
23C,906,545,ABSORBENTE INCONTINENCIA ORINA,,
C08,881,615,BLOQUEANTES DE LOS CANALES DEL CALCIO,,
R01,852,665,PREPARACIONES NASALES,,
A11,844,599,VITAMINAS,,
A07,714,595,"ANTIDIARREICOS, ANTIINFECC./ANTINFL.INTESTINALES",,
N07,714,661,OTROS MEDICAMENTOS DE ACCION SISTEMA NERVIOSO,,
V04,680,676,AGENTES DIAGNOSTICOS,,
D06,666,623,ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS,,
M03,663,651,RELAJANTES MUSCULARES,,
G03,602,632,HORMONAS SEXUALES Y MODULADORES DE APARATO GENITAL,,
C01,579,609,TERAPIA DEL MIOCARDIO,,
M04,538,652,PREPARADOS CONTRA LA GOTA,,
S02,488,672,OTOLOGICOS,,
M05,471,653,MEDICAMENTOS PARA TRATAMIENTOS ENFERMEDADES OSEAS,,
G01,374,630,ANTIINFECCIOSOS Y ANTISEPTICOS GINECOLOGICOS,,
01D,350,514,APOSITO,,
N01,350,655,ANESTESICOS,,
C05,342,613,VASOPROTECTORES,,
L04,278,648,INMUNOSUPRESORES,,
A06,240,594,LAXANTES,,
N04,235,658,MEDICAMENTOS CONTRA EL PARKINSON,,
L02,233,646,TERAPIA ENDOCRINA,,
C02,226,610,ANTIHIPERTENSIVOS,,
J05,222,642,ANTIVIRALES DE USO SISTEMICO,,
42A,216,566,AGUJA,,
J02,199,640,ANTIMICOTICOS DE USO SISTEMICO,,
A04,182,592,ANTIEMETICOS Y ANTINAUSEANTES,,
