cod_presfarma,Frequency.10,codes,spanish description,english description,comment
713,3373,Unknown,Unknown,,
9627,2580,Unknown,Unknown,,
5297,2358,Unknown,Unknown,,
5933,2193,Unknown,Unknown,,
5353,1548,Unknown,Unknown,,
4368,1232,Unknown,Unknown,,
9295,1124,Unknown,Unknown,,
1261,1000,Unknown,Unknown,,
6340,963,Unknown,Unknown,,
6289,833,Unknown,Unknown,,
6026,818,Unknown,Unknown,,
6995,736,Unknown,Unknown,,
980,735,Unknown,Unknown,,
8449,731,Unknown,Unknown,,
6732,701,Unknown,Unknown,,
7275,674,Unknown,Unknown,,
10129,660,Unknown,Unknown,,
2770,654,Unknown,Unknown,,
7575,620,Unknown,Unknown,,
22554,595,Unknown,Unknown,,
22580,593,Unknown,Unknown,,
22583,581,Unknown,Unknown,,
8749,575,Unknown,Unknown,,
4569,521,Unknown,Unknown,,
9626,493,Unknown,Unknown,,
16720,479,Unknown,Unknown,,
2318,477,Unknown,Unknown,,
6445,423,Unknown,Unknown,,
5365,422,Unknown,Unknown,,
16859,404,Unknown,Unknown,,
7124,404,Unknown,Unknown,,
6347,400,Unknown,Unknown,,
3662,386,Unknown,Unknown,,
8967,383,Unknown,Unknown,,
6259,351,Unknown,Unknown,,
2519,346,Unknown,Unknown,,
1373,343,Unknown,Unknown,,
7010,339,Unknown,Unknown,,
22579,336,Unknown,Unknown,,
9527,336,Unknown,Unknown,,
5315,332,Unknown,Unknown,,
7570,323,Unknown,Unknown,,
1168,320,Unknown,Unknown,,
2787,318,Unknown,Unknown,,
2769,318,Unknown,Unknown,,
6361,311,Unknown,Unknown,,
7034,311,Unknown,Unknown,,
719,309,Unknown,Unknown,,
22546,303,Unknown,Unknown,,
22545,302,Unknown,Unknown,,
8649,298,Unknown,Unknown,,
720,297,Unknown,Unknown,,
9299,293,Unknown,Unknown,,
1255,291,Unknown,Unknown,,
7011,287,Unknown,Unknown,,
6971,283,Unknown,Unknown,,
5505,282,Unknown,Unknown,,
1044,281,Unknown,Unknown,,
6897,275,Unknown,Unknown,,
8587,275,Unknown,Unknown,,
2564,269,Unknown,Unknown,,
5971,261,Unknown,Unknown,,
8615,260,Unknown,Unknown,,
5210,258,Unknown,Unknown,,
24213,249,Unknown,Unknown,,
10101,246,Unknown,Unknown,,
8616,245,Unknown,Unknown,,
15574,242,Unknown,Unknown,,
6360,238,Unknown,Unknown,,
10100,236,Unknown,Unknown,,
12134,235,Unknown,Unknown,,
317,235,Unknown,Unknown,,
6723,235,Unknown,Unknown,,
9220,234,Unknown,Unknown,,
11941,231,Unknown,Unknown,,
3683,230,Unknown,Unknown,,
5509,229,Unknown,Unknown,,
5939,227,Unknown,Unknown,,
12302,227,Unknown,Unknown,,
2694,225,Unknown,Unknown,,
9525,220,Unknown,Unknown,,
612,219,Unknown,Unknown,,
2099,218,Unknown,Unknown,,
6292,217,Unknown,Unknown,,
6539,216,Unknown,Unknown,,
822,214,Unknown,Unknown,,
2771,208,Unknown,Unknown,,
9210,207,Unknown,Unknown,,
23185,205,Unknown,Unknown,,
803,198,Unknown,Unknown,,
10344,195,Unknown,Unknown,,
5314,193,Unknown,Unknown,,
6426,184,Unknown,Unknown,,
6291,184,Unknown,Unknown,,
23184,184,Unknown,Unknown,,
12679,183,Unknown,Unknown,,
801,182,Unknown,Unknown,,
6427,180,Unknown,Unknown,,
7802,179,Unknown,Unknown,,
6336,178,Unknown,Unknown,,
3993,1,5039,AMOXICILINA + CLAVULANICO 500/125 MG / 12 SOBRES,,
7874,1,7201,SONDA VESICAL BAJA FRICCION NELATON ADOLESCENTE 12 CH / 60 SONDA,,
1078,1,1658,"CALCIO FOSFATO 104,4 MG EN 5 ML / 1 EMULSION ORAL DE 300 ML",,
22680,1,3943,"FENOXIMETILPENICILINA 156,25 MG EN 5 ML / 1 SUSPENSION DE 100 ML",,
15714,1,1781,BOLSAS ILEOST SIST DOBLE PLAC C-ESP 60 MM 350 ML / 30 BOLSA ILEOSTOMIA + 10 PLACAS + PINZA,,
4914,1,6481,TEGAFUR 400 MG / 60 CAPSULAS,,
11510,1,7051,FORMOTEROL 12 MCG EN 1 DOSIS / 1 INHALADOR NOVOLIZER DE 60 DOSIS,,
9438,1,3216,TEOFILINA 200 MG EN 10 ML / 5 AMPOLLAS DE 10 ML,,
7630,1,7741,OFLOXACINO 200 MG EN 100 ML / 1 VIAL DE 100 ML,,
12359,1,9282,ACICLOVIR 5%  (50 MG/1 G) / 1 GEL DE 15 G (NO FINANCIABLE),,
24680,1,5433,VASELINA SALICILICA 40% / POMADA (NO FINANCIABLE),,
2637,1,3772,VERAPAMILO 120 MG / 60 COMPRIMIDOS LIBERACION RETARDADA,,
2723,1,2927,CILAZAPRIL 1 MG / 30 COMPRIMIDOS,,
5280,1,5310,MELOXICAM 15 MG / 20 COMPRIMIDOS,,
5496,1,5993,METOCARBAMOL 500 MG / 50 COMPRIMIDOS,,
16698,1,6319,VARDENAFILO 10 MG / 4 COMPRIMIDOS BUCODISPERSABLES,,
12031,1,5272,METFORMINA + VILDAGLIPTINA (1000/50) MG / 60 COMPRIMIDOS RECUBIERTOS,,
15691,1,5608,"GASA ESTERIL ALGODON HIDROFILO COMPRESA 7,5 X 6 / 50 COMPRESA",,
579,1,5476,BOLSAS UROST RES SINT ADH  MIC 10-55 MM 500 ML / 30 BOLSAS UROSTOMIA,,
24817,1,8530,ALLERGOVAC BACTERIAS SUBLINGUAL 2 VIALES A,,
10669,1,6484,ROTIGOTINA 8 MG/24H / 28 PARCHE TRANSDERMICO,,
23446,1,2415,FINASTERIDA 1 MG / 98 COMPRIMIDOS (NO FINANCIABLE),,
15652,1,3971,BOLSAS UROST RES SINT ADH  MIC 30 MM 500 ML / 30 BOLSAS UROSTOMIA,,
23569,1,4500,ESPECIALES (DM) HIPERPROTEICAS CON FIBRA / 28 BOTELLAS DE 230 ML,,
23597,1,4981,LISDEXANFETAMINA 30 MG / 30 CAPSULAS DURAS,,
16134,1,3585,ROTIGOTINA 3MG/24H / 28 PARCHE TRANSDERMICO,,
2414,1,10110,BUFLOMEDIL 150 MG / 50 COMPRIMIDOS,,
9700,1,3885,BOLSAS COLOST SIST DOBLE PLACA ACOPLAMIENTO ADHESIVO 10-68 MM 650 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
2656,1,3801,DILTIAZEM 60 MG / 30 COMPRIMIDOS,,
18808,1,9178,"FÓRMULAS ESPECIALES EXENTAS DE FENILALANINA  (AA+HC O LIPIDOS, O AMBOS) MONODOSIS NIÑOS Y ADULTOS  / 40 SOBRES DE 25 G",,
24458,1,4321,ALOE + HAMAMELIS + HARPAGOFITO + RUSCUS + CENTELLA + PROPOLEO / 1 GEL DE 100 ML (NO FINANCIABLE),,
23905,1,8518,POMALIDOMIDA 3 MG / 21 CAPSULAS DURAS,,
13601,1,5764,DEXAMETASONA CAPSULAS DE 2 MG,,
9718,1,5732,"ADRENALINA 0,3 MG EN 0,3 ML / 1 JERINGA PRECARGADA AUTOINYECTABLE DE 2 ML",,
566,1,7069,BOLSAS UROST SIST DOBLE PLACA 32 MM 625 ML / 30 BOLSAS UROSTOMIA + 7  PLACAS +  1 BOLSAS DRENAJE,,
6174,1,1732,ROPINIROL 2 MG / 84 COMPRIMIDOS,,
7873,1,5573,SONDA VESICAL BAJA FRICCION NELATON ADOLESCENTE 10 CH / 60 SONDA,,
1198,1,4274,"DALTEPARINA 12500 UI EN 0,5 ML / 5 JERINGA DE 0,5 ML",,
7163,1,4448,FENILEFRINA 10% (100 MG/1 ML)  / 1 COLIRIO DE 10 ML,,
11037,1,7096,"CASSIA ANGUSTIFOLIA  / 1 FRASCO DE 17,6 G (NO FINANCIABLE)",,
3590,1,9824,LANREOTIDA 30 MG EN 2 ML / 1 VIAL DE 2 ML,,
730,1,9520,ESOMEPRAZOL 20 MG / 100 COMPRIMIDOS,,
10680,1,3076,"IVABRADINA 7,5 MG / 56 COMPRIMIDOS RECUBIERTOS",,
25146,1,7327,COMPRESA TOCOLOGICA DE CELULOSA (11 X 31) CM / 180 COMPRESA (SUMINISTRO SUPRO ANEXO II),,
17874,1,7790,EPI  (EXTRACTO POLIMERIZADO) MANTENIMIENTO (2 VIALES),,
14137,1,9629,SOLUCION ELECTROLITICA ISOTÓNICA / 1 BRICK DE 1000 ML (NO FINANCIABLE),,
22719,1,3095,DOXICICLINA 100 MG / 21 GRAGEAS,,
16692,1,1594,HIDRALAZINA CLORHIDRATO 10 MG / 1 CAPSULAS,,
2612,1,3909,NIMODIPINO 30 MG / 30 COMPRIMIDOS,,
4783,1,9467,GAMMAGLOBULINA ANTIHEPATITIS B 600 UI EN 3 ML / 1 AMPOLLAS DE 3 ML,,
82,1,3740,VENDA DE MALLA HIDROFILA 5 X 10 / 1 VENDA,,
22071,1,5254,COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICA CON FIBRA / 96 SOBRES DE 50 G,,
16959,1,9676,TRIFLUOPERAZINA 5 MG / 100 COMPRIMIDOS RECUBIERTOS CON PELICULA ( EXTRANJERO),,
16565,1,8793,ESPUMA PROTECTORA MANOS / 1 FRASCO DE 100 ML (NO FINANCIABLE),,
15969,1,2323,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO 40 MM 360 ML / 30 BOLSAS COLOSTOMIA,,
6141,1,6679,GABAPENTINA 400 MG / 90 CAPSULAS,,
22831,1,8162,"MIDAZOLAM 2,5 MG EN 0,5 ML / 4 JERINGA PRECARGADA DE 0,5 ML",,
14223,1,7572,PARACETAMOL 10MG/ML / 1 FRASCO PARA PERFUSION DE 50 ML,,
8365,1,7259,LEVOTIROXINA 150 MCG / 84 COMPRIMIDOS,,
14480,1,3829,COMPLEMENTO ALIMENTICIO PIEL Y FANERAS / 60 GRAGEAS (NO FINANCIABLE),,
10,1,5861,ALGODON ZIG-ZAG PURO 50 G / 1 BOLSA,,
6695,1,9508,PIPERAZINA 750 MG / 18 COMPRIMIDOS,,
25080,1,7432,"TESTOSTERONA PROPIONATO + HIDROCORTISONA (2,5 / 1)% / 1 EMULSION (NO FINANCIABLE)",,
2990,1,6998,"ICTAMOL + MENTOL (4,8/992,30)MG EN 1 G / 1 FRASCO POLVO DE 100 G (NO FINANCIABLE)",,
438,1,5995,BOLSAS RESINA SINTETICA MICROPORO Y FILTRO 35 MM 350 ML / 30 BOLSAS COLOSTOMIA,,
11108,1,8267,PARACETAMOL + CAFEINA (500/65)MG / 12 COMPRIMIDOS (NO FINANCIABLE),,
12142,1,2873,"NEOMICINA + BECLOMETASONA (7,2/0,25)MG EN 1 G / 1 CREMA DE 30 G (NO FINANCIABLE)",,
2821,1,2484,COLESTIPOL 5000 MG / 30 SOBRES,,
11392,1,4944,BENZOCAINA + CLORHEXIDINA (5/5 MG)  / 20 COMPRIMIDOS (NO FINANCIABLE),,
25432,1,8506,"ITAI AUTOVACUNA BACTERIANA SUBCUTANEA INICIO VIALES 2,3",,
22174,1,8672,BACTEK / AUTOVACUNA BACTERIANA INYECTABLE  / 3 VIALES DE 5 ML,,
17868,1,8850,"DIATER DEPOT INICIACION D8 (2,3)",,
25179,1,8546,ESPECIALES HEPATOPATÍAS ADULTOS/ 15 BOLSAS DE 500 ML,,
2783,1,6246,FLUVASTATINA 20 MG / 28 CAPSULAS,,
15726,1,3613,BOLSAS ILEOST RESINA SINTETICA MICROPORO FILTRO 40 MM 580 ML / 30 BOLSA ILEOSTOMIA,,
18195,1,8875,"APOSITO DE ESPUMA POLIURETANO CON PLATA FIBRAS SILICONA Y BORDE 7,5X7,5 / 5 APOSITOS",,
11255,1,2316,"VASELINA / 1 CREMA DE 3,5 G (NO FINANCIABLE)",,
18548,1,8029,VENDAJE COMPRESIÓN MULTICAPA 18-25 CM / 1 VENDAJE COMPRESION MULTICAPA (DISPENSACIÓN EN CENTROS SANITARIOS),,
1057,1,2836,"PIRIDOXINA 153,3 MG EN 5 ML / 1 FRASCOS SOL DE 150 ML",,
23807,1,7416,CLINDAMICINA 1% (10 MG/ 1 G) / 1 GEL DE 30 G (NO FINANCIABLE),,
7977,1,9531,FENAZOPIRIDINA + SULFAMETIZOL 1 UD / 20 GRAGEAS (NO FINANCIABLE),,
14978,1,2878,LOPERAMIDA 2 MG / 20 COMPRIMIDOS (NO FINANCIABLE),,
24484,1,2574,SODIO BICARBONATO 6000 MG /  SOBRES,,
3501,1,3346,SERENOA REPENS EXTO 80 MG / 60 COMPRIMIDOS,,
10027,1,9903,PALONOSETRON  250 MCG EN 5 ML / 1 VIAL DE 5 ML,,
8055,1,1802,PREDNISOLONA 7 MG/ML / 1 SUSPENSION GOTAS DE 10 ML,,
7747,1,6760,ENALAPRIL 10 MG / 28 COMPRIMIDOS,,
12021,1,9276,COMPLETAS POLIMERICAS HIPERPROTEICA HIPOCALORICAS / 30 SOBRES DE 55 G,,
17539,1,1722,METADONA 20 MG / 1 SOLUCION ORAL DE 20 ML,,
9688,1,5787,BOLSAS COLOST SIST DOBLE PLACA ACOPLAMIENTO ADHESIVO 10-48 MM 250 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
782,1,10221,"METOCLOPRAMIDA 2,6MG EN 1 ML / 1 FRASCO SOL GOTAS DE 60 ML",,
1094,1,6509,CALCIO PIDOLATO 500 MG EN 5 ML / 1 FRASCOS SOL DE 250 ML,,
21879,1,7264,AMLODIPINO 5 MG / 30 COMPRIMIDOS (NO FINANCIABLE),,
76,1,2465,VENDA DE GASA HIDROFILA CAMBRIC 5 X 5 / 1 VENDA,,
18356,1,9721,COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICA CON FIBRA / 27 TETRAPACK DE 200 ML,,
25085,1,8391,ATENOLOL 5 MG  /  SOBRES,,
3236,1,5588,CLINDAMICINA 1% (10 MG/ 1 ML)  / 1 SOLUCION USO EXTERNO DE 30 ML,,
5147,1,2871,LEFLUNOMIDA 20 MG / 30 COMPRIMIDOS,,
9780,1,6977,"FONDAPARINUX 5 MG EN 0,4 ML / 10 JERINGA PRECARGADA DE 0,4 ML",,
7932,1,9530,FENTANILO 1200 MCG / 3 COMPRIMIDOS,,
8899,1,3539,MODULOS ESPESANTES / 6 BOTE DE 227 G,,
10387,1,5564,SILDENAFILO 100 MG / 4 COMPRIMIDOS,,
18575,1,9070,APOSITO DE ESPUMA POLIURETANO EXTRAFINO CON SILICONA 15 X 15 / 5 APOSITOS (DISPENSACION EN CENTROS SANITARIOS),,
23428,1,1935,SILDENAFILO 50 MG / 1 COMPRIMIDO BUCODISPERSABLE,,
2520,1,5301,BISOPROLOL 5 MG / 28 COMPRIMIDOS,,
7156,1,2498,ATROPINA 1% (10 MG EN 1 ML) / 1 COLIRIO DE 10 ML,,
24480,1,3220,UREA + KETOCONAZOL (50 / 20) MG EN 1 G / 1 POMADA,,
14369,1,7507,ABSORBENTE INC ORINA NOC RECT  / 15 ABSORBENTE (NO FINANCIABLE),,
3252,1,5079,ESPECIALES (DM) NORMOPROTEICAS / 15 BOTELLAS DE 500 ML,,
9109,1,3100,"DUTASTERIDE 0,5 MG / 30 CAPSULAS",,
18503,1,8212,ACEITE ROSA MOSQUETA  / 1 FRASCO DE 60 ML (NO FINANCIABLE),,
15631,1,5852,BOLSAS ILEOST SISTEMA DOBLE PLACA 45 MM 580 ML / 30 BOLSA ILEOSTOMIA +10  PLACAS,,
6572,1,6413,PIRACETAM 800 MG / 60 SOBRES (NO FINANCIABLE),,
16114,1,7001,BOLSAS SISTEMA DOBLE PLACA C-ESP 45/15-26MM 460 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
9702,1,3069,BOLSAS COLOST SIST DOBLE PLACA ACOPLAMIENTO ADHESIVO 10-68 MM 850 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
10340,1,4622,EBASTINA 20 MG / 20 COMPRIMIDOS BUCODISPERSABLES / LIOTABS,,
9779,1,6307,PIMECROLIMUS 1% (10 MG/1 G) / 1 CREMA DE 60 G,,
11151,1,8584,BENZOILO PEROXIDO 4% (40 MG/1 G) / 1 CREMA DE 6 G (NO FINANCIABLE),,
16454,1,5632,TOBILLERA  / 1 TOBILLERA (NO FINANCIABLE),,
7067,1,3013,"TOBRAMICINA 0,3% (3 MG/1 G)  / 1 UNGUENTO OFTALMICO DE 3,5 G",,
15762,1,6240,BOLSAS UROST SIST DOBLE PLACA 35 MM 500 ML / 30 BOLSAS UROSTOMIA + 7 PLACAS,,
8779,1,1841,RISEDRONICO ACIDO 35 MG / 4 COMPRIMIDOS RECUBIERTOS,,
1014,1,2572,GOMA GUAR 4750 MG / 60 SOBRES,,
18038,1,9702,APOSITO DE HIDROCOLOIDE EXTRAFINO CON VASELINA 15 X 15 / 5 APOSITOS,,
2509,1,5937,ATENOLOL 50 MG / 60 COMPRIMIDOS,,
4562,1,6870,FOSFOMICINA 500 MG / 24 CAPSULAS,,
8878,1,9886,TOBRAMICINA 300 MG EN 100 ML / 1 BOLSAS PARA PERFUSION DE 100 ML,,
24187,1,2923,ESPARADRAPO HIPOALERGICO 5 X 2.5 / 1 ESPARADRAPO (NO FINANCIABLE),,
2914,1,5123,CLOTRIMAZOL 1% (10 MG/1 ML) / 1 FRASCO SOL USO EXTERNO DE 30 ML (NO FINANCIABLE),,
