dias_tratamiento,Frequency.3
365.0,19181
364.0,8165
10.0,7624
7.0,6497
30.0,5506
5.0,5245
90.0,4999
6.0,4691
180.0,3429
20.0,3015
3.0,2908
60.0,2118
15.0,2009
1.0,1770
28.0,1657
8.0,1489
4.0,1276
120.0,973
2.0,948
12.0,707
40.0,638
14.0,572
13.0,464
50.0,456
56.0,417
100.0,343
360.0,328
300.0,255
25.0,250
200.0,242
150.0,226
333.0,175
84.0,166
9.0,164
21.0,155
334.0,128
91.0,106
80.0,102
26.0,98
45.0,96
181.0,86
11.0,82
336.0,81
303.0,78
240.0,76
152.0,74
18.0,73
335.0,73
16.0,71
210.0,68
24.0,67
350.0,66
359.0,64
272.0,64
182.0,62
29.0,61
35.0,60
213.0,59
121.0,53
243.0,53
211.0,53
160.0,51
242.0,50
250.0,48
304.0,48
280.0,48
343.0,48
273.0,46
183.0,46
190.0,44
348.0,44
356.0,43
89.0,42
351.0,42
140.0,42
353.0,41
362.0,41
340.0,41
344.0,40
358.0,39
305.0,39
274.0,39
168.0,39
345.0,39
22.0,38
302.0,38
337.0,38
70.0,38
363.0,37
355.0,36
185.0,36
342.0,36
354.0,35
357.0,35
244.0,35
61.0,35
338.0,35
346.0,35
352.0,34
