fecha_fin_tratamiento,Frequency.6
2015-01-16,222
2015-01-14,222
2015-01-20,215
2015-01-07,213
2015-01-21,211
2015-02-16,209
2015-01-08,205
2015-01-15,201
2015-01-02,194
2015-01-27,193
2015-01-01,192
2015-01-13,191
2015-02-02,190
2015-02-09,190
2015-03-04,189
2015-02-18,188
2015-02-23,185
2015-01-26,185
2015-02-11,184
2015-01-28,183
2015-01-19,183
2015-02-04,182
2015-01-12,180
2015-02-12,178
2015-03-10,176
2015-05-13,176
2015-03-11,175
2015-02-06,173
2015-04-21,172
2015-02-25,171
2015-01-05,171
2015-01-03,170
2015-02-13,169
2014-02-11,168
2015-02-10,167
2015-02-03,167
2015-04-14,167
2015-01-22,167
2015-01-09,167
2014-01-16,166
2015-03-09,165
2015-02-24,165
2015-02-19,165
2015-03-17,165
2015-04-08,164
2015-03-03,163
2015-06-16,162
2015-06-10,162
2015-02-05,160
2015-01-04,160
2015-02-17,159
2015-10-07,158
2015-10-15,158
2015-01-18,158
2015-06-03,156
2015-12-09,156
2015-12-14,156
2015-04-29,156
2014-04-08,155
2015-02-26,155
2015-01-30,155
2015-11-24,155
2015-05-20,154
2014-01-08,153
2015-04-15,152
2015-01-24,152
2015-11-12,152
2014-01-21,151
2014-01-30,151
2015-04-28,151
2014-01-15,150
2014-05-14,150
2015-09-29,150
2014-02-05,149
2015-12-15,148
2015-03-13,148
2015-03-02,147
2015-05-26,147
2014-01-22,147
2015-10-14,147
2015-04-16,147
2015-01-23,147
2015-01-10,147
2015-06-24,147
2015-11-17,147
2015-06-17,147
2015-10-20,146
2015-11-11,146
2015-11-20,146
2015-09-22,145
2015-11-13,145
2015-03-31,145
2015-11-18,145
2015-03-27,145
2014-01-09,145
2015-12-10,144
2015-05-06,144
2015-07-08,144
2015-01-29,143
2015-03-18,143
