fecha_inicio_tratamiento,Frequency.7
2014-12-30,288
2014-12-16,279
2014-12-22,267
2014-12-18,244
2014-01-16,243
2014-01-08,241
2014-12-15,241
2014-10-14,238
2014-01-13,236
2014-01-09,236
2014-01-21,234
2014-12-04,233
2014-12-10,231
2014-12-29,227
2015-01-14,227
2014-11-18,226
2014-11-12,226
2015-01-13,225
2014-01-27,224
2014-10-27,224
2014-12-17,223
2014-11-20,221
2014-01-20,220
2014-11-11,218
2014-11-26,218
2014-12-09,218
2014-01-07,218
2014-10-22,217
2014-01-15,216
2014-12-05,216
2014-04-30,213
2014-12-11,213
2014-10-16,212
2014-10-15,212
2014-10-21,211
2014-11-25,211
2014-12-03,211
2015-01-08,209
2014-01-29,206
2014-01-14,205
2014-10-28,205
2015-01-26,204
2014-10-01,203
2014-01-30,203
2014-12-12,203
2014-07-01,202
2014-10-07,202
2014-05-05,202
2015-01-21,201
2014-04-02,201
2014-10-29,200
2014-02-12,200
2015-01-15,200
2014-12-01,200
2014-10-08,199
2014-11-06,199
2014-11-17,199
2014-03-12,199
2015-02-17,198
2014-02-18,198
2014-12-02,198
2015-01-12,197
2014-01-10,197
2014-12-23,196
2014-10-13,196
2014-02-03,196
2014-11-04,196
2015-01-20,196
2014-10-02,195
2014-05-08,195
2014-11-05,195
2014-11-10,195
2014-01-23,194
2014-05-06,194
2014-11-03,194
2014-11-13,194
2014-03-25,194
2014-09-24,193
2014-09-29,193
2014-04-08,193
2014-11-27,193
2014-03-26,193
2014-01-03,191
2014-01-22,190
2015-01-28,190
2014-11-19,190
2014-12-19,190
2014-02-04,189
2014-11-24,189
2015-02-18,188
2014-12-26,187
2015-02-02,187
2015-11-04,187
2014-02-26,186
2015-10-13,185
2014-02-17,185
2014-05-19,185
2015-01-19,185
2014-03-20,185
2014-03-05,184
