unidades,Frequency.1
1.00,74915.0
2.00,6716.0
0.00,6570.0
10.00,1456.0
0.50,1127.0
4.00,1045.0
3.00,833.0
15.00,461.0
1.50,385.0
5.00,378.0
6.00,173.0
8.00,90.0
2.50,60.0
0.30,52.0
0.20,49.0
20.00,47.0
1.20,43.0
0.40,43.0
7.00,39.0
0.18,37.0
0.24,37.0
0.12,35.0
0.10,33.0
1.80,32.0
12.00,31.0
100.00,31.0
0.14,29.0
30.00,29.0
0.16,26.0
0.25,26.0
0.28,25.0
0.26,25.0
0.22,24.0
0.36,24.0
0.32,22.0
40.00,20.0
0.08,20.0
0.60,16.0
14.00,16.0
0.34,16.0
0.42,15.0
9.00,14.0
0.38,14.0
0.70,13.0
28.00,12.0
18.00,12.0
3.50,11.0
25.00,11.0
2.40,11.0
200.00,11.0
0.48,10.0
0.44,10.0
0.54,9.0
50.00,9.0
11.00,9.0
0.75,9.0
16.00,9.0
0.15,9.0
21.00,9.0
0.46,8.0
1.25,8.0
0.72,8.0
0.04,8.0
0.62,7.0
0.52,6.0
0.80,6.0
0.06,6.0
17.00,5.0
0.56,5.0
0.68,5.0
0.90,5.0
13.00,5.0
7.50,5.0
0.13,5.0
0.27,5.0
24.00,5.0
