cod_ud_medida,Frequency.5,codes,spanish description,english description,comment
-2,30442.0,4,[Sin referencia],,
-1,29031.0,3,[Vacio],,
%,14015.0,2,Tanto por cien,,
mg/dL,11479.0,17,Miligramos / Decilitro,,
g/dL,2983.0,9,Gramos / Decilitro,,
U/L,2568.0,33,Unidades / Litro,,
fL,2395.0,6,Femtolitros,,
pg,1774.0,28,Picogramos,,
mmol/L,1354.0,23,Milimoles / Litro,,
ng/mL,902.0,27,Nanogramos / Mililitro,,
mg/L,451.0,18,Miligramos / Litro,,
µg/dL,382.0,8,Microgramos / Decilitro,,
I,342.0,11,indice,,
mL/min,309.0,20,Mililitros / minutos,,
mU/mL,285.0,25,Miliunidades / Mililitro,,
seg,223.0,30,Segundos,,
µUI/mL,213.0,31,Microunidades internacionales / Mililitro,,
pg/mL,184.0,29,Picogramos / Mililitro,,
ng/dL,160.0,26,Nanogramos / Decilitro,,
mm/h,131.0,21,Milímetros / Hora,,
U/mL,100.0,34,Unidades / Mililitro,,
UI/mL,80.0,32,Unidades internacionales / Mililitro,,
meq/L,51.0,15,Miliequivalentes / Litro,,
.,43.0,1,.,,
mUI/mL,39.0,24,Miliunidades internacionales / Mililitro,,
µg/mL,29.0,10,Microgramos / Mililitro,,
mcg/mg,24.0,14,microgramos/miligramos,,
mg/24h,6.0,16,Miligramos / 24 horas,,
º,1,35,Grados,,
g/24h,1,7,Gramos / 24 horas,,
cm,1,5,centímetros,,
min,1,19,Minutos,,
kU/L,1,12,Kilounidades / Litro,,
mm Hg,1,22,Milímetros de mercurio,,
leu/µL,1,13,Leucocitos / Microlitro,,
