fecha_registro,Frequency.3
2015-04-23,239
2015-09-22,234
2015-10-21,226
2015-03-10,222
2015-06-18,221
2015-05-07,220
2015-10-20,219
2015-05-26,218
2015-10-19,218
2015-04-28,218
2015-10-29,218
2015-05-20,216
2015-09-15,216
2015-06-17,216
2015-10-23,215
2015-01-27,215
2015-04-30,214
2015-04-29,214
2015-04-21,214
2015-04-20,214
2015-05-18,213
2015-05-27,212
2015-10-07,212
2015-06-05,212
2015-05-28,211
2015-10-06,211
2015-10-14,211
2015-02-24,210
2015-02-19,210
2015-04-15,210
2015-05-04,209
2015-06-16,209
2015-06-08,209
2015-02-05,208
2015-10-28,208
2015-10-01,207
2015-02-25,205
2015-05-13,205
2015-02-11,205
2015-05-05,205
2015-10-16,205
2015-11-18,205
2015-12-03,204
2015-10-13,204
2015-03-03,203
2015-05-25,203
2015-05-19,203
2015-09-30,203
2015-06-10,203
2015-12-17,202
2015-05-06,202
2015-10-27,202
2015-05-12,201
2015-06-09,201
2015-06-01,200
2015-06-02,200
2015-09-29,200
2015-10-30,200
2015-09-23,200
2015-12-16,199
2015-10-22,198
2015-06-24,198
2015-06-04,198
2015-06-15,197
2015-05-22,196
2015-04-27,196
2015-06-23,195
2015-05-14,194
2015-10-15,194
2015-02-04,194
2015-06-25,194
2015-03-25,194
2014-06-19,194
2015-06-03,193
2015-05-29,193
2015-01-20,193
2015-03-31,193
2015-11-26,193
2015-03-11,192
2015-02-18,192
2014-10-28,192
2015-05-08,192
2015-09-24,192
2015-06-22,192
2015-03-30,192
2015-12-15,191
2015-11-24,191
2014-01-28,190
2015-01-28,190
2015-03-04,189
2015-05-15,189
2015-04-01,189
2014-01-29,188
2015-02-16,188
2015-10-26,188
2015-02-02,187
2014-05-21,187
2014-11-25,187
2015-11-25,187
2015-11-30,187
