valor_registrado,Frequency.1
0.0,1410
0.2,810
70.0,746
80.0,743
0.5,642
0.1,610
0.4,592
0.6,544
0.3,539
140.0,530
1.0,495
60.0,475
75.0,466
5.0,458
100.0,454
0.7,430
90.0,422
0.8,402
130.0,393
6.0,393
120.0,382
85.0,380
13.0,357
10.0,328
14.0,325
7.0,323
72.0,321
78.0,314
76.0,312
0.9,307
33.0,302
25.0,296
142.0,285
74.0,285
2.0,279
4.5,278
5.5,278
4.3,277
84.0,276
150.0,276
82.0,275
65.0,275
15.0,275
30.0,274
4.6,273
68.0,273
110.0,273
86.0,271
77.0,271
71.0,268
89.0,267
88.0,266
1.02,263
83.0,263
98.0,261
32.0,254
105.0,254
34.0,252
87.0,252
92.0,252
12.0,250
141.0,248
9.0,247
4.4,246
139.0,245
91.0,245
3.0,244
4.0,243
6.5,242
73.0,242
93.0,242
81.0,241
11.0,239
19.0,238
18.0,238
20.0,235
17.0,233
79.0,233
99.0,233
97.0,233
28.0,230
4.2,228
67.0,228
21.0,227
69.0,226
96.0,226
64.0,224
95.0,224
31.0,224
143.0,224
66.0,223
160.0,222
27.0,222
1.01,221
22.0,219
16.0,217
24.0,216
94.0,215
29.0,208
