cod_atc2,Frequency.1,codes,spanish description,english description,comment
637,1,H04,HORMONAS DEL PANCREAS,,
563,1,26I,IRRIGACION COLOSTOMIA,,
580,1,9MH,MODULOS HIDROCARBONADOS,,
673,1,S03,PREPARADOS OFTALMOLOGICOS Y OTOLOGICOS,,
554,1,25A,BOLSAS COLOSTOMÍA,,
542,1,22A,INHALADOR,,
661,1,N07,OTROS MEDICAMENTOS DE ACCION SISTEMA NERVIOSO,,
521,1,05A,CANULA TRAQUEOTOMIA,,
558,1,26A,CINTURON Y SOPORTE DE OSTOMIA,,
671,1,S01,OFTALMOLOGICOS,,
518,1,03B,VENDA ELASTICA,,
674,1,V01,ALERGENOS,,
651,1,M03,RELAJANTES MUSCULARES,,
541,1,21A,IRRIGADOR COMPLETO,,
574,1,9CP,COMPLETAS POLIMERICAS,,
556,1,25C,PRODUCTOS DE UROSTOMIA,,
525,1,05H,APOSITOS ADHESIVOS FILTRO,,
667,1,R03,ANTIASMATICOS,,
579,1,9ME,MODULOS ESPESANTES,,
584,1,9MV,MODULOS DE VITAMINA Y MINERALES,,
523,1,05F,CANULA TRAQUEOTOMIA - LARING,,
583,1,9MP,MODULOS PROTEICOS,,
585,1,9X0,ALIMENTOS PERSONAS SANAS,,
645,1,L01,ANTINEOPLASICOS,,
685,1,47A,CONTENEDORES RESIDUOS CITOSTÁTICOS,,
513,1,01C,ALGODON EN ZIG-ZAG,,
578,1,9LA,ALERGIA E INTOLERANCIA A PROTEÍNAS DE LECHE DE VACA,,
557,1,25H,OSTOMIA,,
511,1,0,NO EXISTE SUBGRUPO TERAPÉUTICO DE NIVEL 2,,
570,1,9AM,AA ESENCIALES Y NO ESENCIALES,,
692,1,Y10,VISADO CON 75 PESETAS APORTACION FIJA,,
582,1,9MM,MODULOS HIDROCARBONADOS Y LIPIDICOS,,
569,1,9AE,"AA ESENCIALES, EXENTOS",,
530,1,11A,PARCHES OCULARES,,
547,1,24A,MEDIAS CORTAS,,
592,1,A04,ANTIEMETICOS Y ANTINAUSEANTES,,
527,1,06D,SONDA GASTRICA,,
596,1,A08,"PRODUCTOS ANTIOBESIDAD, EXCLUIDOS DIETETICOS",,
641,1,J04,ANTIMICOBACTERIANOS,,
670,1,R07,OTROS PRODUCTOS APARATO RESPIRATORIO,,
566,1,42A,AGUJA,,
548,1,24B,MEDIA LARGA  A-F,,
650,1,M02,PRODUCTOS TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR,,
519,1,04A,ESPARADRAPO NORMAL,,
515,1,02A,GASA NO ESTERIL,,
608,1,B05,SUSTITUTOS DE LA SANGRE Y SOLUC. PARA PERFUSION,,
686,1,45A,COMPRESA TOCOLOGICA,,
573,1,9CO,COMPLETAS PEPTIDICAS,,
633,1,G04,MEDICAMENTOSOS UROLOGICOS,,
620,1,D03,PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS,,
577,1,9HL,LACTOSA,,
660,1,N06,PSICOANALEPTICOS,,
600,1,A12,SUPLEMENTOS MINERALES,,
552,1,24F,PANTYS,,
587,1,9X2,ALIMENTOS ELABORADOS A BASE DE PLANTAS,,
575,1,9ES,ESPECIALES,,
588,1,9ZZ,SUPLEMENTOS ALIMENTICIOS,,
664,1,P03,"ECTOPARASITICIDAS, INCLUIDOS ESCABICIDAS",,
606,1,B02,ANTIHEMORRAGICOS,,
646,1,L02,TERAPIA ENDOCRINA,,
612,1,C04,VASODILATADORES PERIFERICOS,,
656,1,N02,ANALGESICOS,,
549,1,24C,MEDIA LARGA (A-G),,
