cod_centro,Frequency.1,codes,spanish description,english description,comment
281,1,3111,CONSULTORIO AUXILIAR GARBINET,,
762,1,8,CENTRO DE SALUD DE FORCALL,,
804,1,1341,CONSULTORIO AUXILIAR DE ENGUERA NAVALON,,
673,1,661,CONSULTORIO AUXILIAR DE LA TORRE D'EN BESORA,,
753,1,757,CONSULTORIO AUXILIAR DE LA VALL DE LAGUAR BENIMAURELL,,
339,1,2972,CONSULTIRO AUXILIAR DE VENTA DEL MORO / CASAS DEL REY,,
558,1,758,CONSULTORIO AUXILIAR DE BENIMELI,,
272,1,2087,CONSULTORIO AUXILIAR DE SAN VICENTE DEL RASPEIG COLONIA SANTA ISABEL,,
671,1,450,CONSULTORIO AUXILIAR DE NOVETLE,,
436,1,400,CONSULTORIO AUXILIAR DE VALL DE GALLINERA BENIALI,,
722,1,183,CONSULTORIO AUXILIAR DE SERRA,,
204,1,43,CONSULTORIO AUXILIAR DE ESLIDA,,
837,1,2595,CENTRO DE SALUD DE VALENCIA SAN ISIDRO,,
258,1,111,CONSULTORIO AUXILIAR DE ALGAR DE PALANCIA,,
800,1,2645,CONSULTORIO AUXILIAR VIRTUAL,,
158,1,524,CENTRO DE SALUD DE ALICANTE LOS ANGELES,,
541,1,332,CENTRO DE SALUD DE BENIFAIO,,
12,1,765,CONSULTORIO AUXILIAR DE GATA JESUS POBRE,,
525,1,763,CONSULTORIO AUXILIAR DE EL RAFOL DE D'ALMUNIA,,
700,1,629,CONSULTORIO AUXILIAR DE SANTA POLA CASA DEL MAR,,
164,1,160,CENTRO DE SALUD DE RAFELBUNYOL / RAFELBUÑOL,,
579,1,240,CONSULTORIO DE VALENCIA BILBAO,,
707,1,359,CONSULTORIO AUXILIAR DE RAFELCOFER,,
807,1,699,CONSULTORIO AUXILIAR DE LOS CORRALES,,
446,1,529,CENTRO DE SALUD DE SAN VICENTE DEL RASPEIG I,,
791,1,438,CENTRO DE SALUD DE L'OLLERIA,,
480,1,142,CONSULTORIO AUXILIAR DE CHOVAR,,
645,1,509,CENTRO DE SALUD DE MONOVER / MONOVAR,,
685,1,23,CONSULTORIO AUXILIAR DE CANET LO ROIG,,
513,1,209,CENTRO DE SALUD DE LA POBLA DE VALLBONA,,
189,1,2970,CONSULTORIO AUXILIAR DE VENTA DEL MORO / CASAS DE MOYA,,
386,1,3038,CONSULTORIO AUXILIAR DE VALLAT,,
557,1,619,CENTRO DE SALUD DE GANDIA BENIOPA,,
108,1,3104,CENTRO SANITARIO INTEGRADO DE ALMAZORA,,
570,1,130,CENTRO DE SALUD DE VIVER,,
137,1,113,CONSULTORIO AUXILIAR DE GILET,,
853,1,749,CONSULTORIO AUXILIAR DE CASTELLON DE LA PLANA LA SALERA,,
71,1,708,CONSULTORIO AUXILIAR DE VALENCIA EL SALER,,
132,1,725,CONSULTORIO AUXILIAR DE AIELO DE RUGAT,,
414,1,742,CONSULTORIO AUXILIAR DE ORIHUELA ESCORRATEL,,
463,1,745,CONSULTORIO AUXILIAR DE ORIHUELA VIRGEN DEL CAMINO,,
547,1,2317,CONSULTORIO AUXILIAR DE ALMUDAINA,,
861,1,761,CONSULTORIO AUXILIAR DE BENIGEMBLA,,
641,1,3102,CONSULTORIO AUXILIAR DE EL MUDAMIENTO,,
136,1,2942,CENTRO DE SALUD SAN LUIS TORREVIEJA,,
566,1,498,CENTRO DE SALUD DE MUTXAMEL,,
478,1,468,CONSULTORIO AUXILIAR DE AGRES,,
373,1,568,CONSULTORIO AUXILIAR DE BENIJOFAR,,
458,1,164,CENTRO DE SALUD DE VALENCIA SALVADOR PAU,,
824,1,701,CONSULTORIO DE ELX / ELCHE L'ALTET,,
48,1,277,CENTRO DE SALUD DE MONTSERRAT,,
171,1,717,CONSULTORIO AUXILIAR DE ELX / ELCHE LA FOIA,,
80,1,1342,CONSULTORIO AUXILIAR DE PINET,,
730,1,415,CENTRO DE SALUD DE BOCAIRENT,,
91,1,322,CONSULTORIO AUXILIAR DE TOUS,,
432,1,102,CONSULTORIO AUXILIAR DE TIRIG,,
810,1,518,CENTRO DE SALUD DE VILLENA 2,,
