cod_zona,Frequency.3
4-9,16.0
12-1,14.0
8-4,14.0
13-7,13.0
15-9,13.0
15-5,13.0
21-6,11.0
8-2,11.0
4-8,11.0
3-6,10.0
12-2,10.0
14-16,10.0
13-9,9.0
16-5,9.0
1-6,9.0
4-2,9.0
14-1,8.0
11-11,8.0
6-9,8.0
1-3,8.0
16-7,8.0
12-7,8.0
3-7,7.0
11-10,7.0
21-4,7.0
6-1,7.0
8-5,7.0
22-2,7.0
6-16,6.0
14-6,6.0
21-7,6.0
2-2,6.0
10-16,6.0
7-13,6.0
20-9,6.0
12-4,6.0
14-13,6.0
11-1,6.0
6-11,5.0
3-4,5.0
21-2,5.0
13-1,5.0
2-3,5.0
2-7,5.0
2-8,5.0
24-1,5.0
2-14,5.0
2-13,5.0
1-5,5.0
9-3,5.0
14-10,5.0
14-14,5.0
0-0,5.0
4-1,5.0
20-10,5.0
4-3,5.0
11-9,5.0
4-5,5.0
22-4,5.0
22-3,5.0
