cod_est_salud,Frequency.1,codes,spanish description,english description,comment
281,1,62304,Otra enfermedad dominante crónica y otra neoplasia no dominante: Nivel 4,,
762,1,90802,Cuadriplejia adquirida o estado vegetativo permanente: Nivel 2,,
1056,1,50104,Hidrocefalia y otras anomalías cerebrales: Nivel 4,,
804,1,61331,"Enfermedad cerebrovascular y otra enfermedad crónica, Nivel 2",,
1078,1,3,Enfermedad crónica menor única,,
558,1,70701,Diabetes - Enfermedad cerebrovascular - Hipertensión: Nivel 1,,
272,1,70011,Insuficiencia renal crónica - Otra enfermedad crónica dominante: Nivel 1,,
931,1,56952,Neoplasia NOS/NEC: Nivel 1,,
671,1,50753,"Ceguera, pérdida de visión y diagnósticos oculares crónicos -Mayor/moderado: Nivel 3",,
436,1,30171,Anomalías de la marcha: Nivel 1,,
902,1,51864,Fibrilación auricular: Nivel 4,,
204,1,61604,Demencia y otra enfermedad dominante crónica: Nivel 4,,
837,1,57483,"Trastornos de la conducta, del control de los impulsos y del comportamiento: Nivel 3",,
258,1,32732,Úlceras crónicas: Nivel 2,,
541,1,57473,trastornos bipolares: Nivel 3,,
12,1,70214,Diabetes - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 4,,
525,1,50101,Hidrocefalia y otras anomalías cerebrales: Nivel 1,,
700,1,20860,Diagnósticos de diabetes con otra enfermedad significativa,,
948,1,86464,Neoplasias de cerebro y SNC: Nivel 4,,
1052,1,70505,Enfermedad cerebrovascular -Dos o más enfermedades crónicas dominantes: Nivel 5,,
579,1,70302,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 2,,
969,1,53144,Trastornos pancreáticos y hepáticos crónicos - Moderado: Nivel 4,,
446,1,61222,EPOC y otra enfermedad dominante crónica: Nivel 2,,
791,1,30791,Cataratas: Nivel 1,,
645,1,62211,Neoplasia de próstata y otra enfermedad moderada crónica: Nivel 1,,
557,1,61254,"EPOC y otra enfermedad crónica, Nivel 2",,
983,1,55822,Síndrome de Down: Nivel 2,,
108,1,61164,Insuficiencia cardiaca y otra enfermedad moderada crónica: Nivel 4,,
570,1,35251,Otros diagnósticos ginecológicos crónicos: Nivel 1,,
853,1,52384,Enfermedad vascular periférica: Nivel 4,,
132,1,70015,Insuficiencia renal crónica - Otra enfermedad crónica dominante: Nivel 5,,
861,1,51902,Estado de dispositivo cardiaco: Nivel 2,,
641,1,61103,EPOC e Insuficiencia cardiaca: Nivel 3,,
566,1,50044,Enfermedad cerebrovascular con infarto o hemorragia intracraneal: Nivel 4,,
171,1,70404,Enfermedad coronaria avanzada -Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 4,,
