cod_atc4,Frequency.7,codes,spanish description,english description,comment
V01AA,375,2670,EXTRACTOS DE ALERGENOS,,
01D00,334,2021,APOSITO ESTERIL,,
V07AT,112,2680,COSMETICOS,,
25A11,97,2099,BOLSAS COLOST RES SINT MIC FIL,,
M01AE,96,2516,DERIVADOS DEL ACIDO PROPIONICO (AINES),,
B01AB,89,2264,HEPARINAS,,
D07AC,80,2368,CORTICOSTEROIDES POTENTES-GRUPO III (DERMATOLOGIC),,
N02BE,75,2546,ANILINAS (ANALGESICOS),,
B03XA,74,2279,OTROS ANTIANEMICOS,,
N02AB,71,2540,DERIVADOS FENILPIPERIDINA (ANALGESICOS OPIACEOS),,
N03AX,64,2557,OTROS ANTIEPILEPTICOS,,
N05BA,61,2574,BENZODIAZEPINAS (ANSIOLITICOS),,
H02AB,61,2442,GLUCOCORTICODES,,
B05BB,60,2281,SOLUCIONES RESTAURADORAS EQUILIBRIO ELECTROLITICO,,
S01XA,59,2664,OTROS OFTALMOLOGICOS,,
J01FA,57,2465,MACROLIDOS (ANTIINFECCIOSOS SISTEMICOS),,
G03AA,56,2410,PROGESTAGENOS Y ESTROGENOS EN COMBINACIONES FIJAS,,
N06AB,55,2583,INHIB. SELECTIVOS RECAPTACION SEROTONINA (ANTIDEP),,
06F03,55,2048,SONDA VESICAL BAJA FRICCION,,
D11AX,54,2396,OTROS DERMATOLOGICOS,,
L01XE,52,2695,INHIBIDORES DIRECTOS DE  LA PROTEIN-QUINASA,,
G04BE,50,2431,MEDICAMENTOS USADOS EN DISFUNCIONES ERECTILES,,
J01CA,48,2452,PENICILINAS DE AMPLIO ESPECTRO,,
N05AX,47,2573,OTROS ANTIPSICOTICOS,,
A02BC,47,2194,INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA),,
N02AA,46,2539,ALCALOIDES NATURALES DEL OPIO,,
R05CB,46,2629,MUCOLITICOS,,
N02AX,44,2543,OTROS ANALGESICOS OPIACEOS,,
C09AA,44,2328,INHIBIDORES ENZIMA CONVERTASA ANGIOTENSINA SOLOS,,
R05DA,43,2631,ALCALOIDES DEL OPIO Y DERIVADOS (ANTITUSIVOS),,
D01AC,43,2343,DERIVADOS IMIDAZOL Y TRIAZOL (ANTIFUNG.USO TOPICO),,
N05AH,42,2570,"DIAZEPINAS, OXAZEPINAS Y TIAZEPINAS (ANTIPSICOTIC)",,
9CPNH,42,2152,FORMULAS COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICAS,,
J01CR,41,2455,"ASOCIACIONES DE PENICILINAS, INCL. INHIB.BETALACT.",,
J01MA,41,2469,FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS),,
9ESPE,40,2155,FORMULAS COMPLETAS ESPECIALES,,
C08CA,39,2325,DERIVADOS DE DIHIDROPIRIDINA (BLOQ. DEL CALCIO),,
C09CA,38,2331,ANTAGONISTAS ANGIOTENSINA II SOLOS,,
25B11,37,2111,BOLSAS ILEOST RES SINT MICROPORO FILTRO,,
