cod_presfarma,Frequency.1,codes,spanish description,english description,comment
3993,1,11898,PASTA LASSAR / 1 PASTA DERMICA 50G (NO FINANCIABLE),,
7874,1,15625,BOLSAS ILEOST KARAYA ADHESIVO MICROPORO 35 MM 900 ML / 30 BOLSA ILEOSTOMIA,,
4914,1,10233,RISPERIDONA 3 MG / 28 COMPRIMIDOS BUCODISPERSABLES,,
9013,1,18470,"ALERGOPOL PLUS ALERGOIDE POLIMERIZADO INICIO (2,3) PAUTA CLUSTER",,
4937,1,8923,APOSITOS B OSTOM RES SINT MIC ACOPLAM ADH 13-48 MM 48 MM / 5 APOSITOS B OSTOMIA,,
5118,1,16716,ISOFLAVONAS DE SOJA + CALCIO + VIT D + VIT B  / 30 COMPRIMIDOS (NO FINANCIABLE),,
9076,1,24929,SODIO CLORURO 0.9 % (0.9 G/100 ML) / 15 BOLSAS PARA PERFUSION DE 500 ML (NO FINANCIABLE),,
7630,1,15663,IMIPENEM + CILASTATINA (500/500)MG / 10 VIAL DE 20 ML,,
9438,1,3679,HIDROCORTISONA 20 MG / 10 COMPRIMIDOS,,
6546,1,6474,AMITRIPTILINA 25 MG / 60 COMPRIMIDOS RECUBIERTOS,,
2637,1,12255,VILDAGLIPTINA 50 MG / 28 COMPRIMIDOS,,
2723,1,10663,BOLSAS COLOST SIST DOBLE PLACA ACOPLAMIENTO ADHESIVO 80 MM 470 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
5280,1,15798,CREMA HIDRATANTE DE PIES / 1 TUBO DE 75 G (NO FINANCIABLE),,
7784,1,11281,ZINC PIRITIONATO 1% / 1 SOLUCION DE 500 ML (NO FINANCIABLE),,
5496,1,10906,ATOVACUONA + PROGUANIL (250/100)MG / 12 COMPRIMIDOS,,
9879,1,8115,METOCLOPRAMIDA 100 MG EN 5 ML / 6 AMPOLLAS DE 5 ML,,
3425,1,6227,ZUCLOPENTIXOL 10 MG / 30 COMPRIMIDOS,,
7264,1,21879,AMLODIPINO 5 MG / 30 COMPRIMIDOS (NO FINANCIABLE),,
3394,1,15699,GASA ESTERIL ALGODON HIDROFILO COMPRESA 20 X 20 / 100 COMPRESA,,
8314,1,24075,PERFENAZINA 8 MG / 50 COMPRIMIDOS (EXTRANJERO),,
5464,1,2648,DILTIAZEM 300 MG / 28 CAPSULAS LIBERACION RETARDADA,,
7656,1,6567,PIRACETAM 800 MG / 20 COMPRIMIDOS (NO FINANCIABLE),,
2807,1,22271,"HIALURONICO ACIDO 0,4% / 20 MONODOSIS DE 0,5 ML (NO FINANCIABLE)",,
6009,1,22570,CEFADROXILO 500 MG / 28 CAPSULAS,,
1762,1,157,SONDA VESICAL LATEX 20 CH / 1 SONDA,,
7756,1,22363,CLORHEXIDINA 1 G EN 100 ML / 36 SOLUCION DE 100 ML ( NO FINANCIABLE),,
2414,1,11890,"TESTOSTERONA 22,5 MG / 30 PARCHE TRANSDERMICO",,
9700,1,18029,HIDROXIPROPILMETILCELULOSA / 60 IMPLANTE OFTALMICO,,
2656,1,3558,"DESMOPRESINA 10 MCG EN 0,1 ML / 1 AEROSOL NASAL DE 5 ML",,
8468,1,23104,SONDA VESICAL NELATON 12 Y 18  CH / 20 SONDA + BOLSA,,
7638,1,22861,DEPIGOID DUO INICIO (PAUTA CONVENCIONAL)  / 2 VIALES,,
7538,1,325,ABSORBENTE INC ORINA SUP-NOC ANAT  / 20 ABSORBENTE,,
8151,1,10448,CALCIO CARBONATO + COLECALCIFEROL (500MG/400UI) / 60 COMPRIMIDOS MASTICABLES,,
9718,1,18288,LISADO BACTERIANO LETI  CONTINUACION VIA SUBLINGUAL,,
5196,1,7829,SONDA VESICAL BAJA FRICCION NELATÓN HOMBRE 20 CH / 60 SONDA,,
7125,1,6685,MEBENDAZOL 100 MG EN 5 ML / 1 FRASCO SUSP ORAL DE 30 ML,,
6174,1,22749,MÓDULOS DE VITAMINAS Y MINERALES 4 G / 30 CARAMELOS (NO FINANCIABLE),,
8732,1,21986,"VACUNA ESPECIFICA BACTERIANA V. RESPIRATORIAS SUBLINGUAL CONTINUACION PROBELTE (3,3,3)",,
7873,1,10435,ALLERGOVAC DEPOT CONTINUACION (1 VIAL),,
7163,1,7118,"DICLOFENACO 0,1 % ( 1MG/ML) / 1 COLIRIO DE 5 ML",,
5916,1,22726,FORTASYN CONNECT / 24 BOTELLA DE 125 ML (NO FINANCIABLE),,
9969,1,12533,FORMULAS COMPLETAS OLIGOMERICAS HIPERPROTEICAS  / 6 SOBRES DE 87 G,,
6902,1,24436,PREDNISONA 1 MG / 30 COMPRIMIDOS (NO FINANCIABLE),,
3590,1,4849,ANTIGENO SUPERFICIE HEPATITIS B 40 MCG EN 1 ML / 1 VIAL DE 1 ML,,
5823,1,11675,"HIDROXOCOBALAMINA + PIRIDOXINA + TIAMINA (0,5/250/250)MG / 30 COMPRIMIDOS (NO FINANCIABLE)",,
