des_atc2,Frequency.6
ANTIBACTERIANOS DE USO SISTEMICO,408
ALERGENOS,375
ANALGESICOS,337
APOSITO,334
PSICOLEPTICOS,271
PSICOANALEPTICOS,227
OFTALMOLOGICOS,219
BOLSAS COLOSTOMÍA,211
CORTICOIDES DERMATOLOGICOS,198
HORMONAS SEXUALES Y MODULADORES DE APARATO GENITAL,180
ANTIINFLAMATORIOS Y ANTIREUMATICOS,169
ANTIHIPERTENSIVOS ACCION SISTEMA RENINA-ANGIOTENS.,158
ANTITROMBOTICOS,150
PREPARADOS PARA LA TOS Y EL RESFRIADO,145
TODOS LOS DEMAS PRODUCTOS NO TERAPEUTICOS,134
PRODUCTO DE ILESTOMÍA,128
ANTIASMATICOS,128
ANTINEOPLASICOS,127
COMPLETAS POLIMERICAS,124
ANTIACIDOS Y ANTIULCERA PEPTICA,124
ANTIDIABETICOS,124
SONDA VESICAL,120
ANTIANEMICOS,113
MEDICAMENTOSOS UROLOGICOS,112
ANTIVIRALES DE USO SISTEMICO,110
VITAMINAS,109
SUSTITUTOS DE LA SANGRE Y SOLUC. PARA PERFUSION,109
OTROS PREPARADOS DERMATOLOGICOS,109
APOSITOS OSTOMIA,107
ANTIEPILEPTICOS,105
INMUNOSUPRESORES,96
ABSORBENTE INCONTINENCIA ORINA,89
ANTIFUNGICOS DE USO TOPICO,85
PRODUCTOS DE UROSTOMIA,82
OTROS MEDICAMENTOS DE ACCION SISTEMA NERVIOSO,80
LAXANTES,74
TERAPIA DEL MIOCARDIO,73
"ANTIDIARREICOS, ANTIINFECC./ANTINFL.INTESTINALES",72
SUPLEMENTOS MINERALES,72
BLOQUEANTES DE LOS CANALES DEL CALCIO,70
CORTICOSTEROIDES DE USO SISTEMICO,68
ANTISEPTICOS Y DESINFECTANTES,64
MEDICAMENTOS CONTRA EL PARKINSON,64
PREPARACIONES NASALES,64
ANTIHISTAMINICOS DE USO SISTEMICO,63
TODOS LOS DEMAS PRODUCTOS TERAPEUTICOS,61
PREPARADOS HIPOLIPEMIANTES/ANTIATEROMATOSOS,59
PRODUCTOS TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR,59
PREPARADOS ESTOMATOLOGICOS,58
HORMONAS HIPOFISARIAS E HIPOTALAMICOS Y ANALOGOS,52
VASOPROTECTORES,51
BETABLOQUEANTES,50
EMOLIENTES Y PROTECTORES DERMATOLOGICOS,49
ANTIBIOTICOS Y QUIMIOTERAPICOS DERMATOLOGICOS,49
PREPARADOS ANTI-ACNE,47
ALIMENTOS PERSONAS SANAS,45
"ANTIESPASMODICOS, ANTICOLINERGICOS Y PROPULSIVOS",44
VACUNAS,44
DIURETICOS,41
INMUNOESTIMULANTES,41
TERAPIA ENDOCRINA,41
ESPECIALES,40
TERAPIA DEL TIROIDES,40
ANTIMICOTICOS DE USO SISTEMICO,38
ANTIPSORIASICOS,32
ANTIHIPERTENSIVOS,32
ANESTESICOS,32
MEDICAMENTOS PARA TRATAMIENTOS ENFERMEDADES OSEAS,32
MODULOS PROTEICOS,31
OTROS GINECOLOGICOS,30
GASA  ESTERIL,29
ANTIHEMORRAGICOS,27
ANTIINFECCIOSOS Y ANTISEPTICOS GINECOLOGICOS,26
BRAGUERO INGUINAL,25
OTROS PREPARADOS APARATO DIGESTIVO Y METABOLISMO,25
ANTIMICOBACTERIANOS,24
"ANTIPRURIGINOSOS, INCLUIDOS ANTIHISTAMINICOS",22
PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS,22
MODULOS ESPESANTES,21
ALIMENTOS PARA SITUACIONES PARTICULARES,20
SUEROS INMUNOLOGICOS E INMUNOGLOBULINAS,20
VASODILATADORES PERIFERICOS,20
VENDA DE GASA,20
OTOLOGICOS,19
CANULA TRAQUEOTOMIA,19
ANTIPROTOZOARIOS,18
VENDA ELASTICA,15
COMPLETAS PEPTIDICAS,15
PREPARADOS PARA LA GARGANTA,14
RELAJANTES MUSCULARES,14
ANTIEMETICOS Y ANTINAUSEANTES,14
COLECTORES,13
AGENTES DIAGNOSTICOS,13
BOLSAS DE RECOGIDA DE ORINA,13
"ECTOPARASITICIDAS, INCLUIDOS ESCABICIDAS",12
SUSPENSORIO,11
HOMEOSTASIA DEL CALCIO,11
TERAPIA BILIAR Y HEPATICA,10
OTROS MEDICAMENTOS PARA EL SIST.MUSCULO-ESQUELETIC,10
"AA ESENCIALES, EXENTOS",10
