des_prinactivo,Frequency.4
BOLSAS RESINA SINTETICA MICROPORO Y FILTRO,85
IBUPROFENO,69
FENTANILO,66
SODIO CLORURO,63
PARACETAMOL,62
HIDROCORTISONA,43
ALERGENOS LETI,42
ESPECIALES,40
AMOXICILINA,39
TRAMADOL,38
AMOXICILINA + CLAVULANICO ACIDO,36
BOLSAS ILEOST RESINA SINTETICA MICROPORO FILTRO,35
BOLSAS UROST SIST DOBLE PLACA,34
BOLSAS SISTEMA DOBLE PLACA C-ESP,34
ALERGENOS ALK,33
METOTREXATO,33
APOSITOS B OSTOM ARO RES SINT MIC,33
RISPERIDONA,31
SALICILICO ACIDO,30
CIPROFLOXACINO,30
BUDESONIDA,29
LEVOTIROXINA,29
ALERGENOS DIATER,28
ALERGENOS STALLERGENES,27
ALERGENOS BIAL,26
METILPREDNISOLONA,26
GASA ESTERIL ALGODON HIDROFILO COMPRESA,26
BOLSAS ILEOST SIST DOBLE PLAC C-ESP,25
BOLSAS UROST SIST DOBLE PLAC C-ESP,25
NICOTINA,25
SILDENAFILO,24
SONDA VESICAL BAJA FRICCION NELATÓN MUJER,24
BOLSAS SISTEMA DOBLE PLACA,24
ALERGENOS ALLERGY THERAPEUTICS,24
DICLOFENACO,24
APOSITOS B OSTOM ARO RES SINT,24
ESTRADIOL,23
HIALURONICO ACIDO,23
ALERGENOS PROBELTE PHARMA,23
ENOXAPARINA,23
SOMATROPINA,22
MORFINA,22
DARBEPOETIN ALFA,22
OLANZAPINA,22
COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICA,22
SONDA VESICAL SILICONA,21
MODULOS ESPESANTES,21
COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICA CON FIBRA,20
TINZAPARINA,20
APOSITO BASE CON BORDE,20
DILTIAZEM,20
SODIO BICARBONATO,20
DEXAMETASONA,20
DOXICICLINA,19
BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO,19
ERITROMICINA,19
ACETILCISTEINA,19
COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA,19
ESCITALOPRAM,19
MODULOS DE VITAMINAS Y MINERALES,19
APOSITO DE ESPUMA POLIURETANO CON BORDE,19
TACROLIMUS,19
GLUCOSA*,18
COMPLETA POLIMERICA NORMOPROTEICA NORMOCALORICA,18
SONDA VESICAL LATEX,18
COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA CON FIBRA,18
BEMIPARINA,18
BOLSAS ILEOST SIST DOBLE PLACA ACOPLAM ADH,18
OMEPRAZOL,18
CLARITROMICINA,18
ETINILESTRADIOL + DROSPIRENONA,17
MESALAZINA,17
METILFENIDATO,17
BETAMETASONA,17
FLUOCINOLONA,17
BUPRENORFINA,17
SONDA VESICAL BAJA FRICCION NELATON HOMBRE,17
ABSORBENTE INC ORINA SUP-NOC ELAST ANAT,17
BOLSAS UROST RES SINT ADH  MIC,17
BACTERIAS PROBELTE PHARMA,17
DEXTROMETORFAN,17
BOLSAS ILEOST RESINA SINTETICA ADHESIVO MICROPORO,17
CEFUROXIMA,17
ACETILSALICILICO ACIDO,17
APOSITO DE ESPUMA POLIURETANO,16
ABSORBENTE INC ORINA NOC ELAST ANAT,16
MODULOS PROTEINA ENTERA,16
ALERGENOS EUROFAR ALERGI,16
ALERGENOS INMUNAL,16
ALERGENOS INMUNOTEK,16
EPOETINA ZETA,16
BOLSAS COLOST SIST DOBLE PLACA ACOPLAMIENTO ADHESIVO,16
CLORHEXIDINA,15
VENENO DE HIMENOPTEROS,15
CREMA HIDRATANTE CORPORAL,15
EPOETINA ALFA,15
VALSARTAN,15
BOLSAS ILEOST SISTEMA DOBLE PLACA,15
GLICEROL,14
NITROGLICERINA,14
