cod_modalidad,Frequency.1,codes,spanish description,english description,comment
119,1,S-CS-23,PENDIENTE APROBACION POLIZA,,
61,1,S-N-8,Nº SS SIN PRESTACIONES,,
9,1,S-DS-29,EXT. A DEMANDA DISCAPACIDAD INDEFINIDA,,
34,1,S-N-20,AFILIADO RCSE- INSTITUCIONES EUROPEAS,,
6,1,S-DS-35,MUGEJU PUBLICO DISCAPACIDAD INDEFINIDA,,
65,1,S-CS-9,F.A.S.,,
74,1,F-SS-20,AGOTADA PRESTACION POR DESEMPLEO,,
22,1,F-SS-12,TARJETA OTRA CCAA PN,,
14,1,S-DS-23,EXPEDIENTE SR DISCAPACIDAD INDEFINIDA,,
84,1,S-CS-14,EXPEDIENTE SR OTRA COMUNIDAD PN,,
4,1,F-SS-30,INTERNACIONAL BENEFICIARIO PENSIONISTA,,
27,1,S-DS-48,DOBLE COBERT. MUTUAL. -SS DISC TEMP,,
37,1,S-DS-40,ISFAS 1DISCAPACIDAD TEMPORAL,,
36,1,F-SS-21,PENSION NO CONTRIBUTIVA,,
45,1,S-DS-28,PRORROGA ASIST.DISCAPACIDAD TEMPORAL,,
7,1,S-DS-20,MUFACE PRIVADO DISCAPACIDAD TEMPORAL,,
81,1,F-SS-6,DOBLE COBERTURA CON MUGEJU PN,,
15,1,S-DS-21,MUGEJU PRIVADO DISCAPACIDAD TEMPORAL,,
12,1,S-N-3,ACREDITACIÓN CADUCADA,,
69,1,F-SS-3,DOBLE COBERTURA CON MUGEJU AC,,
109,1,S-N-7,EXPEDIENTE EN TRAMITE,,
16,1,F-SS-28,RESIDENTE EN ESPAÑA,,
118,1,C-C5-1,TELEFONICA,,
3,1,S-CS-18,DECRETO OTRA COMUNIDAD AC NO EMP,,
42,1,S-DS-22,ISFAS PRIVADO DISCAPACIDAD TEMPORAL,,
70,1,S-N-14,DERIVADO AL INSS,,
11,1,S-CS-30,PROGRAMA DE PROTECCION DE LA SALUD,,
75,1,S-CS-28,NA SOLICITANTES PROTECCION INTERNACIONAL,,
96,1,S-DS-14,MUFACE PRIVADO DISCAPACIDAD INDEFINIDA,,
43,1,F-SS-31,PERCEPT. RENTA INSER. SOCIAL CCAA,,
35,1,S-N-17,SOLICITUD PVPS,,
63,1,S-CS-25,POLIZA PACIENTE PRIVADO,,
92,1,S-N-15,EXTRANJERO A REVISAR,,
49,1,F-EX-4,CONVENIO BILATERAL PN,,
1,1,S-N-9,EXPEDIENTE DENEGADO,,
104,1,F-M01-3,MUFACE PRIVADO CON AP,,
46,1,S-CS-7,PROGRAMAS ESPECIALES CON APORTACION,,
105,1,F-A05-6,ISFAS PRIVADO,,
108,1,S-CS-35,ATENCION SANITARIA UNIVERSAL OTROS,,
76,1,F-A05-1,ISFAS 1 AS. TOTAL ( MENOS FARMACIA),,
8,1,F-SS-25,PERCEPTOR RENTA DE INSERCION SOCIAL,,
73,1,S-N-12,USUARIO CEE DE BAJA EN TESORERIA,,
77,1,S-N-10,EN ESTUDIO,,
71,1,F-M06-3,MUGEJU PRIVADO CON AP,,
52,1,S-CS-27,ASISTENCIA TEMPORAL,,
99,1,F-SS-14,TARJETA OTRA CCAA PN EN ZONA LIMITROFE,,
66,1,S-CS-20,PROTECCION FAMILIAR BENEF.,,
41,1,S-CS-32,CONVENIO ESPECIAL,,
44,1,S-CS-26,DESEMPL. PTE  ASEGURAM. UE,,
23,1,S-N-1,ACREDITACION DESCONOCIDA,,
87,1,S-N-2,SIN COBERTURA Y PRIVADOS,,
59,1,S-CS-10,TARJETA SOLIDARIA,,
39,1,F-SS-19,AGOTADO SUBSIDIO DESEMPLEO,,
50,1,S-CS-33,ASU EN TRAMITE,,
51,1,F-EX-3,CONVENIO BILATERAL AC,,
78,1,S-DS-46,ISFAS URGENCIA DISCAPACIDAD TEMPORAL,,
40,1,F-EX-2,TARJETA SANITARIA EUROPEA - CPS PN,,
55,1,F-SS-17,EXPEDIENTE SR-AC MENOR 65,,
111,1,S-DS-7,ALTA EN SS DISCAPACIDAD TEMPORAL,,
79,1,F-A05-5,ISFASU,,
72,1,S-CS-13,EXPEDIENTE SR OTRA COMUNIDAD AC,,
112,1,F-MP-1,MUNPAL,,
48,1,S-DS-44,ISFAS URGENCIA DISCAPACIDAD INDEFINIDA,,
21,1,F-SS-29,INTERNACIONAL BENEFICIARIO TRABAJADOR,,
30,1,F-SS-5,DOBLE COBERTURA CON MUFACE PN,,
62,1,S-DS-41,ISFAS 4 (AS PARCIAL) DISCAPACIDAD INDEF,,
64,1,S-N-6,ACREDITACION DENEGADA POR ASEGURADORA,,
80,1,S-N-11,DERIVADO A TRABAJADOR SOCIAL,,
91,1,F-SS-9,ALTA EN SS AC CONVENIO INTERNACIONAL,,
110,1,S-CS-8,DESEMPL. PTE RECONOCER ASEGURAM.,,
31,1,S-DS-15,MUGEJU PRIVADO DISCAPACIDAD INDEFINIDA,,
93,1,F-M06-2,MUGEJU PRIVADO,,
5,1,S-DS-32,MUFACE PUBLICO DISCAPACIDAD INDEFINIDA,,
68,1,F-M01-2,MUFACE PRIVADO,,
26,1,F-SS-24,PERCEPTOR SUBSIDIO POR DESEMPLEO,,
97,1,F-SS-22,DISCAPACITADOS LISMI,,
17,1,S-CS-15,SINDROME TOXICO,,
25,1,S-CS-12,NA EMBARAZADA EXTRANJERA,,
116,1,S-DS-37,MUGEJU PUBLICO DISCAPACIDAD TEMPORAL,,
47,1,F-M06-1,MUGEJU PUBLICO,,
107,1,F-SS-11,TARJETA OTRA CCAA AC,,
89,1,S-CS-6,PROGRAMAS ESPECIALES FARMACIA GRATUITA,,
58,1,S-DS-38,ISFAS 1 DISCAPACIDAD INDEFINIDA,,
29,1,F-A05-4,ISFAS 4 AS PARCIAL ( SOLO PRIMARIA),,
82,1,F-EX-1,TARJETA SANITARIA EUROPEA - CPS AC,,
94,1,F-SS-10,ALTA EN SS PN CONVENIO INTERNACIONAL,,
113,1,S-N-13,CON DOC. DE DERECHO PENDIENTE DE APORTAR,,
19,1,F-MUT-2,TARJETA OTRA CCAA MUTUAL.PRIVADO,,
38,1,S-DS-26,PRORROGA ASIST. DISCAPACIDAD INDEFINIDA,,
98,1,F-A05-7,ISFAS PRIVADO CON AP,,
13,1,F-SS-8,DOBLE COBERTURA ISFAS PN,,
95,1,F-SS-13,TARJETA OTRA CCAA  AC EN ZONA LIMITROFE,,
88,1,F-SS-18,EXPEDIENTE SR-PN MAYOR 65,,
24,1,S-CS-1,PERSONAS SIN RECURSOS - INSS,,
90,1,F-M01-1,MUFACE PUBLICO,,
20,1,S-DS-34,MUFACE PUBLICO DISCAPACIDAD TEMPORAL,,
101,1,S-N-4,ACREDITACIÓN DENEGADA POR TESORERÍA,,
114,1,S-DS-25,EXPEDIENTE SR DISCAPACIDAD TEMPORAL,,
100,1,S-DS-47,DOBLE COBERT MUTUAL. - SS DISC INDEF.,,
10,1,F-EX-5,"E-106, E-120, S1 (SELLADOS POR INSS)",,
32,1,S-CS-3,PERSONAS SIN RECURSOS - CV,,
85,1,S-N-18,NO PVPS,,
54,1,S-DS-16,ISFAS PRIVADO DISCAPACIDAD INDEFINIDA,,
56,1,S-N-5,ACRED. DESCONOCIDA: YA NO ESTA EN TES,,
33,1,S-CS-16,EXTENSION ASISTENCIA A DEMANDA,,
53,1,S-CS-36,ASU EN TRAMITE OTROS,,
117,1,F-MUT-1,TARJETA OTRA CCAA MUTUAL.PUBLICO,,
