cod_pais,Frequency.1,codes,spanish description,english description,comment
61,1,422,MALDIVAS,,
6,1,218,GUINEA,,
65,1,433,SIRIA,,
183,1,241,SIERRA LEONA,,
212,1,405,MYANMAR (BIRMANIA),,
74,1,348,PERU,,
22,1,414,ISRAEL,,
84,1,223,LIBERIA,,
4,1,421,MALASIA,,
27,1,326,REPUBLICA DOMINICANA,,
127,1,327,TRINIDAD-TOBAGO,,
37,1,230,MAURITANIA,,
36,1,229,MAURICIO (ISLA),,
129,1,112,HUNGRIA,,
158,1,399,PAÍSES DE AMÉRICA SIN REL,,
45,1,125,REINO UNIDO,,
126,1,500,ASIA,,
140,1,217,GHANA,,
123,1,121,PAISES BAJOS,,
196,1,130,SANTA SEDE,,
12,1,400,SUDAMERICA,,
124,1,215,GABON,,
177,1,226,MALAWI,,
164,1,437,VIETNAM (NORTE Y SUR),,
109,1,344,CHILE,,
118,1,137,MOLDOVA,,
211,1,539,VIETNAN SUR,,
96,1,442,AZERBAIYAN,,
197,1,417,KAMPUCHEA (CAMBOYA),,
35,1,319,GUATEMALA,,
63,1,434,SRI-LANKA (CEILAN),,
193,1,511,MICRONESIA,,
208,1,507,SAMOA,,
49,1,235,REPUBLICA CENTROAFRICANA,,
194,1,127,REP.DEMOCRATICA ALEMANA,,
189,1,512,TUVALU,,
46,1,213,EGIPTO,,
108,1,439,BRUNEI,,
137,1,504,NUEVA ZELANDA,,
8,1,436,TURQUIA,,
77,1,101,ALBANIA,,
168,1,211,COSTA DE MARFIL,,
71,1,242,SOMALIA,,
52,1,120,NORUEGA,,
132,1,443,KAZAJSTAN,,
145,1,200,AMERICA DEL NORTE,,
66,1,253,ERITREA,,
149,1,249,UGANDA,,
136,1,207,CABO VERDE,,
23,1,416,JORDANIA,,
181,1,132,SUIZA,,
51,1,346,GUAYANA,,
40,1,322,JAMAICA,,
48,1,441,YEMEN,,
62,1,123,PORTUGAL,,
171,1,418,KUWAIT,,
160,1,411,INDONESIA,,
80,1,444,KIRGVISTAN,,
91,1,250,ZAIRE,,
207,1,505,PAPUA NUEVA GUINEA,,
174,1,142,LITUANIA,,
198,1,313,BELICE,,
155,1,231,MOZAMBIQUE,,
195,1,391,ARUBA,,
93,1,155,YUGOSLAVIA,,
5,1,435,TAILANDIA (SIAM),,
144,1,320,HAITI,,
97,1,314,COSTA RICA,,
202,1,209,COMORES,,
161,1,131,SUECIA,,
47,1,966,OTROS TERRITORIOS ESPAÑOL,,
107,1,141,ESTONIA,,
58,1,420,LIBANO,,
120,1,113,IRLANDA,,
29,1,202,ANGOLA,,
82,1,103,BELGICA,,
186,1,404,BANGLADESH,,
19,1,415,JAPON,,
98,1,208,CAMERUN,,
141,1,147,ESLOVENIA,,
88,1,999,NO CONSTA,,
24,1,128,RUMANIA,,
192,1,508,TONGA,,
190,1,901,CEYLAN,,
101,1,427,QATAR,,
114,1,423,MONGOLIA,,
180,1,138,BIELORRUSIA,,
100,1,108,ESPAÑA,,
10,1,107,DINAMARCA,,
85,1,349,SURINAM,,
54,1,541,PALESTINA,,
56,1,243,SUDAN,,
33,1,129,SAN MARINO,,
169,1,117,LUXEMBURGO,,
18,1,204,BENIN,,
115,1,447,UZBEKISTAN,,
106,1,233,NIGER,,
28,1,115,ITALIA,,
17,1,251,ZAMBIA,,
157,1,409,FILIPINAS,,
146,1,247,TOGO,,
83,1,425,OMAN,,
119,1,139,GEORGIA,,
130,1,110,FRANCIA,,
139,1,227,MALI,,
206,1,158,MONTENEGRO,,
9,1,514,TIMOR ESTE,,
34,1,410,INDIA,,
166,1,340,ARGENTINA,,
199,1,419,LAOS,,
210,1,318,GRANADA,,
121,1,252,ZIMBABWE,,
176,1,214,ETIOPIA,,
125,1,146,CROACIA,,
128,1,316,DOMINICA,,
191,1,212,DJIBOUTI,,
172,1,407,CHINA,,
178,1,301,CANADA,,
14,1,224,LIBIA,,
122,1,119,MONACO,,
204,1,240,SEYCHELLES (ISLAS),,
7,1,302,ESTADOS UNIDOS DE AMERICA,,
81,1,104,BULGARIA,,
15,1,144,ESLOVAQUIA,,
153,1,438,TAIWAN (CHINA FORMOSA),,
