cod_prinactivo,Frequency.1,codes,spanish description,english description,comment
281,1,1877A,MEBENDAZOL,,
762,1,201325A,ALOGLIPTINA + METFORMINA,,
1078,1,300015A,APOSITOS B OSTOM ARO RES SINT MIC C-ESP,,
1291,1,3121A,TINIDAZOL,,
1336,1,342A,LEUPRORELINA,,
272,1,183EO,LACTATO HIERRO,,
902,1,2425A,ACITRETINA,,
837,1,2204A,PRIMIDONA,,
2190,1,200921A,ACIDO ACETILSALICILICO + CLORFENAMINA + ACIDO ASCORBICO + NUEZ DE COLA,,
2203,1,2513A,ELCATONINA,,
541,1,200803A,SODIO BICARBONATO + HIDROXIDO ALUMINIO + MAGNESIO CARBONATO,,
2060,1,100279A,BARRA DE LABIOS,,
525,1,200757A,TIMOLOL + TRAVOPROST,,
700,1,201205A,CIPROHEPTADINA CETOGLUTARATO + ARGININA ASPARTATO,,
579,1,200879A,CLORCICLIZINA + GUAFENESINA + CODEINA + CINEOL,,
1980,1,8538A,PONATINIB,,
1832,1,201311A,ALOE VERA + ARBOL DE TE + CALENDULA,,
1762,1,201096A,CONDROITIN SULFATO + ACIDO HIALURONICO,,
1448,1,598A,CIMETIDINA,,
557,1,200842A,IBUPROFENO + CAFEINA + DIMENHIDRINATO,,
570,1,200866A,CLORHEXIDINA + BENZOCAINA,,
132,1,1214A,UREA,,
1451,1,601A,CIPROHEPTADINA,,
1690,1,100462A,ALERGENOS HAL ALLERGY,,
1717,1,200811A,CLORHEXIDINA + ETANOL,,
1289,1,3108A,TETRIZOLINA,,
566,1,200859A,BREA DE HULLA + ACIDO SALICILICO,,
1335,1,340A,TRAMAZOLINA,,
1231,1,300742A,AGUJA PLUMAS INSULINA,,
1569,1,81A,NEOMICINA*,,
1198,1,300639A,ESPARADRAPO HIPOALERGICO FLEXIBLE,,
80,1,105A,FENOXIMETILPENICILINA,,
730,1,201272A,FLUOCINONIDA + GENTAMICINA,,
432,1,200470A,VALSARTAN + HIDROCLOROTIAZIDA,,
810,1,2122A,PERICIAZINA,,
587,1,200896A,PARACETAMOL + FENILEFRINA + CLORFENAMINA + SALICILAMIDA + CAFEINA,,
945,1,2586A,PAROXETINA,,
904,1,2431A,CARVEDILOL,,
1012,1,2791A,LEVOFLOXACINO,,
1813,1,5003A,NIFURTIMOX,,
161,1,132A,CARMELOSA,,
363,1,200220A,FLUORESCEINA + OXIBUPROCAINA,,
672,1,201155A,UREA + ADEPS LANAE + HIDROCORTISONA,,
82,1,1067A,IPRATROPIO,,
1258,1,300788A,APOSITO DE HIDROCOLOIDE EXTRAFINO,,
2108,1,2763A,INDINAVIR,,
1303,1,3186TG,URIDINA TRIFOSFATO,,
1393,1,433A,HIDROSMINA,,
781,1,201367A,ACLIDINIO + FORMOTEROL,,
10,1,100254A,FAJA,,
1256,1,300785A,APOSITO DE HIDROCOLOIDE CON VASELINA,,
1532,1,7403A,RALOXIFENO,,
2221,1,69A,ALUMINIO,,
438,1,200490A,DEXAMETASONA EN ASOCIACION,,
340,1,200127A,COTRIMOXAZOL ( SULFAMETOXAZOL + TRIMETOPRIM ),,
1805,1,8154A,FAMPRIDINA,,
640,1,201094A,MACROGOL + SODIO SULFATO ANHIDRO + SODIO CLORURO + POTASIO CLORURO + ÁCIDO ASCÓRBICO + ASCORBATO DE SODIO,,
2071,1,8198A,AZACITIDINA,,
1205,1,300689A,COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA,,
1702,1,300755A,APOSITO CON CARBON,,
1639,1,887A,PREDNISOLONA,,
825,1,2159A,PIRISUDANOL,,
2170,1,100357A,DISPOSITIVO INTRAUTERINO,,
1478,1,684A,COLESTIRAMINA,,
1676,1,1765A,SOMATOSTATINA,,
1816,1,100460A,ALERGENOS ITAI,,
531,1,200790A,GESTODENO + ETINILESTRADIOL,,
260,1,1781A,IODO,,
1057,1,2946A,AMINOLEVULINICO ACIDO,,
1723,1,201194A,TIROTRICINA + RETINOL + ESTRONA + BENZOCAINA + COLECALCIFEROL + BALSAMO DEL PERU,,
943,1,2579A,LAMOTRIGINA,,
