cod_serv_homologado,Frequency.1,codes,spanish description,english description,comment
252,1,USO,OTROS ATENCIÓN PRIMARIA,,
232,1,ACM,MEDICINA ATENCIÓN CONTINUADA,,
265,1,UML,UNIDAD MÉDICA LARGA ESTANCIA,,
259,1,HMD,HEMODINÁMICA,,
183,1,HEM,HEMATOLOGÍA,,
212,1,NEM,NEUMOLOGÍA,,
222,1,ODO,ODONTOESTOMATOLOGÍA,,
204,1,REU,REUMATOLOGÍA,,
127,1,ECI,ENDOCRINOLOGÍA INFANTIL,,
129,1,OAE,OTROS ATENCIÓN ESPECIALIZADA,,
258,1,CON,UNIDAD DE CONVALECENCIA,,
158,1,UMA,UNIDAD DE MANO,,
126,1,LIT,LITOTRICIA,,
140,1,EHD,ENFERMERÍA UHD,,
123,1,DII,MEDICINA DIGESTIVA INFANTIL,,
196,1,ALI,ALERGIA INFANTIL,,
124,1,EST,ESTERILIDAD,,
177,1,TSE,TRABAJO SOCIAL ESPECIALIZADA (NO COMPRENDIDO EN OTRAS UNIDADES),,
164,1,CAI,CARDIOLOGÍA INFANTIL,,
118,1,CCA,CIRUGÍA CARDIACA,,
240,1,MIP,INSPECCIÓN MÉDICA,,
211,1,NER,NEUROLOGÍA,,
197,1,FAE,FISIOTERAPIA A. ESPECIALIZADA,,
238,1,ESM,ENFERMERÍA SALUD MENTAL,,
193,1,MUR,MEDICINA DE URGENCIAS,,
208,1,REA,ANESTESIA / REANIMACIÓN,,
194,1,URI,UROLOGÍA INFANTIL,,
189,1,EGH,ENFERMERA GESTORA DE CASOS HOSPITALARIA,,
243,1,ESS,ENFERMERÍA SALUD SEXUAL Y REPRODUCTIVA,,
227,1,ECA,ENFERMERÍA CONDUCTAS ADICTIVAS,,
225,1,PSE,PSICOLOGÍA ESTIMULACIÓN PRECOZ,,
137,1,UDC,UNIDAD DE DAÑO CEREBRAL,,
168,1,MCE,UNIDAD CORTA ESTANCIA,,
132,1,CGD,CIRUGÍA GENERAL Y DIGESTIVO,,
263,1,PIN,INFECCIOSOS PEDIATRÍA,,
228,1,MCA,MEDICINA CONDUCTAS ADICTIVAS,,
145,1,APA,ANATOMÍA PATOLÓGICA,,
261,1,NCI,NEUROCIRUGÍA INFANTIL,,
149,1,ONC,ONCOLOGÍA,,
136,1,CPI,CIRUGÍA PLÁSTICA INFANTIL,,
253,1,TSM,TRABAJO SOCIAL SALUD MENTAL,,
181,1,CIR,CIRUGÍA GENERAL,,
255,1,HDEN,HIGIENISTA DENTAL,,
224,1,MFS,MEDICINA FAMILIAR Y COMUNITARIA,,
171,1,CTO,CIRUGÍA TORÁCICA,,
160,1,UDA,UNIDAD DE DOCUMENTACIÓN CLÍNICA Y ADMISIÓN,,
254,1,PSM,PSIQUIATRÍA SALUD MENTAL,,
207,1,UTS,UNIDAD DE TRASTORNOS SUEÑO,,
174,1,UHP,UNIDAD HEPÁTICA,,
198,1,MNU,MEDICINA NUCLEAR,,
219,1,NFI,NEFROLOGÍA INFANTIL,,
155,1,PSC,PSICOLOGÍA CLÍNICA,,
195,1,UCI,MEDICINA INTENSIVA,,
256,1,TSO,TRABAJO SOCIAL PRIMARIA (NO COMPRENDIDO EN OTRAS UNIDADES),,
144,1,UDO,UNIDAD DE DOLOR,,
244,1,ENF,ENFERMERÍA PRIMARIA (NO COMPRENDIDO EN OTRAS UNIDADES),,
202,1,CMX,CIRUGÍA MAXILOFACIAL,,
161,1,UTT,UNIDAD DE TOXICOMANÍAS,,
120,1,ESA,ENFERMERÍA SAIP,,
268,1,ROD,UNIDAD RODILLA,,
186,1,URQ,UNIDAD RAQUIS,,
266,1,ESC,ESCOLARES,,
141,1,QUE,QUEMADOS,,
239,1,PAPS,PEDIATRÍA PRIMARIA,,
257,1,AIP,INSPECCIÓN MÉDICA,,
237,1,ODP,ODONTOLOGÍA PREVENTIVA,,
192,1,ENE,ENFERMERÍA ESPECIALIZADA (NO COMPRENDIDO EN OTRAS UNIDADES),,
190,1,ARE,CONSULTA DE ALTA RESOLUCIÓN,,
114,1,FMA,UNIDAD DE FIBROMIALGIA Y FATIGA CRÓNICA,,
180,1,NFL,NEUROFISIOLOGÍA,,
216,1,ORL,OTORRINOLARINGOLOGÍA,,
262,1,NPS,NEUROPSIQUIATRÍA,,
220,1,COT,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,,
236,1,TSU,TRABAJO SOCIAL UCAS,,
169,1,DEP,MEDICINA DEPORTIVA,,
115,1,INM,INMUNOLOGÍA,,
157,1,ONH,ONCOLOGÍA-HEMATOLOGÍA,,
146,1,ORI,OTORRINOLARINGOLOGÍA INFANTIL,,
251,1,MRE,OTROS ATENCIÓN PRIMARIA,,
119,1,OBS,OBSTETRICIA,,
